#target_addr	target_old	donor_name	similarity	significance	applied
41cf47	?GetUIScale@CManager@NUISystem@@QBE?AVC2DVector@@XZ	?GetUIScale@CManager@NUISystem@@QBE?AVC2DVector@@XZ	0.5215461589160099	23.243614395138938	true
429880	?WriteColour@CDataOutputStream@@QAEXABVCRGBColour@@@Z	?WriteColour@CDataOutputStream@@QAEXABVCRGBColour@@@Z	0.536949395604723	12.171084233242844	true
42955b	?RotateLeft@CMemoryAllocatorVariableSize@@IAEXPAVCMemoryArea@1@@Z	?RotateLeft@CMemoryAllocatorVariableSize@@IAEXPAVCMemoryArea@1@@Z	0.6142271607154455	27.105402886476018	true
42951b	?RotateLeft@CMemoryAllocatorVariableSize@@IAEXPAVCMemoryArea@1@@Z	?RotateLeft@CMemoryAllocatorVariableSize@@IAEXPAVCMemoryArea@1@@Z	0.6142271607154455	27.105402886476018	true
42a0ce	?SetMiniMapRegionExitTextOffsetX@CRegion@@QAEXABVCCharString@@M@Z	?SetMiniMapRegionExitTextOffsetX@CRegion@@QAEXABVCCharString@@M@Z	0.6566968696075095	7.363076932378895	true
42b636	?CalcStringLength@?$CBasicString@D@@KIKPBD@Z	?CalcStringLength@?$CBasicString@D@@KIKPBD@Z	0.5101115223967969	10.838239314960592	true
42b707	?CalcStringLength@?$CBasicString@D@@KIKPBD@Z	?CalcStringLength@?$CBasicString@D@@KIKPBD@Z	0.5101115223967969	10.838239314960592	true
42b677	?CalcStringLength@?$CBasicString@D@@KIKPBD@Z	?CalcStringLength@?$CBasicString@D@@KIKPBD@Z	0.5101115223967969	10.838239314960592	true
42c058	??RCompareDataOffset@CBankFile@@QAE_NKK@Z	??RCompareDataOffset@CBankFile@@QAE_NKK@Z	0.6049528480812588	8.83803078612183	true
42cd61	FID_conflict:max_size	FID_conflict:max_size	0.5557679326795851	11.346562677184071	true
42cd3e	FID_conflict:max_size	FID_conflict:max_size	0.5557679326795851	11.346562677184071	true
431020	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6162252609084434	14.441030937969416	true
43119e	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6162252609084434	14.441030937969416	true
431061	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6162252609084434	14.441030937969416	true
431102	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6162252609084434	14.441030937969416	true
431242	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6571049800735529	15.140365741705349	true
431493	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6571049800735529	15.140365741705349	true
43318d	?FrameUpdate@CCreatureAction_FireMissileWeapon@@UAEXXZ	?FrameUpdate@CCreatureAction_FireMissileWeapon@@UAEXXZ	0.5181189975978346	10.760973159155803	true
43314a	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6362932641701243	14.857399587410075	true
4331f9	?FrameUpdate@CCreatureAction_FireMissileWeapon@@UAEXXZ	?FrameUpdate@CCreatureAction_FireMissileWeapon@@UAEXXZ	0.5181189975978346	10.760973159155803	true
436830	?Hora@CTopologySizeGrid@CLandscapeBackgroundDynamicBuildTemplate@@QAEAAMJJ@Z	?Hora@CTopologySizeGrid@CLandscapeBackgroundDynamicBuildTemplate@@QAEAAMJJ@Z	0.519001545244927	8.439156323466271	true
437160	?ApplyCustomValue@CDefaultEngineMemoryInit@@AAEXAAMM@Z	?ApplyCustomValue@CDefaultEngineMemoryInit@@AAEXAAMM@Z	0.6856294493678196	11.035242398281799	true
438770	?Update@CScreenMessage@NPlayerGui@@QAEXXZ	?Update@CScreenMessage@NPlayerGui@@QAEXXZ	0.6699353780442259	30.745398640319316	true
43fe40	?SortTreeRecursively@CGuiControlTreePane@@AAEXAAV?$list@VCGuiControlTreeNode@@V?$allocator@VCGuiControlTreeNode@@@std@@@std@@@Z	?SortTreeRecursively@CGuiControlTreePane@@AAEXAAV?$list@VCGuiControlTreeNode@@V?$allocator@VCGuiControlTreeNode@@@std@@@std@@@Z	0.5982244837921046	15.703242308280576	true
43fdf0	?FrameUpdate@CNavigatorQueueManager@@QAEXXZ	?FrameUpdate@CNavigatorQueueManager@@QAEXXZ	0.5410986235018929	14.514412902241837	true
440770	?SortTreeRecursively@CGuiControlTreePane@@AAEXAAV?$list@VCGuiControlTreeNode@@V?$allocator@VCGuiControlTreeNode@@@std@@@std@@@Z	?SortTreeRecursively@CGuiControlTreePane@@AAEXAAV?$list@VCGuiControlTreeNode@@V?$allocator@VCGuiControlTreeNode@@@std@@@std@@@Z	0.5982244837921046	15.703242308280576	true
4407b0	?SortTreeRecursively@CGuiControlTreePane@@AAEXAAV?$list@VCGuiControlTreeNode@@V?$allocator@VCGuiControlTreeNode@@@std@@@std@@@Z	?SortTreeRecursively@CGuiControlTreePane@@AAEXAAV?$list@VCGuiControlTreeNode@@V?$allocator@VCGuiControlTreeNode@@@std@@@std@@@Z	0.5982244837921046	15.703242308280576	true
440730	?SortTreeRecursively@CGuiControlTreePane@@AAEXAAV?$list@VCGuiControlTreeNode@@V?$allocator@VCGuiControlTreeNode@@@std@@@std@@@Z	?SortTreeRecursively@CGuiControlTreePane@@AAEXAAV?$list@VCGuiControlTreeNode@@V?$allocator@VCGuiControlTreeNode@@@std@@@std@@@Z	0.5982244837921046	15.703242308280576	true
443140	?FinishWithDynamicTextures@CEngineScreenEffectDisplacementRenderer@@AAEXXZ	?FinishWithDynamicTextures@CEngineScreenEffectDisplacementRenderer@@AAEXXZ	0.5711667741706364	16.266044701268527	true
451e59	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6162252609084434	14.441030937969416	true
451fa1	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6162252609084434	14.441030937969416	true
451e11	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6409620902270229	14.441030937969416	true
451efd	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6162252609084434	14.441030937969416	true
452045	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6162252609084434	14.441030937969416	true
452086	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6162252609084434	14.441030937969416	true
4521b2	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6162252609084434	14.441030937969416	true
452a60	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	?UpdateShadowScene@CEngineLightingManager@@QAEXABVCEngineCamera@@@Z	0.6162252609084434	14.441030937969416	true
452b4d	?ChangeState@CScrollingComponent@NUISystem@@UAEXK@Z	?ChangeState@CScrollingComponent@NUISystem@@UAEXK@Z	0.5012993652335904	11.913855666346585	true
