# slot	addr	method	mangled
0	006e7d50	`vector_deleting_destructor'	`vector_deleting_destructor'
1	0088de00	CGameScriptInterface::Error	?Error@CGameScriptInterface@@UBEXABVCCharString@@00K@Z
2	006e7d20	CGameScriptInterface::TraceMessage	?TraceMessage@CGameScriptInterface@@UBEXABVCCharString@@@Z
3	006e72a0	CGameScriptInterface::Validate	?Validate@CGameScriptInterface@@UBEXXZ
4	0088e0f0	CGameScriptInterface::SetDebugCameraType	?SetDebugCameraType@CGameScriptInterface@@UBEXJ@Z
5	008a0c60	CGameScriptInterface::DeactivateBoastUi	?DeactivateBoastUi@CGameScriptInterface@@UBEXXZ
6	0088e100	CGameScriptInterface::IsXbox	?IsXbox@CGameScriptInterface@@UBE_NXZ
7	006e7410	CGameScriptInterface::NewScriptFrame	?NewScriptFrame@CGameScriptInterface@@UBEXXZ
8	0089b5b0	CGameScriptInterface::StartScriptingEntity	?StartScriptingEntity@CGameScriptInterface@@UAE_NABVCScriptThing@@AAVCScriptGameResourceObjectScriptedThingBase@@W4EScriptAIPriority@@@Z
9	008960c0	CGameScriptInterface::IsEntityUnderScriptedControl	?IsEntityUnderScriptedControl@CGameScriptInterface@@UBE_NABVCScriptThing@@@Z
10	006e71b0	CGameScriptInterface::IsActiveThreadTerminating	?IsActiveThreadTerminating@CGameScriptInterface@@UBE_NXZ
11	0088e2a0	CGameScriptInterface::IsLevelLoaded	?IsLevelLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
12	0088e300	CGameScriptInterface::IsRegionLoaded	?IsRegionLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
13	00890550	CGameScriptInterface::IsRegionLoadedAndPreloaded	?IsRegionLoadedAndPreloaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
14	00891db0	CGameScriptInterface::IsRegionDefLoaded	?IsRegionDefLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
15	0088e340	CGameScriptInterface::GetRegionName	?GetRegionName@CGameScriptInterface@@UBEABVCCharString@@XZ
16	008931b0	CGameScriptInterface::MsgIsLevelLoaded	?MsgIsLevelLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
17	00893240	CGameScriptInterface::MsgIsLevelUnloaded	?MsgIsLevelUnloaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
18	0089ac10	CGameScriptInterface::MsgOnLevelLoaded	?MsgOnLevelLoaded@CGameScriptInterface@@UBE_NAAV?$list@VCCharString@@V?$allocator@VCCharString@@@std@@@std@@@Z
19	0089ac80	CGameScriptInterface::MsgOnLevelUnloaded	?MsgOnLevelUnloaded@CGameScriptInterface@@UBE_NAAV?$list@VCCharString@@V?$allocator@VCCharString@@@std@@@std@@@Z
20	008932d0	CGameScriptInterface::MsgIsRegionLoaded	?MsgIsRegionLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
21	00893360	CGameScriptInterface::MsgIsRegionUnloaded	?MsgIsRegionUnloaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z
22	008933f0	CGameScriptInterface::MsgOnRegionLoaded	?MsgOnRegionLoaded@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
23	00893470	CGameScriptInterface::MsgOnRegionUnloaded	?MsgOnRegionUnloaded@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
24	008934f0	CGameScriptInterface::MsgOnRegionPreunload	?MsgOnRegionPreunload@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
25	00893570	CGameScriptInterface::MsgOnQuestCompleted	?MsgOnQuestCompleted@CGameScriptInterface@@UBE_NABVCCharString@@@Z
26	00893610	CGameScriptInterface::MsgOnAnyQuestCompleted	?MsgOnAnyQuestCompleted@CGameScriptInterface@@UBE_NAAVCCharString@@@Z
27	00893690	CGameScriptInterface::MsgOnQuestFailed	?MsgOnQuestFailed@CGameScriptInterface@@UBE_NABVCCharString@@@Z
