address	name	named	size	thunk	ok	error
00401067	entry	1	466	0	1	
00401284	exit	1	6	1	1	
0040128a	_amsg_exit	1	6	1	1	
00401296	__onexit	1	38	0	1	
004012bc	_atexit	1	18	0	1	
004012ce	__RTC_Initialize	1	61	0	1	
00401356	initterm	1	6	1	1	
0040135c	__setdefaultprecision	1	18	0	1	
00401377	AddChildPrimitive	1	3	0	1	
0040138c	__SEH_prolog	1	59	0	1	
004013c7	__SEH_epilog	1	17	0	1	
004013de	__dllonexit	1	6	1	1	
004013e4	_controlfp	1	6	1	1	
00401400	`vector_constructor_iterator'	1	49	0	1	
00401490	PeekWaterHasType	1	16	0	1	
004014a0	Calc	1	56	0	1	
00401630	~CAIStateGroup_CreatureUseCoverBase	1	30	0	1	
00401650	?IsIOFinished@CAFile@@UBE_NXZ	1	3	0	1	
00401660	?GetAlignment@CAFile@@UBEJXZ	1	6	0	1	
00401670	?GetLength@CDiskFileWin32@@UBEJXZ	1	4	0	1	
00401680	?IsOpen@CDiskFileWin32@@UBE_NXZ	1	4	0	1	
00401690	?GetPathname@CDiskFileWin32@@UBE?AVCWideString@@XZ	1	22	0	1	
004016b0	`vector_deleting_destructor'	1	51	0	1	
004016f0	CRegionDef	1	78	0	1	
00401780	GFClearBadExitFlag	1	47	0	1	
004017b0	GFConfigDetection	1	875	0	1	
00401b20	GFFreeConfigDetection	1	49	0	1	
00401b80	~CAIStateGroup_JackDragon	1	64	0	1	
00401c00	GFHandleSystemInitError	1	744	0	1	
00401f30	GFGetBuildNumber2	1	162	0	1	
00401fe0	DoEULAThings	1	136	0	1	
00402130	FUN_00402130	0	372	0	1	
004022b0	GFInitialise	1	311	0	1	
004023f0	GetWindowTitle	1	274	0	1	
00402510	GFMain	1	3952	0	1	
00403480	_WinMain@16	1	141	0	1	
00403510	_Dest_val<std::allocator<CEditLevelMerger::CConflict>,CEditLevelMerger::CConflict>	1	61	0	1	
00403700	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	1	53	0	1	
00403750	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	1	53	0	1	
00403790	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	1	53	0	1	
004038c0	`vector_constructor_iterator'	1	48	0	1	
00403a00	GetLength	1	11	0	1	
00403a10	operator_char_const*	1	15	0	1	
00403b10	CSystemManagerInit	1	265	0	1	
00403c20	Init	1	60	0	1	
00403c60	FUN_00403c60	0	75	0	1	
00403cb0	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	1	53	0	1	
00403d20	CCountedPointer<CFileInstaller::CFileInfo_const_>	1	78	0	1	
