status	verb
native+used	.AddScriptedMode
native-unused	.AILevel
native+used	.ClearCommands
native+used	.Collide
native+used	.DataSpeak
native-unused	.Decapitate
native+used	.DialogadSpeak
native+used	.DialogSpeak
native+used	.DoBossFight
native+used	.Drawable
native+used	.EntitySetMaxRunningSpeed
native+used	.EntitySetMaxWalkingSpeed
native+used	.FadeCross
native+used	.FadeIn
native+used	.FadeOut
native-unused	.FightStop
native-unused	.FightWith
native+used	.FollowNavRoute
native-unused	.FollowThing
native+used	.HoldInHand
native+used	.InteractiveSpeak
native-unused	.InteractiveSpeakGroup
native-unused	.Killable
native+used	.LookAt
native+used	.LookAtNothing
native+used	.LookInDirection
native-unused	.LookToCamera
native+used	.LookToThing
native-unused	.ModifyHealth
native+used	.PlayAnimation
native+used	.PlayCombatAnim
native+used	.PlayLoopingAnim
native+used	.PreloadAnim
native-unused	.Release
native+used	.RemoveScriptedMode
native-unused	.ResetPos
native+used	.RunTo
native+used	.SetAlpha
native+used	.SetAppearanceSeed
native+used	.SetAttackable
native+used	.SetBound
native+used	.SetDamageable
native+used	.SetDrunk
native+used	.SetFree
native+used	.SetPushable
native+used	.SetScared
native+used	.Sheathe
native+used	.SlideTeleport
native+used	.SneakTo
native+used	.Speak
native-unused	.StopFollowingThing
native+used	.SummonerAttack
native+used	.Teleport
native-unused	.TeleportInFrontOf
native-unused	.TurnInto
native+used	.WaitForAnimationEvent
native+used	.WaitForUnderRadius
native+used	.WaitPlayAnimation
native+used	.WaitTask
native+used	.WalkTo
native-unused	.WalkUpToThing
native+used	AnimationPause
native+used	AskQuestion
native+used	AToSkip
native+used	CacheMusic
native-unused	CameraEffect
native+used	CameraFOVLookBetween
native-unused	CameraFOVLookBetweenPos
native-unused	CameraLookAt
native-unused	CameraLookBetween
native+used	CameraPath
native+used	CameraPause
native+used	CameraPreload
native-unused	CameraRig
native-unused	CameraRotateThing
native+used	CameraShake
native+used	Collide
native+used	Create
native+used	CreateEffect
native-unused	CreateLight
native-unused	CreateNear
native+used	CreditScreen
native+used	CrowdAcquire
native+used	CrowdAnimate
native+used	CrowdClearActions
native+used	CrowdCollide
native+used	CrowdCombatAnimate
native+used	CrowdCreate
native+used	CrowdCreateMixed
native+used	CrowdKill
native+used	CrowdLookAt
native+used	CrowdLookTo
native+used	CrowdMove
native+used	CrowdRipplePosition
native+used	CrowdTeleport
native-unused	CrowdTeleportRipple
native+used	DebugCamera
native+used	DoCameraPreloading
native-unused	DoCharacterPreload
native-unused	DoOneFrame
native+used	DoScriptFrame
native+used	DrawThing
native+used	DummyEffect
native+used	EnableBlackScreenSubtitles
native+used	EnableSounds
native-unused	ExitGame
native+used	FadeIn
native+used	FadeOut
native+used	FadeThingIn
native+used	FadeThingOut
native+used	FallbackAcquire
native+used	Fullscreen
native+used	GameInfo
native+used	GamePause
native+used	Get
native+used	GiveGold
native+used	GiveHero
native+used	GiveHeroExpression
native+used	GiveHeroHealth
native-unused	GiveHeroMorality
native+used	HeroHair
native-unused	HeroTattoo
native+used	HeroWear
native+used	HideBodies
native-unused	HUD
native+used	KeepEntityMap
native-unused	LiftRock
native+used	LookAtNothing
native+used	MuteSounds
native+used	NoDialogCam
native+used	NoLoadUseCamera
native+used	ObjectCreate
native+used	PauseThing
native+used	PlayAVI
native+used	PlayMusic
native+used	PlayObjectAnim
native+used	PlaySound
native-unused	Print
native-unused	PutInFrontOf
native+used	PutInHeroHands
native+used	PutUpYourSwords
native+used	RegisterActor
native-unused	RegisterScript
native+used	Remove
native+used	RemoveAll
native-unused	RemoveAllThings
native+used	RemoveEffect
native+used	RemoveExtras
native+used	RemoveHeroClothes
native+used	RemoveHeroWeapons
native+used	ResetCamera
native+used	ReturnFollowers
native-unused	ScriptEntity
native+used	ScriptFrame
native+used	SetChestOpen
native+used	SetDoorOpen
native+used	SetFlag
native+used	SetGravityOnThing
native+used	SetHeroWeapon
native-unused	SetHomePosThing
native-unused	SetLightScene
native+used	SetThingConscious
native+used	SetTime
native-unused	SlideTeleport
native+used	SmashWindows
native+used	StartProgressSpinner
native+used	StartTimeCode
native-unused	StayFadedOut
native+used	StopProgressSpinner
native-unused	TakeFromHero
native+used	TakeObjectFromHero
native+used	TeleportFollowers
native+used	TeleportThing
native-unused	TeleportToHSP
native+used	TintScreenOut
native+used	TintScreenTo
native+used	UseCamera
native+used	UseCameraFOVMarkerList
native+used	UseTheme
native+used	WaitActiveDialog
native+used	WaitBossFight
native-unused	WaitFlag
native+used	WaitForCamera
native+used	WaitForMessageCamera
content-broken	.ClearActions
content-prefix-matches:.PlayLoopingAnim	.PlayLoopingAnimation
content-prefix-matches:.PlayCombatAnim	.PlayCombatAnimation
content-prefix-matches:Remove	RemoveThing
content-prefix-matches:DoScriptFrame	DoScriptFrame1
content-broken	DoScriptName
content-broken	.SetEntityMaxWalkingSpeed
content-prefix-matches:.DialogSpeak	.DialogSpeakSpeak
content-broken	.SetScriptedMode
content-broken	AnimationPhysics
content-broken	ClearCommands
content-broken	dGamePause
content-broken	nop
