# class(module)	fnCount
CGameScriptInterface	935
CEditControlCentre	252
NGlobalConsole	223
CWorld	206
CWorldMap	200
CThingCreatureBase	164
CPlayer	148
CTCInventoryBase	140
CComponent	137
CUserProfileManager	123
CThing	118
CTCInventory	118
CEditWorldMap	118
CManager	112
CAIStateGroup_OpinionReactionRoot	105
CCreatureActionBase	104
CTCInventoryTrade	103
CQuestManager	102
CTCVillage	101
CEngine	99
CPlayerGui	91
CMap	91
CBankFile	89
CThingManager	86
CCombatActionBase	85
CTCInventoryExperience	84
CThingAICreature	82
CTCHeroStats	82
CTCInventoryAbilities	81
CSurveyDialog	81
CGameScriptThing	81
CTCGraphicAppearance	80
CScriptThing	78
CShaderRenderManager	78
CTCHeroExperience	77
CGuiWindow	76
CGameCameraManager	75
CTCInventoryMap	73
CCombatManager	70
CEngineDebug	70
CMainGameComponent	69
CXboxInfo	69
CTCCombat	68
CTCInventoryWeapons	67
CTCPhysicsBase	65
CTCPhysicsStandard	65
CAIStateGroupBase	65
CTCLook	64
CThingPlayerCreature	62
CDisplayManager	62
CList	61
CTCInventoryItem	60
CTCTavernGame	60
CTCBase	59
CLandscapeBackgroundTreeNode	59
CGraphicDataBank	58
CParticleProgram	55
CTCSpecialAbilities	51
CMemoryAllocator	51
CTCInventoryClothing	50
CTCInventoryQuests	50
CEngineWaterRenderer	50
CConsole	50
CAFile	48
CTCPerceiveThing	48
CShaderPreParser	48
CSubtitleRenderer	47
CEngineWeatherRenderer	47
CParticleSystem	47
CGuiControlTreePane	47
CTCShop	45
CCategory	45
CEnvironment	45
CDefinitionManager	45
CHeroBoastsScript	45
CTCWife	44
CFrontEndManager	44
CMeshDataBank	44
CStringParser	43
CTCDParticleEmitter	43
CTCCreatureOpinionOfHero	43
NCreatureMode	43
CPaintMapDialog	43
CHandleBasedMemoryPool	42
CGamePlayerInterface	41
CDisplayEngine	41
CSurface	40
CPlayerManager	40
CTCBuyableHouse	40
CThingPhysical	40
CEditMap	40
CAnimationDialog	40
CEngineWorldMap	40
CInputEvent	40
CNavigatorAStar	40
CQ_AmbushTradersScript	40
CTCWeapon	39
CTCObjectAugmentations	39
CTCHeroOnlineScoreboard	39
CParticleEmitter	39
CEngineLandscapeRenderer	39
CRenderManagerCore	39
CPhysicsMesh	39
CTCInGameMenu	38
CTCInventoryStats	38
CDrawQuestInfo	38
CBase	38
CMiniMapDisplay	38
CEnginePrimitiveRenderer	38
CTCCoopSpirit	36
CEngineMap	36
CLandscapeBackgroundPatch	36
CFrontendGameComponent	35
CTCHeroMorph	35
CEngineLightingManager	35
CTCCreatureNavigation	34
CTCCreatureGenerator	34
CTCShotDefinitionBase	34
CTCTavernGameCardBlackjack	34
CTCKraken	34
CGuiWindowBox	34
CEngineLandscapeMap	34
CSystemManager	34
CTCHeroAttachableAppearanceModifiers	33
CAnimateThing	33
CFileInstaller	33
CTexture	33
NParticleEngine	32
CCharString	31
CTCStealth	31
CTCWillResponse	31
CTCCarrying	31
CEditDisplayEngine	31
CRenderManager2D	31
COptimisedPrimitive	31
NResourceDirectoryNames	30
CTCSoundPlayer	30
CTCEditorAnimationThing	30
CThingBuilding	30
CDataOutputStream	30
CChangingStateComponent	29
CTCTalk	29
CTCPhysicsRigidBody	29
CTCTargetingPlayer	29
CAnimSet	29
CMenuEntry	29
CRegionMinimap	29
CScriptGameResourceObjectScriptedThingBase	29
CAIStateGroup_GoToPub	29
CScriptGameResourceObjectScriptedThing	29
CEngineResourceManager	29
CEngineScreenEffectRadialBlurRenderer	29
CDebugManager	29
CNavQuadTree	29
CMemoryAllocatorVariableSize	29
CTCHeroRangedAttacks	28
CThingObject	28
CDataInputStream	28
CRegionDialog	28
CEngineLandscapePatch	28
CWaterSeaGenerator	28
CVolumeTexture	28
CTCLight	27
CThingTrackNode	27
CGameTimeManager	27
CAIStateGroup_HoverHornetQueen	27
CInputManager	27
CPhysicsMeshObject	27
CNewFrontendGameComponent	26
CTCCameraPointScriptedSpline	26
CTCWillLightning	26
CWideString	26
CScriptBase	26
CTCAssassinRush	25
CTCBerserk	25
CTCTavernGameCardBase	25
CThingPropertyDialog	25
CAIStateGroup_JackDragon	25
CEngineLandscapeMemoryManager	25
CEngineLocalDetailGenerator	25
CQuadTreeElement	25
CGuiControlTree	25
CMouseDX	25
CQR_EscortTraderScript	25
CTCShopKeeper	24
CTCDExplosion	24
CThingMapManager	24
CEngineSurfaceCompositionManager	24
CEngineScreenEffectGlowRenderer	24
CEngineScene	24
CWaterGenerator	24
CEnginePrimitiveManagerStaticMeshesBase	24
CPersistContext	23
CTCBulletTime	23
CTCTavernGameSpotTheAddition	23
CThingSwitch	23
CGroundNavigatorExternalInterface	23
CTools	23
CGuiWindowManager	23
CMemoryAllocatorFixedSize	23
CQ_BountyHuntScript	23
CTCHeroOpinionDeedLog	22
CTCPhysicalShieldSpell	22
CEditEngine2DBase	22
CHitLocation	22
CTheme2MapDialog	22
CEnvironmentSpellEffectInterface	22
CAIStateGroup_TavernServer	22
CEngineSkyRenderer	22
CThreadedFileManager	22
CQ_HangingTreeGoodScript	22
CV_ChapelOfEvilScript	22
CIME	21
CPSCSingleSprite	21
CTCSpotLight	21
CTCShapeManager	21
CTCBoss	21
CTCTavernGameCoinGolf	21
CAIBrain	21
CBoneDialog	21
CEngineSceneGrid	21
CPSCUpdateNormal	21
CPSCEmitterGeneric	21
CBankFileManager	21
CDataBank	21
CExclusiveAssert	21
CParticleSimulation	21
CChunkedFileSuperChunk	21
CTCDoor	20
CTCTrophy	20
CTCOpinionSource	20
CTCTrapBase	20
CCompressorZlib	20
CThingGameObject	20
CItem	20
CEnvironmentSpellEffectInterpolator	20
CProjectileWeapon	20
CEngineShadowRenderer	20
CGuiControlButton	20
CGuiControlTab	20
CVolume	20
CVertexGroupBlockOptimiser	20
CTCCameraPointDefinitionBase	19
CTCWeaponTrail	19
CTCDRegionExit	19
CTCBoastingCrowdControl	19
CClickable	19
CInputProcessGameBase	19
CScriptedMapBrush	19
CScreenEffectPriorityStack	19
CAIStateGroup_TavernKeeper	19
CPSCDecalRenderer	19
CNavigatorManager	19
CV_AmbushScamScript	19
CV_TalentlessBardScript	19
CTCScriptedControl	18
CTCDivineWrath	18
CTCUnholyPower	18
CTCBattleCharge	18
CTCMultiArrow	18
CTCTavernGameCardPairs	18
CText	18
CRedefinerList	18
CHitParameters	18
CEditEngine2DWorldMap	18
CAIStateGroup_CreatureUseCoverBase	18
CEngineScreenEffectDisplacementRenderer	18
CPixelFormat	18
CSymbolMap	18
CProfileManager	18
CCamera	18
CWStringParser	18
CGuiControlComboBox	18
CNavQuadTreeNode	18
CQ_FireHeartScript	18
CQ_HangingTreeEvilScript	18
CV_BeardyBaldyScript	18
