def	addr	offset	size	helper
CControlsDef	004330f0	0x48	1	None
CControlsDef	004330f0	0x49	1	None
CControlsDef	004330f0	0x4a	1	None
CControlsDef	004330f0	0x4b	1	None
CControlsDef	004330f0	0x4c	1	None
CControlsDef	004330f0	0x4d	0	None
CFrontEndDef	004331c0	0x48	4	None
CFrontEndDef	004331c0	0x4c	4	None
CFrontEndDef	004331c0	0x50	0	None
CEngineDef	00433fe0	0x3c	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x40	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x44	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x48	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x4c	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x50	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x54	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x58	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x5c	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x60	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x64	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x68	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x6c	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x70	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x74	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x78	4	CEngineLightingManager::UpdateShadowScene
CEngineDef	00433fe0	0x7c	0	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x3c	4	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x40	4	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x44	4	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x48	4	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x4c	4	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x50	4	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x54	4	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x58	4	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x5c	4	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x60	4	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x64	4	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x68	4	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x6c	1	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x6d	1	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x6e	1	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x6f	1	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x70	1	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x71	1	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x72	1	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x73	1	CEngineLightingManager::UpdateShadowScene
CEngineVideoOptionsDef	00434120	0x74	0	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x3c	4	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x40	4	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x44	4	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x48	4	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x4c	4	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x50	4	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x54	4	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x58	4	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x5c	4	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x60	4	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x64	4	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x68	4	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x6c	4	CEngineLightingManager::UpdateShadowScene
CConfigOptionsDefaultsDef	00434290	0x70	0	CEngineLightingManager::UpdateShadowScene
CThingMultiArrowShotDef	00451ca2	0x28	4	CEngineLightingManager::UpdateShadowScene
CThingMultiArrowShotDef	00451ca2	0x2c	4	CEngineLightingManager::UpdateShadowScene
CThingMultiArrowShotDef	00451ca2	0x30	4	CEngineLightingManager::UpdateShadowScene
CThingMultiArrowShotDef	00451ca2	0x34	4	CEngineLightingManager::UpdateShadowScene
CThingMultiArrowShotDef	00451ca2	0x38	4	CEngineLightingManager::UpdateShadowScene
CThingMultiArrowShotDef	00451ca2	0x3c	4	CEngineLightingManager::UpdateShadowScene
CThingMultiArrowShotDef	00451ca2	0x40	4	CEngineLightingManager::UpdateShadowScene
CThingMultiArrowShotDef	00451ca2	0x44	4	CEngineLightingManager::UpdateShadowScene
CThingMultiArrowShotDef	00451ca2	0x48	4	CEngineLightingManager::UpdateShadowScene
CThingMultiArrowShotDef	00451ca2	0x4c	4	CEngineLightingManager::UpdateShadowScene
CThingMultiArrowShotDef	00451ca2	0x50	0	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x25	15	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x34	4	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x38	4	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x3c	4	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x40	4	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x44	4	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x48	4	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x4c	4	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x50	4	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x54	4	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x58	4	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x5c	1	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x5d	1	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x5e	1	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x5f	1	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x60	1	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x61	3	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x64	4	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x68	4	CEngineLightingManager::UpdateShadowScene
CInventoryItemDef	00451d28	0x6c	0	CEngineLightingManager::UpdateShadowScene
CPhysicsDef	0045212a	0x28	4	CEngineLightingManager::UpdateShadowScene
CPhysicsDef	0045212a	0x2c	4	CEngineLightingManager::UpdateShadowScene
CPhysicsDef	0045212a	0x30	4	CEngineLightingManager::UpdateShadowScene
CPhysicsDef	0045212a	0x34	4	CEngineLightingManager::UpdateShadowScene
CPhysicsDef	0045212a	0x38	4	CEngineLightingManager::UpdateShadowScene
CPhysicsDef	0045212a	0x3c	4	CEngineLightingManager::UpdateShadowScene
CPhysicsDef	0045212a	0x40	0	CEngineLightingManager::UpdateShadowScene
CTCNoiseDef	00452184	0x28	4	None
CTCNoiseDef	00452184	0x2c	4	None
CTCNoiseDef	00452184	0x30	0	None
CCarrySlotDef	00452256	0x28	4	CEngineLightingManager::UpdateShadowScene
CCarrySlotDef	00452256	0x2c	4	CEngineLightingManager::UpdateShadowScene
CCarrySlotDef	00452256	0x30	4	CEngineLightingManager::UpdateShadowScene
