004330f0	CControlsDef
004331c0	CFrontEndDef
00433fe0	CEngineDef
00434120	CEngineVideoOptionsDef
00434290	CConfigOptionsDefaultsDef
00451ca2	CThingMultiArrowShotDef
00451d28	CInventoryItemDef
0045212a	CPhysicsDef
00452184	CTCNoiseDef
00452256	CCarrySlotDef
004522c6	CSmashableDef
00452398	CHeroMarriageDef
00452593	CSpecialAbilitiesDrainLifeDataDef
004525a3	CSpecialAbilitiesForcePushDataDef
004525e9	CCreatureStatsDef
0045266f	CCoopSpiritDef
004526b3	CContextSensitiveItemDef
0045279b	CBonusItemDef
00452884	CHeroTitleDef
004529ae	CTattooDef
00452b04	CHairCardDef
00452b14	CCombatAbilityAttackBase
00452b93	CCombatAbilityStrafeDef
00452bb4	CCombatAbilityUseProjectileWeaponDef
00452be2	CDragonActionSwoopDef
00452c94	CDragonActionNapalmDef
00452ccd	CDragonActionHoverDef
00452cdd	CAugmentationDef
00452df1	CAbilityDef
00452ea5	CJackDragonDef
00452f8e	CBriarRoseDef
00453014	CSnowTrollDef
004530bb	CGuildMasterDef
004530dc	CSummonerDef
00453178	CExplosiveTrailDef
00454b8e	CThingBuildingDef
00454dcb	CThingHolySiteDef
00454e21	CThingMarkerDef
00454f15	CThingSwitchDef
00454f5f	CThingVillageDef
00454fc3	CThingPhysicalSwitchDef
00455588	CInventoryCategoryDef
004556ce	CMessageEventDef
004558df	CEnvironmentDef
00455f1a	CThingNoiseDef
00456564	CCameraModeDef
00456818	CCameraManagerSetDef
00456883	CHeroPostcardGeneratorDef
004569a7	CExpressionDef
00456dfb	CCombatDialogueDef
00456f27	CVillagerInteractionsDef
00457a0d	CSpecialAbilitiesGhostSwordDef
00457f13	CSpecialAbilitiesDrunkennessDef
00457f91	CSpecialAbilitiesThunderLightningStormDef
004585fe	CHitLocationDef
00458911	CLightningDef
00458c9d	CMeleeCombatKnockdownEffects
00458d6f	CThingShotDef
0045912f	CThingObjectDef
00459353	CCreatureAbilityDef
0045954d	CThingGroupDef
00459582	CPlayerDef
00459615	CPlayerMovementDef
00459704	CSimBuildingDef
00459764	CEngineThemeGroupDef
0045979b	CEngineThemeDef
0045c8c3	CSpecialEffectsDef
0045d923	CTargetingDef
0045de67	COpinionReactionMaskDef
0045e2e9	COpinionDeedMaskDef
0045e7cf	COpinionPersonalityDef
0045f178	COpinionSourceDef
004615fb	CArmourDef
0046329e	CSoundThemeDef
00463bff	CMeleeCombatAbilityDef
00464b8a	CSimVoicesDef
00464be9	CSpecialAbilitiesAssassinRushDef
00464db5	CSpecialAbilitiesBulletTimeDef
00465163	CSpecialAbilitiesForcePushDef
00465258	CSpecialAbilitiesEnflameDef
00465390	CSpecialAbilitiesPhysicalShieldDef
00465634	CSpecialAbilitiesHealLifeDef
00465662	CSpecialAbilitiesTurncoatSpellDef
004656a6	CSpecialAbilitiesFireballSpellDef
004656df	CSpecialAbilitiesDivineWrathDef
00465b41	CSpecialAbilitiesUnholyPowerDef
00465c54	CCombatAbilityBlockDefBase
004665b6	CHeroCombatDef
00466b37	CBrainDef
00467553	CPlayerInventoryDef
004678e2	CInventoryDef
0046923d	CMaterialDef
004696c1	CCreatureGenerationFamilyDef
00469ab3	CHeroAbilityDef
00469c2e	CTextureReplacementDef
0046a0b0	CCameraManagerDef
0046a178	CSpecialAbilitiesBattleChargeDef
0046a260	CSpecialAbilitiesMultiArrowDef
0046a2fc	CSpecialAbilitiesBerserkDef
0046a568	CSpecialAbilitiesLightningSpellDef
0046a6dd	CSpecialAbilitiesSummonSpellDef
0046a742	CSpecialAbilitiesBurntEffectDef
0046a77b	CSpecialAbilitiesElectrocutedEffectDef
0046a7e0	CSpecialAbilitiesCreatureTintDef
0046a80e	CVillagePeopleDef
0046a9ce	CSoundDef
0046c284	CAttackPatternDef
0046c294	CObjectFamilyDef
0046c6e0	CHitLocationsDef
0046c6f0	CCombatSequenceDef
0046ee6a	CQuickAccessItemButtonGuiDef
0046f203	CAbilityButtonGuiDef
0046f727	CLensFlareElementDef
0046f7c8	CCombatTypeDef
0046fc51	CAppearanceModifierDef
004702c8	CEntitySoundDef
004715ab	CRegionDef
004717a1	CFactionDef
00472095	COpinionDeedReactionDef
00472415	CSpecialAbilitiesMultiStrikeDef
004724c2	CSpecialAbilitiesDrainLifeDef
00472506	CGlobalDef
004732e0	CEnvironmentThemeDef
00473504	CAppearanceDef
004736c4	CPlayerGuiDef
0047691e	CSkyDef
00476dc3	CEnvironmentThemeDaySetDef
0047769e	CEngineLocalDetailObjectDef
00477cb1	CEngineLocalDetailLayerDef
004784e4	CAppearanceModifierScalingDef
00478827	CAbilityTrackLevelDef
00478ab7	CAbilityTrackDef
00478ee2	COpinionDeedEffectsDef
0047989b	CEngineLocalDetailGeneratorDef
00479cba	CHeroStatsDef
004dc96f	CDrunkennessDef
004dd924	CCarryableDef
004dd989	CVillageMemberDef
004dd999	CBedDef
004dd9dd	CSmokeGeneratorDef
004dd9fe	CCreatureNavigationDef
004ddb56	CBuyHouseDef
004ddb66	CWifeDef
004ddb76	CDoorDef
004ddc74	CKickableDef
004ddcfa	CLightDef
004dde50	CSpotLightDef
004ddeaa	CHeroDef
004ddf9e	CPerceivedThingDef
004de0bd	CStealthDef
004de122	CTrophyDef
004de204	CChestDef
004de253	CExplodingObjectDef
004de28c	CLookDef
004de33e	CEnemyDef
004de36b	COpinionOfHeroDef
004de3af	CShopItemDef
004de4b2	CStockItemDef
004de50c	CTimeAppearanceFadeDef
004de545	CGiftDef
004de772	CBoastingPodiumDef
004de782	CShipDef
004de881	CExpressionSubDef
004de891	CSummonableCreatureDef
004de8b2	COccupiableDef
004de916	CInterestingToVillagersDef
004de926	CGuardDef
004de9a1	CCrateStackDef
004de9d2	CTavernTableDef
004de9f3	CTavernDef
004dea03	CFireballSpellLevelDef
004dea13	CThingDrainLifeShotDef
004debc4	CGoldDef
004dec1c	CCoinGameObstacleDef
004dec2c	CTavernGameCoinBaseDef
004dec86	CTavernGameCoinGolfDef
004ded4e	CDecapitationDef
004dedac	CWallMountEffectsDef
004dee7e	CFishDef
004def0f	CTeleporterDef
004def3d	CHeroSpecialMovementDef
004def76	CResurrectionItemDef
004df050	CKrakenTentacleDef
004df0f7	CAICreatureWillPowerIndicatorDef
004df107	CFishingRodDef
004df1e9	CNymphDef
004df264	CSummonDef
004df31c	CCameraCollisionDef
004df32c	CTCVolumeContainmentTrackerDef
004df562	CWillResponseDef
004df5c7	CBettingDef
004df658	COracleMinigameDef
004df6f4	CFireheartMinigameDef
004df738	CLightningOrbDef
004df77c	CHasNameDef
004e3842	CMazeBattleDef
004e38e4	CThunderBattleDef
004e394f	CWhisperBattleDef
004e39a2	CWaspQueenBattleDef
004e39e6	CJackOfBladesBattleDef
004e3ae0	CScorpionKingBattleDef
004e3b82	CTrollBattleDef
004e3c24	CBalverineBattleDef
004e3f7b	CAreaOfEffectAttackDef
004e448d	CClockDef
004e5011	CExperienceDef
004e55f1	CHeroSuitDef
004e599d	CFlammableDef
004e5d08	CTrapDef
004e6248	CIdleSchedulerDef
004e676a	CRumbleDef
004e77c8	CCarryingDef
004e77e9	CHeroMorphDef
004e795a	CQuestCardDef
004e7d97	CBuyableHouseDef
004e7e36	CSkeletalMorphDef
004e7ea7	CCreatureModeDef
004e7ee0	CBossDef
004e7f24	CTurncoatDef
004e7fd8	CTavernGameSpotTheAdditionDef
004e80e3	CKrakenDef
004e82c7	CVillageDef
004e8987	CContainerRewardHeroDef
004e8ce9	CWeaponDef
004e9caa	CParticleAttacherDef
004ea20e	CReplaceableMeshDef
004eac7b	CPrizeScoreDef
004eb02f	CExplosionDef
004eb8c3	CMultiStaticMeshEntryDef
004ebf22	CCardPositionsDef
004ec0b3	CCardDef
004ec153	CSoundAtmospheresDef
004ec53f	CObjectAugmentationsDef
004ecb4d	CShopDef
004ed459	CAnimatingObjectDef
004ed472	CTavernGameDef
004ede1b	CMultiStaticMeshDef
004f9a90	CTavernGameCardBaseDef
00671600	CThingCreatureDef
00675e20	CCreatureDef
00676be0	CThingBaseDef
006773f0	CActionUseDef
00679740	COpinionReactionManagerDef
0067cdb0	CBlurredAttitudesDef
0067e290	CDegradableDef
006d8f10	CHeroExperienceDef
0074c5f0	CCreatureGeneratorDef
0077ce00	CHighlightItemDef
0077d3a0	CHeroCentreDef
007ad300	CAIScratchpadDef
007b1f10	CFishingDef
007b5740	CActivateQuestDef
007b7d20	COverheadDisplayDef
007d0070	CShoveHaPennyRegionDef
007d0a40	CTavernGameShoveHaPennyDef
007e1e30	CCarriedReadableDef
007e81b0	CReadableDef
