0191947a	CGlobalDef
0191a460	CHeroCombatDef
0191b08d	CMeleeCombatAbilityDef
0191b49a	CMeleeCombatKnockdownEffects
0191b858	CThingShotDef
0191c095	CThingMultiArrowShotDef
0191c3df	CThingObjectDef
0191ca19	CThingBuildingDef
0191cf5e	CCreatureAbilityDef
0191d0f9	CThingHolySiteDef
0191d2e0	CThingMarkerDef
0191d4b4	CThingSwitchDef
0191d65d	CThingVillageDef
0191d823	CThingPhysicalSwitchDef
0191da25	CThingGroupDef
0191dba1	CPlayerDef
0191dd26	CPlayerMovementDef
0191e0df	CSimBuildingDef
0191e286	CEngineThemeGroupDef
0191e3ca	CEngineThemeDef
0191ea54	CBrainDef
0191f2c8	CPlayerInventoryDef
019203f3	CPlayerGuiDef
0192b0ca	CInventoryDef
019307bb	CInventoryCategoryDef
01930ab1	CInventoryItemDef
01930fa6	CPhysicsDef
01931245	CMessageEventDef
01931480	CSkyDef
01931890	CEnvironmentDef
019325e5	CEnvironmentThemeDaySetDef
01932953	CEngineLocalDetailGeneratorDef
01932ba0	CMaterialDef
01933043	CCombatTypeDef
0193364c	CEngineDef
01933a3d	CEngineVideoOptionsDef
01934063	CSimVoicesDef
0193430c	CSoundThemeDef
019346b3	CTCNoiseDef
019347c8	CThingNoiseDef
019349c3	CCreatureGenerationFamilyDef
01934c42	CCarrySlotDef
01934f3f	CSmashableDef
0193540e	CSpecialEffectsDef
019356a2	CHeroAbilityDef
01935c89	CHeroStatsDef
01936d03	CTextureReplacementDef
019378dd	CAppearanceModifierDef
01937e5b	CEntitySoundDef
019381f7	CRegionDef
01938acc	CFactionDef
01938cb5	CCameraModeDef
01939646	CCameraManagerDef
019399db	CCameraManagerSetDef
01939be8	CControlsDef
01939eda	CHeroPostcardGeneratorDef
0193a1ae	CExpressionDef
0193ac64	CAppearanceDef
0193b28d	CTargetingDef
0193b908	COpinionReactionMaskDef
0193be86	COpinionDeedMaskDef
0193c20f	COpinionDeedEffectsDef
0193d046	CHeroMarriageDef
0193d9fb	CCombatDialogueDef
0193dec8	CVillagerInteractionsDef
0193e1e4	COpinionPersonalityDef
0193e751	COpinionSourceDef
0193f5d0	CSpecialAbilitiesDrainLifeDataDef
0193f727	CSpecialAbilitiesForcePushDataDef
0193fbb8	CSpecialAbilitiesAssassinRushDef
0194033a	CSpecialAbilitiesBattleChargeDef
0194092f	CSpecialAbilitiesMultiStrikeDef
01940dc0	CSpecialAbilitiesMultiArrowDef
01941323	CSpecialAbilitiesBerserkDef
01942391	CSpecialAbilitiesBulletTimeDef
01943235	CSpecialAbilitiesForcePushDef
019437ed	CSpecialAbilitiesEnflameDef
01943ef1	CSpecialAbilitiesPhysicalShieldDef
01944c21	CSpecialAbilitiesDrainLifeDef
01944f31	CSpecialAbilitiesHealLifeDef
01945156	CSpecialAbilitiesGhostSwordDef
0194542f	CSpecialAbilitiesTurncoatSpellDef
01945730	CSpecialAbilitiesFireballSpellDef
01945b2f	CSpecialAbilitiesLightningSpellDef
01946408	CSpecialAbilitiesSummonSpellDef
0194675a	CSpecialAbilitiesBurntEffectDef
019469c5	CSpecialAbilitiesElectrocutedEffectDef
01946cef	CSpecialAbilitiesDrunkennessDef
01946fe5	CSpecialAbilitiesThunderLightningStormDef
019474fc	CSpecialAbilitiesDivineWrathDef
01947ea5	CSpecialAbilitiesUnholyPowerDef
019485ca	CSpecialAbilitiesCreatureTintDef
019488af	CVillagePeopleDef
0194966f	CSoundDef
01949acc	CAttackPatternDef
01949cb9	CObjectFamilyDef
01949fb1	CCreatureStatsDef
0194a399	CArmourDef
0194a740	CHitLocationDef
0194acac	CHitLocationsDef
0194aeb0	CCoopSpiritDef
0194b0a7	CContextSensitiveItemDef
0194b2aa	CBonusItemDef
0194b706	CHeroTitleDef
0194b9f9	CConfigOptionsDefaultsDef
0194be7c	CTattooDef
0194c2a7	CHairCardDef
0194c731	CCombatAbilityBlockDefBase
0194d0df	CCombatAbilityAttackBase
0194d6ea	CCombatAbilityStrafeDef
0194d9c6	CCombatAbilityUseProjectileWeaponDef
0194dc17	CCombatSequenceDef
0194df0b	CDragonActionSwoopDef
0194e292	CDragonActionNapalmDef
0194e461	CDragonActionHoverDef
0194e5b8	CLightningDef
0194e7ff	CAugmentationDef
0194eac3	CAbilityDef
0194ec1a	CJackDragonDef
0194f0be	CBriarRoseDef
0194f3a5	CSnowTrollDef
0194f716	CGuildMasterDef
0194f895	CSummonerDef
0194fbde	CExplosiveTrailDef
01a0ab47	CQuickAccessItemButtonGuiDef
01a0ad90	CAbilityButtonGuiDef
01a0c0a5	CLensFlareElementDef
01a0c2f3	CEnvironmentThemeDef
01a0c8cd	CEngineLocalDetailLayerDef
01a0da25	CEngineLocalDetailObjectDef
01a0e0f4	CAppearanceModifierScalingDef
01a0e34c	CAbilityTrackDef
01a0f440	CAbilityTrackLevelDef
01a0f69d	COpinionDeedReactionDef
01a3c4e0	CFrontEndDef
01b953e9	CCarryingDef
01b955eb	CCarryableDef
01b959f0	CVillageDef
01b964be	CVillageMemberDef
01b96689	CBedDef
01b96a80	CHeroMorphDef
01b96ed6	CSmokeGeneratorDef
01b97055	CCreatureNavigationDef
01b9b1cd	CQuestCardDef
01b9d4f0	CBuyableHouseDef
01b9d8b4	CBuyHouseDef
01b9dac2	CWifeDef
01b9dd72	CDoorDef
01b9e1d7	CKickableDef
01b9e508	CLightDef
01b9e9d6	CSpotLightDef
01b9ed18	CClockDef
01b9eedc	CHeroDef
01b9fdea	CPerceivedThingDef
01ba028f	CStealthDef
01ba08e1	CTrophyDef
01ba0dbb	CMazeBattleDef
01ba1083	CThunderBattleDef
01ba126f	CWhisperBattleDef
01ba13ee	CWaspQueenBattleDef
01ba1557	CJackOfBladesBattleDef
01ba1a14	CScorpionKingBattleDef
01ba1cce	CTrollBattleDef
01ba1fb5	CBalverineBattleDef
01ba27a7	CContainerRewardHeroDef
01ba2a4b	CChestDef
01ba2f58	CExplodingObjectDef
01ba35b3	CLookDef
01ba4ceb	CObjectAugmentationsDef
01ba53c5	CWeaponDef
01ba63e7	CEnemyDef
01ba6e27	COpinionOfHeroDef
01ba72ce	CShopItemDef
01ba75db	CShopDef
01ba8383	CStockItemDef
01ba86a6	CTimeAppearanceFadeDef
01ba89d7	CGiftDef
01ba97ff	CExperienceDef
01ba9ef3	CHeroSuitDef
01bab1ac	CFlammableDef
01bab756	CBoastingPodiumDef
01babf0a	CSkeletalMorphDef
01bac1fc	CShipDef
01bacc4c	CTrapDef
01bad2a6	CCreatureModeDef
01bad76e	CParticleAttacherDef
01badd54	CAnimatingObjectDef
01bae669	CExpressionSubDef
01baeb46	CSummonableCreatureDef
01baf4a8	CReplaceableMeshDef
01bafb0f	COccupiableDef
01bafcd6	CBossDef
01bb07c3	CInterestingToVillagersDef
01bb0d08	CGuardDef
01bb13e2	CCrateStackDef
01bb1812	CTavernTableDef
01bb1edc	CTavernDef
01bb24c8	CDrunkennessDef
01bb28a5	CFireballSpellLevelDef
01bb29fc	CThingDrainLifeShotDef
01bb41b9	CTurncoatDef
01bb4ad1	CGoldDef
01bb53d1	CTavernGameDef
01bb6697	CCoinGameObstacleDef
01bb67ee	CTavernGameCoinBaseDef
01bb6e6e	CTavernGameCoinGolfDef
01bb72d7	CTavernGameCardBaseDef
01bb792a	CTavernGameSpotTheAdditionDef
01bb83a2	CDecapitationDef
01bb8b1e	CWallMountEffectsDef
01bb8d88	CFishDef
01bb9142	CTeleporterDef
01bb946e	CExplosionDef
01bba038	CHeroSpecialMovementDef
01bba42e	CResurrectionItemDef
01bba5c9	CKrakenDef
01bbaf09	CKrakenTentacleDef
01bbb621	CAICreatureWillPowerIndicatorDef
01bbb873	CMultiStaticMeshDef
01bbbba3	CIdleSchedulerDef
01bbc5c4	CFishingRodDef
01bbcb57	CRumbleDef
01bbd022	CAreaOfEffectAttackDef
01bbd8af	CSoundAtmospheresDef
01bbdcba	CNymphDef
01bbe289	CSummonDef
01bbe9cc	CCameraCollisionDef
01bbedfb	CTCVolumeContainmentTrackerDef
01bbfe29	CWillResponseDef
01bc0388	CBettingDef
01bc0c49	COracleMinigameDef
01bc107f	CFireheartMinigameDef
01bc12da	CLightningOrbDef
01bc19e6	CHasNameDef
01c2e8ad	CPrizeScoreDef
01c2eac0	CCardPositionsDef
01c2ecba	CCardDef
01c2ee8f	CMultiStaticMeshEntryDef
01e836b0	CAIScratchpadDef
01ef6b20	CHeroExperienceDef
01fb3ed0	CThingCreatureDef
01fbc8f0	CCreatureDef
01fd5340	CThingBaseDef
01fea8a0	CDegradableDef
01fee5e0	CActionUseDef
01feedb0	COpinionReactionManagerDef
02005eb0	CBlurredAttitudesDef
0251bdb0	CCreatureGeneratorDef
025411f0	CReadableDef
0263f670	CHighlightItemDef
026438e0	CHeroCentreDef
026d9b80	CFishingDef
026e56b0	CActivateQuestDef
026ecad0	COverheadDisplayDef
027387e0	CShoveHaPennyRegionDef
02738b80	CTavernGameShoveHaPennyDef
027890c0	CCarriedReadableDef
03b5c310	CArenaCreatureDef
03b5c680	CArenaWaveDef
03b5df50	CHeroSoulsCreatureDef
03b5e290	CHeroSoulsWaveDef
03b5fb90	CConversation
03b5ff20	CFireHeartPatternDef
03b604c0	CArenaRoundDef
03b61db0	CHeroSoulsRoundDef
03b66ef0	CScriptDef
03b732f0	CRegionScriptDef
03b73610	CCutsceneDef
03b79500	CFeatDef
