00401010	WinMain
00401020	pre_c_init
004010b0	pre_cpp_init
00401110	WinMainCRTStartup
00401130	__tmainCRTStartup
00401430	NtCurrentTeb
00401440	check_managed_app
004014b0	__CxxUnhandledExceptionFilter
00401520	__CxxSetUnhandledExceptionFilter
00401540	_setdefaultprecision
00401580	_invoke_watson_if_error
004015b0	_matherr
004015c0	_setargv
004015d0	_RTC_Initialize
00401600	_RTC_Terminate
00401630	_onexit
00401730	atexit
00401760	__security_init_cookie
00401870	_ValidateImageBase
004018d0	_FindPESection
00401950	_IsNonwritableInCurrentImage
00401a80	_except_handler4
00401ae0	__security_check_cookie
00401af0	__report_gsfailure
