00401010	_WinMain@16
00401020	pre_c_init
004010b0	pre_cpp_init
00401110	_WinMainCRTStartup
00401130	__tmainCRTStartup
00401430	_NtCurrentTeb
00401440	check_managed_app
004014b0	?__CxxUnhandledExceptionFilter@@YGJPAU_EXCEPTION_POINTERS@@@Z
00401520	___CxxSetUnhandledExceptionFilter
00401540	__setdefaultprecision
00401580	__invoke_watson_if_error
004015b0	__matherr
004015c0	__setargv
004015d0	__RTC_Initialize
00401600	__RTC_Terminate
00401630	__onexit
00401730	_atexit
00401760	___security_init_cookie
00401870	__ValidateImageBase
004018d0	__FindPESection
00401950	__IsNonwritableInCurrentImage
00401a80	__except_handler4
00401ae0	@__security_check_cookie@4
00401af0	___report_gsfailure
