00892ea0	ActivateMultipleQuests
00892ee0	ActivateMultipleQuestsWithoutLoadingResources
00892e80	ActivateQuest
00892ec0	ActivateQuestWithoutLoadingResources
00893060	AddBoast
008a1a10	AddCreatureScriptedMode
0089feb0	AddCrimeCommitted
00891540	AddFeatCard
008aa0d0	AddGossip
008aa550	AddGossipFactions
008a9e60	AddGossipFactionToCategory
008a9e30	AddGossipVillage
008aa2f0	AddGossipVillages
0089e780	AddItemToContainer
00890750	AddLineToConversation
0088fe00	AddLogBookEntry
008906c0	AddNewConversation
008a9dd0	AddNewRumourToCategory
00890710	AddPersonToConversation
008913f0	AddQuestCard
00891ac0	AddQuestInfoBar
00891ad0	AddQuestInfoBarHealth
00891b30	AddQuestInfoCounter
00891b50	AddQuestInfoCounterList
00891b70	AddQuestInfoTick
00891b20	AddQuestInfoTimer
00891820	AddQuestRegion
008a9db0	AddRumourCategory
00892850	AddScreenMessage
0089e4c0	AddScreenTitleMessage
008981c0	AddTattooToHero
008977f0	ApplyHeroPenaltyForDeath
0088f480	ApplyScriptBrush
0088e6f0	AreEntitiesEnemies
0088f930	AutoSave
0088f910	AutoSaveCheckPoint
0088f920	AutoSaveQuestStart
00894aa0	BeginLoadingMesh
00891310	CacheMusicSet
0088edb0	CameraCancelScreenEffect
00892c20	CameraCircleAroundPos
00892b50	CameraCircleAroundThing
00890ff0	CameraDefault
0088edc0	CameraDoConversation
0088ed20	CameraEarthquakeIntensityAtPos
00892610	CameraMoveBetweenLookFromAndLookTo
008926d0	CameraMoveBetweenLookingAt
00892410	CameraMoveToPosAndLookAtPos
008924b0	CameraMoveToPosAndLookAtThing
00890fc0	CameraResetToViewBehindHero
0088ec90	CameraSetCameraPreloadFlag
0088ece0	CameraShake
008922f0	CameraUseCameraPoint
0088eda0	CameraUseScreenEffect
0089d690	CancelAbilitiesForCutscene
008a0820	CancelHeroTeleportEffects
00890180	CancelRadialBlurFade
0089d750	CancelUsingAbility
0089cd70	CanThingBe_Heard_ByOtherThing
0089cd30	CanThingBe_NearlySeen_ByOtherThing
0089cd10	CanThingBe_Seen_ByOtherThing
0089cd50	CanThingBe_Smelled_ByOtherThing
0089b450	ChangeHeroHairstyle
00891720	ChangeHeroHealthBy
0089a0e0	ChangeHeroMoralityDueToPicklock
0089a070	ChangeHeroMoralityDueToTheft
00891ba0	ChangeQuestInfoBarColour
006e7920	CheckForCameraMessage
008a78e0	ClearActiveGossipCategories
00892df0	ClearAllRumbles
008aa010	ClearGossip
008aa4d0	ClearGossipFactions
008aa270	ClearGossipVillages
008961b0	ClearHeroEnemyOfGuards
008a7930	ClearIsGossipForPlayer
008a03f0	ClearThingBestEnemyTarget
0088e480	ClearThingHasInformation
00896660	CloseChest
00895de0	CloseDoor
0088e000	CloseHouseDoors
008986d0	ConfiscateAllHeroItems
008987e0	ConfiscateAllHeroWeapons
00898840	ConfiscateItemsOfTypeFromHero
008a9100	CreateCreature
0089f300	CreateCreatureNearby
00894500	CreateCreatureOnEntity
0089f910	CreateEffect
0089fbb0	CreateExperienceOrb
0089fc80	CreateExplosion
0089faa0	CreateLight
00894820	CreateObject
008946e0	CreateObjectOnEntity
0089fd20	CreatePhysicalBarrier
0089fda0	CreateRumble
0089ec60	CreatureGeneratorAddTriggerer
0089ebf0	CreatureGeneratorAreAllCreaturesAlive
0089eb80	CreatureGeneratorGetNumGeneratedCreatures
0089e9c0	CreatureGeneratorIsDepleted
0089ea30	CreatureGeneratorIsDestroyed
0089ecc0	CreatureGeneratorRemoveTriggerer
0089e950	CreatureGeneratorSetAlwaysCreateCreaturesOnTrigger
008a9020	CreatureGeneratorSetFamily
0089eaa0	CreatureGeneratorSetGeneratedCreatureScriptName
0089eb10	CreatureGeneratorSetNumTriggers
0089e8e0	CreatureGeneratorTrigger
008a0c60	DeactivateBoastUi
00892f00	DeactivateQuest
00892f10	DeactivateQuestLater
008a0cb0	DebugGetAllTextEntriesForTargetedThing
006e7690	DeregisterTimer
00895950	DisableFishingSpot
008901e0	DisplacementMonochromeEffectColourFadeOut
008901c0	DisplacementMonochromeEffectColourFadeTo
008929d0	DisplayGameInfo
00892a80	DisplayGameInfoText
00896730	DisplayLockedChestMessage
00891c60	DisplayMiniGameInfo
00891c40	DisplayMoneyBag
00891920	DisplayQuestInfo
0088e210	DisplayTime
0089e710	DisplayTutorial
0088e380	DontPopulateNextLoadedRegion
00891320	EnableDangerMusic
0088f4a0	EnableDecals
00896270	EnableGuards
0088f620	EnableSounds
008962d0	EnableVillagerDefTypes
0088e520	EndCutFade
006e7290	EndLetterBox
00890690	EntityAttachToScript
0089d3a0	EntityAttachToVillage
0088f500	EntityBeginLoadingAnimation
0088f530	EntityBeginLoadingBasicAnimations
008a9320	EntityCastForcePush
0088f560	EntityCastLightningAtTarget
