list: opening C:\Programs\Steam\steamapps\common\Fable The Lost Chapters\data\Misc\pc\effects.big
list: 1165 entries
idx	type	size	id	name	friendly
0	0	4568	1	FOOTSLIDE_GRASS_OLD_OLD	FOOTSLIDE_GRASS_OLD_OLD
1	0	1870	2	SWORD_SWORD_BLOCK_HARD	SWORD_SWORD_BLOCK_HARD
2	0	1435	3	SWORDHITTING_STONE	SWORDHITTING_STONE
3	0	2329	4	SWORD_WOOD_BLOCK	SWORD_WOOD_BLOCK
4	0	2303	5	BLOOD_DRIPPING	BLOOD_DRIPPING
5	0	2324	6	SWORD_SWORD_BLOCK_MEDIUM	SWORD_SWORD_BLOCK_MEDIUM
6	0	1864	7	SWORD_SWORD_BLOCK_SOFT	SWORD_SWORD_BLOCK_SOFT
7	0	505	8	FOOTSTEP_DUST	FOOTSTEP_DUST
8	0	957	9	FOOTSTEP_GRASS	FOOTSTEP_GRASS
9	0	958	10	CHIMNEY_SMOKE_01	CHIMNEY_SMOKE_01
10	0	63	11	BREAKING_WINDOW_01	BREAKING_WINDOW_01
11	0	1857	12	BLOOD_SLASH	BLOOD_SLASH
12	0	956	13	FOOTSLIDE_PATH	FOOTSLIDE_PATH
13	0	3204	14	TORCHFIRE_01	TORCHFIRE_01
14	0	2762	15	BLOOD_SPRAY	BLOOD_SPRAY
15	0	2326	16	SWORD_SWORD_BLOCK_HARD_02	SWORD_SWORD_BLOCK_HARD_02
16	0	4426	17	SPIN_360	SPIN_360
17	0	2511	18	GROUND_360_TEST	GROUND_360_TEST
18	0	3577	19	SWIRL_TEST	SWIRL_TEST
19	0	1862	20	FOOTSLIDE_GRASS_OLD	FOOTSLIDE_GRASS_OLD
20	0	1401	21	HIGHLIGHT_KEY	HIGHLIGHT_KEY
21	0	970	22	BLOOD_TEST_01	BLOOD_TEST_01
22	0	1864	23	LUNGE_TEST_SWORD_01	LUNGE_TEST_SWORD_01
23	0	2637	24	LUNGE_TEST_SWORD_02	LUNGE_TEST_SWORD_02
24	0	1852	25	MAGIC_TEST_01	MAGIC_TEST_01
25	0	2480	26	SPIN360_TEST_SWORD_01	SPIN360_TEST_SWORD_01
26	0	2027	27	SPIN360_TEST_GROUND_01	SPIN360_TEST_GROUND_01
27	0	1860	28	UPSWING_TEST_SWORD_01	UPSWING_TEST_SWORD_01
28	0	3986	29	UPSWING_TEST_GROUND_01	UPSWING_TEST_GROUND_01
29	0	1080	30	LUNGE_TEST_GROUND_01	LUNGE_TEST_GROUND_01
30	0	501	31	FALL_DUST	FALL_DUST
31	0	1419	32	SWORDHITTING_STRAW	SWORDHITTING_STRAW
32	0	506	33	CROSSBOW_FIRE	CROSSBOW_FIRE
33	0	955	34	FOOTSLIDE_GRASS	FOOTSLIDE_GRASS
34	0	503	35	WIFEHAPPY	WIFEHAPPY
35	0	500	36	WIFEOK	WIFEOK
36	0	501	37	WIFESAD	WIFESAD
37	0	503	38	WIFEANGRY	WIFEANGRY
38	0	509	39	WIFEREALLYANGRY	WIFEREALLYANGRY
39	0	508	40	WIFEHAPPYBOOST	WIFEHAPPYBOOST
40	0	508	41	WIFEANGRYBOOST	WIFEANGRYBOOST
41	0	505	42	WIFEOKBOOST	WIFEOKBOOST
42	0	514	43	WIFEREALLYANGRYBOOST	WIFEREALLYANGRYBOOST
43	0	506	44	WIFESADBOOST	WIFESADBOOST
44	0	505	45	WIFEDATEHOTTER	WIFEDATEHOTTER
45	0	505	46	WIFEDATECOLDER	WIFEDATECOLDER
46	0	2775	47	BLOOD_SPRAY_YELLOW_SMALL	BLOOD_SPRAY_YELLOW_SMALL
47	0	1443	48	BLOOD_SPRAY_YELLOW_MEDIUM	BLOOD_SPRAY_YELLOW_MEDIUM
48	0	1404	49	HEROVOMIT	HEROVOMIT
49	0	507	50	FOOTSLIDE_MUD	FOOTSLIDE_MUD
50	0	2777	51	BLOOD_SPRAY_YELLOW_LARGE	BLOOD_SPRAY_YELLOW_LARGE
51	0	1225	52	BLOOD_SPRAY_UP	BLOOD_SPRAY_UP
52	0	506	53	FOOTSTEP_MUD	FOOTSTEP_MUD
53	0	1410	54	SWORDHITTING_METAL	SWORDHITTING_METAL
54	0	1418	55	SWORDHITTING_WOOD	SWORDHITTING_WOOD
55	0	1855	56	CAMPFIRE_LIT_01	CAMPFIRE_LIT_01
56	0	1443	57	SWORDHITTING_STONE_BERZERK	SWORDHITTING_STONE_BERZERK
57	0	972	58	SWORDHITTING_STRAW_BERZERK	SWORDHITTING_STRAW_BERZERK
58	0	971	59	SWORDHITTING_WOOD_BERZERK	SWORDHITTING_WOOD_BERZERK
59	0	1418	60	SWORDHITTING_METAL_BERZERK	SWORDHITTING_METAL_BERZERK
60	0	1432	61	BLOOD_SPRAY_YELLOW_LARGE_BERZERK	BLOOD_SPRAY_YELLOW_LARGE_BERZERK
