list: opening C:\Programs\Steam\steamapps\common\Fable The Lost Chapters\data\graphics\graphics.big
list: 8112 entries
idx	type	size	id	name	friendly
0	1	150019	1	MESH_OBJECT_STATUE_BEAR	MESH_OBJECT_STATUE_BEAR
1	1	103842	2	MESH_OBJECT_STATUE_BEAR_CUB	MESH_OBJECT_STATUE_BEAR_CUB
2	1	187934	3	MESH_SUMMONER_BLUE_01	MESH_SUMMONER_BLUE_01
3	1	8741	4	MESH_JOB_MASK_01	MESH_JOB_MASK_01
4	1	73085	5	MESH_SUMMONER_ALTAR_01	MESH_SUMMONER_ALTAR_01
5	1	32412	6	MESH_OBJECT_STATUE_DOG_01	MESH_OBJECT_STATUE_DOG_01
6	1	21938	7	MESH_OBJECT_STATUE_DUCK	MESH_OBJECT_STATUE_DUCK
7	5	31624	8	MESH_SEAGULL_01	MESH_SEAGULL_01
8	6	35885	9	ANIM_BIPED_NEW_GUARD_CROSSBOW_SEARCH	ANIM_BIPED_NEW_GUARD_CROSSBOW_SEARCH
9	6	54179	10	ANIM_BIPED_BLOW_KNOTHOLE_HORN	ANIM_BIPED_BLOW_KNOTHOLE_HORN
10	6	24086	11	ANIM_BIPED_GENERIC_MAN_TALK_IDLE_01	ANIM_BIPED_GENERIC_MAN_TALK_IDLE_01
11	6	27254	12	ANIM_BIPED_GENERIC_MAN_TALK_IDLE_02	ANIM_BIPED_GENERIC_MAN_TALK_IDLE_02
12	6	38000	13	ANIM_BIPED_GENERIC_MAN_TALK_IDLE_03	ANIM_BIPED_GENERIC_MAN_TALK_IDLE_03
13	6	16445	14	ANIM_BIPED_GENERIC_MAN_TALK_IDLE_04	ANIM_BIPED_GENERIC_MAN_TALK_IDLE_04
14	9	6700	15	ANIM_BIPED_GENERIC_MAN_UPP_IDLE_04	ANIM_BIPED_GENERIC_MAN_UPP_IDLE_04
15	9	35343	16	ANIM_BIPED_GENERIC_MAN_LOOK_IDLE_02	ANIM_BIPED_GENERIC_MAN_LOOK_IDLE_02
16	6	13940	17	ANIM_BIPED_GENERIC_MAN_WALK	ANIM_BIPED_GENERIC_MAN_WALK
17	6	44940	18	ANIM_BIPED_GENERIC_MAN_DRUNK_WALK_01	ANIM_BIPED_GENERIC_MAN_DRUNK_WALK_01
18	6	55455	19	ANIM_BIPED_GENERIC_MAN_DRUNK_WALK_02	ANIM_BIPED_GENERIC_MAN_DRUNK_WALK_02
