list: opening C:\Programs\Steam\steamapps\common\Fable The Lost Chapters\data\graphics\pc\frontend.big
list: 394 entries
idx	type	size	id	name	friendly
0	0	202842	1	FRONTEND_BACKDROP_01	FRONTEND_BACKDROP_01
1	0	90132	2	FRONTEND_ERRORMESSAGE_BACKGROUND	FRONTEND_ERRORMESSAGE_BACKGROUND
2	0	72474	3	FRONTEND_TITLE_01_SPRITE	FRONTEND_TITLE_01_SPRITE
3	0	72049	4	FRONTEND_TITLE_02_SPRITE	FRONTEND_TITLE_02_SPRITE
4	0	38055	5	FRONTEND_KEYBOARD_BG_01_SPRITE	FRONTEND_KEYBOARD_BG_01_SPRITE
5	0	39129	6	FRONTEND_KEYBOARD_BG_02_SPRITE	FRONTEND_KEYBOARD_BG_02_SPRITE
6	0	19674	7	FRONTEND_KEYBOARD_BG_03_SPRITE	FRONTEND_KEYBOARD_BG_03_SPRITE
7	0	34069	8	FRONTEND_KEYBOARD_BG_04_SPRITE	FRONTEND_KEYBOARD_BG_04_SPRITE
8	0	36250	9	FRONTEND_KEYBOARD_BG_05_SPRITE	FRONTEND_KEYBOARD_BG_05_SPRITE
9	0	17819	10	FRONTEND_KEYBOARD_BG_06_SPRITE	FRONTEND_KEYBOARD_BG_06_SPRITE
10	0	3958	11	FRONTEND_BUTTON_L_SPRITE	FRONTEND_BUTTON_L_SPRITE
11	0	3950	12	FRONTEND_BUTTON_R_SPRITE	FRONTEND_BUTTON_R_SPRITE
12	0	185	13	FRONTEND_BUTTON_M_SPRITE	FRONTEND_BUTTON_M_SPRITE
13	0	29738	14	FRONTEND_BG_01_SPRITE	FRONTEND_BG_01_SPRITE
14	0	36924	15	FRONTEND_BG_02_SPRITE	FRONTEND_BG_02_SPRITE
15	0	11956	16	FRONTEND_BG_03_SPRITE	FRONTEND_BG_03_SPRITE
16	0	24609	17	FRONTEND_BG_04_SPRITE	FRONTEND_BG_04_SPRITE
17	0	33068	18	FRONTEND_BG_05_SPRITE	FRONTEND_BG_05_SPRITE
18	0	6282	19	FRONTEND_BG_06_SPRITE	FRONTEND_BG_06_SPRITE
19	0	29834	20	FRONTEND_CREDITS_1_BG_01_SPRITE	FRONTEND_CREDITS_1_BG_01_SPRITE
20	0	38080	21	FRONTEND_CREDITS_1_BG_02_SPRITE	FRONTEND_CREDITS_1_BG_02_SPRITE
21	0	29902	22	FRONTEND_CREDITS_1_BG_03_SPRITE	FRONTEND_CREDITS_1_BG_03_SPRITE
22	0	26189	23	FRONTEND_CREDITS_1_BG_04_SPRITE	FRONTEND_CREDITS_1_BG_04_SPRITE
23	0	33709	24	FRONTEND_CREDITS_1_BG_05_SPRITE	FRONTEND_CREDITS_1_BG_05_SPRITE
24	0	24977	25	FRONTEND_CREDITS_1_BG_06_SPRITE	FRONTEND_CREDITS_1_BG_06_SPRITE
25	0	35654	26	FRONTEND_CREDITS_2_BG_01_SPRITE	FRONTEND_CREDITS_2_BG_01_SPRITE
26	0	38434	27	FRONTEND_CREDITS_2_BG_02_SPRITE	FRONTEND_CREDITS_2_BG_02_SPRITE
27	0	14160	28	FRONTEND_CREDITS_2_BG_03_SPRITE	FRONTEND_CREDITS_2_BG_03_SPRITE
28	0	24069	29	FRONTEND_CREDITS_2_BG_04_SPRITE	FRONTEND_CREDITS_2_BG_04_SPRITE
29	0	29404	30	FRONTEND_CREDITS_2_BG_05_SPRITE	FRONTEND_CREDITS_2_BG_05_SPRITE
30	0	10469	31	FRONTEND_CREDITS_2_BG_06_SPRITE	FRONTEND_CREDITS_2_BG_06_SPRITE
31	0	35567	32	FRONTEND_CREDITS_3_BG_01_SPRITE	FRONTEND_CREDITS_3_BG_01_SPRITE
32	0	39113	33	FRONTEND_CREDITS_3_BG_02_SPRITE	FRONTEND_CREDITS_3_BG_02_SPRITE
33	0	16917	34	FRONTEND_CREDITS_3_BG_03_SPRITE	FRONTEND_CREDITS_3_BG_03_SPRITE
34	0	30386	35	FRONTEND_CREDITS_3_BG_04_SPRITE	FRONTEND_CREDITS_3_BG_04_SPRITE
35	0	31754	36	FRONTEND_CREDITS_3_BG_05_SPRITE	FRONTEND_CREDITS_3_BG_05_SPRITE
36	0	12872	37	FRONTEND_CREDITS_3_BG_06_SPRITE	FRONTEND_CREDITS_3_BG_06_SPRITE
37	0	38415	38	FRONTEND_CREDITS_4_BG_01_SPRITE	FRONTEND_CREDITS_4_BG_01_SPRITE
