list: opening C:\Programs\Steam\steamapps\common\Fable The Lost Chapters\data\graphics\pc\textures.big
list: 6290 entries
idx	type	size	id	name	friendly
0	0	134977	1	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\BIPEDS\TEXTURE\HERO_GUIDE\HEROGUIDE_BODY2_A_24.TGA]	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\BIPEDS\TEXTURE\HERO_GUIDE\HEROGUIDE_BODY2_A_24.TGA]
1	0	160309	2	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\CREATURES\TEXTURE\MONGROL_BLACK_WHITE_24.TGA]	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\CREATURES\TEXTURE\MONGROL_BLACK_WHITE_24.TGA]
2	0	38911	3	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\CREATURES\TEXTURE\DUCK_BODY_ALPHA_24.TGA]	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\CREATURES\TEXTURE\DUCK_BODY_ALPHA_24.TGA]
3	0	55736	4	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\CREATURES\TEXTURE\DUCK_WING_ALPHA_32.TGA]	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\CREATURES\TEXTURE\DUCK_WING_ALPHA_32.TGA]
4	0	29506	5	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\CREATURES\TEXTURE\SEAGULL_BODY_24.TGA]	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\CREATURES\TEXTURE\SEAGULL_BODY_24.TGA]
5	0	50126	6	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\CREATURES\TEXTURE\SEAGULL_WING_32.TGA]	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\CREATURES\TEXTURE\SEAGULL_WING_32.TGA]
6	0	5011	7	GRAPHIC_SWIPE_01	GRAPHIC_SWIPE_01
7	0	1644	8	GRAPHIC_TWINKLE_BLUE	GRAPHIC_TWINKLE_BLUE
8	0	1658	9	GRAPHIC_TWINKLE_RED	GRAPHIC_TWINKLE_RED
9	0	23238	10	GRAPHIC_WEAPON_TRAIL	GRAPHIC_WEAPON_TRAIL
10	0	25925	11	SPRITE_WEAPON_TRAIL_FLOURISH_01	SPRITE_WEAPON_TRAIL_FLOURISH_01
11	0	27352	12	GRAPHIC_WEAPON_TRAIL2	GRAPHIC_WEAPON_TRAIL2
12	0	27034	13	GRAPHIC_WEAPON_TRAIL_BERSERK	GRAPHIC_WEAPON_TRAIL_BERSERK
13	0	11290	14	GRAPHIC_WEAPON_TRAIL_JOSS	GRAPHIC_WEAPON_TRAIL_JOSS
14	0	25469	15	GRAPHIC_WHISPER_WEAPON_TRAIL	GRAPHIC_WHISPER_WEAPON_TRAIL
15	0	28793	16	GRAPHIC_WEAPON_TRAIL_ARROW	GRAPHIC_WEAPON_TRAIL_ARROW
16	0	28546	17	GRAPHIC_WEAPON_TRAIL_MINION	GRAPHIC_WEAPON_TRAIL_MINION
17	0	22940	18	GRAPHIC_WEAPON_TRAIL_MINION_02	GRAPHIC_WEAPON_TRAIL_MINION_02
18	0	25539	19	GRAPHIC_WEAPON_TRAIL_BALVERINE_01	GRAPHIC_WEAPON_TRAIL_BALVERINE_01
19	1	174720	20	GRAPHIC_ANIM_CAMPFIRE	GRAPHIC_ANIM_CAMPFIRE
20	1	109200	21	GRAPHIC_ANIM_HIT_01	GRAPHIC_ANIM_HIT_01
21	1	262080	22	GRAPHIC_ANIM_WILL_01	GRAPHIC_ANIM_WILL_01
22	0	22023	23	GRAPHIC_PHYSICS_TEXTURE	GRAPHIC_PHYSICS_TEXTURE
23	0	5508	24	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\EFFECTS\ATMOSPHERIC\POTION_REFLECTION_03_24.TGA]	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\EFFECTS\ATMOSPHERIC\POTION_REFLECTION_03_24.TGA]
24	0	33899	25	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\EFFECTS\ATMOSPHERIC\REFLECTION_01_24.TGA]	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\EFFECTS\ATMOSPHERIC\REFLECTION_01_24.TGA]
25	0	6044	26	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\EFFECTS\ATMOSPHERIC\REFLECTION_02_24.TGA]	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\EFFECTS\ATMOSPHERIC\REFLECTION_02_24.TGA]
26	0	6914	27	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\EFFECTS\ATMOSPHERIC\REFLECTION_03_24.TGA]	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\EFFECTS\ATMOSPHERIC\REFLECTION_03_24.TGA]
27	0	7229	28	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\EFFECTS\ATMOSPHERIC\REFLECTION_05_24.TGA]	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\EFFECTS\ATMOSPHERIC\REFLECTION_05_24.TGA]
28	0	7364	29	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\EFFECTS\ATMOSPHERIC\REFLECTION_06_24.TGA]	[\DEV\BBBPROJECTS\FABLE1_5RELEASE\FABLE\RESOURCES\ART2\EFFECTS\ATMOSPHERIC\REFLECTION_06_24.TGA]
29	1	87296	30	GRAPHIC_ANIM_EXPLOSION_01	GRAPHIC_ANIM_EXPLOSION_01
30	1	87296	31	GRAPHIC_ANIM_DUST_01	GRAPHIC_ANIM_DUST_01
31	0	1360	32	GRAPHIC_EFFECT_SHOOFLES_0	GRAPHIC_EFFECT_SHOOFLES_0
32	0	1360	33	GRAPHIC_EFFECT_SHOOFLES_1	GRAPHIC_EFFECT_SHOOFLES_1
33	0	1360	34	GRAPHIC_EFFECT_SHOOFLES_2	GRAPHIC_EFFECT_SHOOFLES_2
34	0	1360	35	GRAPHIC_EFFECT_SHOOFLES_3	GRAPHIC_EFFECT_SHOOFLES_3
35	0	3248	36	GRAPHIC_FOG_01	GRAPHIC_FOG_01
36	0	1261	37	GRAPHIC_TEMP_REACTION_QUERY	GRAPHIC_TEMP_REACTION_QUERY
37	0	5428	38	GRAPHIC_TEMP_COMPASS	GRAPHIC_TEMP_COMPASS
