list: opening C:\Programs\Steam\steamapps\common\Fable The Lost Chapters\data\lang\English\dialogue.big
list: 12134 entries
idx	type	size	id	name	friendly
0	1	428	1	Dialogue_1	Dialogue_1
1	1	339	2	Dialogue_2	Dialogue_2
2	1	262	3	Dialogue_3	Dialogue_3
3	1	548	4	Dialogue_4	Dialogue_4
4	1	231	5	Dialogue_5	Dialogue_5
5	1	193	6	Dialogue_6	Dialogue_6
6	1	624	7	Dialogue_7	Dialogue_7
7	1	312	8	Dialogue_8	Dialogue_8
8	1	249	9	Dialogue_9	Dialogue_9
9	1	139	10	Dialogue_10	Dialogue_10
10	1	525	11	Dialogue_11	Dialogue_11
11	1	288	12	Dialogue_12	Dialogue_12
12	1	488	13	Dialogue_13	Dialogue_13
13	1	293	14	Dialogue_14	Dialogue_14
14	1	138	15	Dialogue_15	Dialogue_15
15	1	671	16	Dialogue_16	Dialogue_16
16	1	343	17	Dialogue_17	Dialogue_17
17	1	159	18	Dialogue_18	Dialogue_18
18	1	445	19	Dialogue_19	Dialogue_19
19	1	240	20	Dialogue_20	Dialogue_20
20	1	259	21	Dialogue_21	Dialogue_21
21	1	416	22	Dialogue_22	Dialogue_22
22	1	286	23	Dialogue_23	Dialogue_23
23	1	320	24	Dialogue_24	Dialogue_24
24	1	603	25	Dialogue_25	Dialogue_25
25	1	450	26	Dialogue_26	Dialogue_26
26	1	212	27	Dialogue_27	Dialogue_27
27	1	792	28	Dialogue_28	Dialogue_28
28	1	522	29	Dialogue_29	Dialogue_29
29	1	447	30	Dialogue_30	Dialogue_30
30	1	631	31	Dialogue_31	Dialogue_31
31	1	161	32	Dialogue_32	Dialogue_32
32	1	432	33	Dialogue_33	Dialogue_33
33	1	199	34	Dialogue_34	Dialogue_34
34	1	330	35	Dialogue_35	Dialogue_35
35	1	326	36	Dialogue_36	Dialogue_36
36	1	725	37	Dialogue_37	Dialogue_37
37	1	585	38	Dialogue_38	Dialogue_38
38	1	813	39	Dialogue_39	Dialogue_39
39	1	437	40	Dialogue_40	Dialogue_40
40	1	456	41	Dialogue_41	Dialogue_41
41	1	681	42	Dialogue_42	Dialogue_42
42	1	812	43	Dialogue_43	Dialogue_43
43	1	610	44	Dialogue_44	Dialogue_44
44	1	345	45	Dialogue_45	Dialogue_45
45	1	697	46	Dialogue_46	Dialogue_46
46	1	452	47	Dialogue_47	Dialogue_47
47	1	585	48	Dialogue_48	Dialogue_48
48	1	685	49	Dialogue_49	Dialogue_49
49	1	442	50	Dialogue_50	Dialogue_50
50	1	957	51	Dialogue_51	Dialogue_51
51	1	544	52	Dialogue_52	Dialogue_52
52	1	625	53	Dialogue_53	Dialogue_53
53	1	864	54	Dialogue_54	Dialogue_54
54	1	857	55	Dialogue_55	Dialogue_55
55	1	436	56	Dialogue_56	Dialogue_56
56	1	542	57	Dialogue_57	Dialogue_57
57	1	721	58	Dialogue_58	Dialogue_58
58	1	959	59	Dialogue_59	Dialogue_59
59	1	551	60	Dialogue_60	Dialogue_60
60	1	231	61	Dialogue_61	Dialogue_61
61	1	734	62	Dialogue_62	Dialogue_62
62	1	600	63	Dialogue_63	Dialogue_63
63	1	398	64	Dialogue_64	Dialogue_64
64	1	467	65	Dialogue_65	Dialogue_65
65	1	915	66	Dialogue_66	Dialogue_66
66	1	752	67	Dialogue_67	Dialogue_67
67	1	1540	68	Dialogue_68	Dialogue_68
68	1	476	69	Dialogue_69	Dialogue_69
69	1	915	70	Dialogue_70	Dialogue_70
70	1	608	71	Dialogue_71	Dialogue_71
71	1	262	72	Dialogue_72	Dialogue_72
72	1	424	73	Dialogue_73	Dialogue_73
73	1	827	74	Dialogue_74	Dialogue_74
74	1	875	75	Dialogue_75	Dialogue_75
75	1	557	76	Dialogue_76	Dialogue_76
76	1	364	77	Dialogue_77	Dialogue_77
77	1	877	78	Dialogue_78	Dialogue_78
78	1	494	79	Dialogue_79	Dialogue_79
79	1	349	80	Dialogue_80	Dialogue_80
80	1	307	81	Dialogue_81	Dialogue_81
81	1	746	82	Dialogue_82	Dialogue_82
82	1	1049	83	Dialogue_83	Dialogue_83
83	1	604	84	Dialogue_84	Dialogue_84
84	1	404	85	Dialogue_85	Dialogue_85
85	1	787	86	Dialogue_86	Dialogue_86
86	1	596	87	Dialogue_87	Dialogue_87
87	1	349	88	Dialogue_88	Dialogue_88
88	1	348	89	Dialogue_89	Dialogue_89
89	1	619	90	Dialogue_90	Dialogue_90
90	1	1110	91	Dialogue_91	Dialogue_91
91	1	560	92	Dialogue_92	Dialogue_92
92	1	312	93	Dialogue_93	Dialogue_93
93	1	548	94	Dialogue_94	Dialogue_94
94	1	525	95	Dialogue_95	Dialogue_95
95	1	368	96	Dialogue_96	Dialogue_96
96	1	538	97	Dialogue_97	Dialogue_97
97	1	396	98	Dialogue_98	Dialogue_98
98	1	815	99	Dialogue_99	Dialogue_99
99	1	503	100	Dialogue_100	Dialogue_100
100	1	489	101	Dialogue_101	Dialogue_101
101	1	851	102	Dialogue_102	Dialogue_102
102	1	262	103	Dialogue_103	Dialogue_103
103	1	329	104	Dialogue_104	Dialogue_104
104	1	371	105	Dialogue_105	Dialogue_105
105	1	502	106	Dialogue_106	Dialogue_106
106	1	844	107	Dialogue_107	Dialogue_107
107	1	588	108	Dialogue_108	Dialogue_108
108	1	336	109	Dialogue_109	Dialogue_109
109	1	1185	110	Dialogue_110	Dialogue_110
110	1	385	111	Dialogue_111	Dialogue_111
111	1	650	112	Dialogue_112	Dialogue_112
112	1	400	113	Dialogue_113	Dialogue_113
113	1	753	114	Dialogue_114	Dialogue_114
114	1	820	115	Dialogue_115	Dialogue_115
115	1	417	116	Dialogue_116	Dialogue_116
116	1	250	117	Dialogue_117	Dialogue_117
117	1	496	118	Dialogue_118	Dialogue_118
118	1	231	119	Dialogue_119	Dialogue_119
119	1	196	120	Dialogue_120	Dialogue_120
120	1	317	121	Dialogue_121	Dialogue_121
121	1	452	122	Dialogue_122	Dialogue_122
122	1	861	123	Dialogue_123	Dialogue_123
123	1	560	124	Dialogue_124	Dialogue_124
124	1	292	125	Dialogue_125	Dialogue_125
125	1	736	126	Dialogue_126	Dialogue_126
126	1	436	127	Dialogue_127	Dialogue_127
127	1	325	128	Dialogue_128	Dialogue_128
128	1	663	129	Dialogue_129	Dialogue_129
129	1	418	130	Dialogue_130	Dialogue_130
130	1	430	131	Dialogue_131	Dialogue_131
131	1	646	132	Dialogue_132	Dialogue_132
132	1	490	133	Dialogue_133	Dialogue_133
133	1	1048	134	Dialogue_134	Dialogue_134
134	1	413	135	Dialogue_135	Dialogue_135
135	1	322	136	Dialogue_136	Dialogue_136
136	1	689	137	Dialogue_137	Dialogue_137
137	1	651	138	Dialogue_138	Dialogue_138
138	1	965	139	Dialogue_139	Dialogue_139
139	1	430	140	Dialogue_140	Dialogue_140
140	1	421	141	Dialogue_141	Dialogue_141
141	1	380	142	Dialogue_142	Dialogue_142
142	1	274	143	Dialogue_143	Dialogue_143
143	1	174	144	Dialogue_144	Dialogue_144
144	1	287	145	Dialogue_145	Dialogue_145
145	1	382	146	Dialogue_146	Dialogue_146
146	1	720	147	Dialogue_147	Dialogue_147
147	1	584	148	Dialogue_148	Dialogue_148
148	1	281	149	Dialogue_149	Dialogue_149
149	1	768	150	Dialogue_150	Dialogue_150
150	1	265	151	Dialogue_151	Dialogue_151
151	1	285	152	Dialogue_152	Dialogue_152
152	1	421	153	Dialogue_153	Dialogue_153
153	1	423	154	Dialogue_154	Dialogue_154
154	1	790	155	Dialogue_155	Dialogue_155
155	1	609	156	Dialogue_156	Dialogue_156
156	1	317	157	Dialogue_157	Dialogue_157
157	1	842	158	Dialogue_158	Dialogue_158
158	1	359	159	Dialogue_159	Dialogue_159
159	1	238	160	Dialogue_160	Dialogue_160
160	1	530	161	Dialogue_161	Dialogue_161
161	1	341	162	Dialogue_162	Dialogue_162
162	1	494	163	Dialogue_163	Dialogue_163
163	1	365	164	Dialogue_164	Dialogue_164
164	1	216	165	Dialogue_165	Dialogue_165
165	1	377	166	Dialogue_166	Dialogue_166
166	1	426	167	Dialogue_167	Dialogue_167
167	1	389	168	Dialogue_168	Dialogue_168
168	1	262	169	Dialogue_169	Dialogue_169
169	1	516	170	Dialogue_170	Dialogue_170
170	1	632	171	Dialogue_171	Dialogue_171
171	1	395	172	Dialogue_172	Dialogue_172
172	1	337	173	Dialogue_173	Dialogue_173
173	1	535	174	Dialogue_174	Dialogue_174
174	1	623	175	Dialogue_175	Dialogue_175
175	1	232	176	Dialogue_176	Dialogue_176
176	1	589	177	Dialogue_177	Dialogue_177
177	1	463	178	Dialogue_178	Dialogue_178
178	1	507	179	Dialogue_179	Dialogue_179
179	1	413	180	Dialogue_180	Dialogue_180
180	1	374	181	Dialogue_181	Dialogue_181
181	1	349	182	Dialogue_182	Dialogue_182
182	1	541	183	Dialogue_183	Dialogue_183
183	1	337	184	Dialogue_184	Dialogue_184
184	1	410	185	Dialogue_185	Dialogue_185
185	1	675	186	Dialogue_186	Dialogue_186
186	1	342	187	Dialogue_187	Dialogue_187
187	1	423	188	Dialogue_188	Dialogue_188
188	1	413	189	Dialogue_189	Dialogue_189
189	1	380	190	Dialogue_190	Dialogue_190
190	1	457	191	Dialogue_191	Dialogue_191
191	1	345	192	Dialogue_192	Dialogue_192
192	1	313	193	Dialogue_193	Dialogue_193
193	1	417	194	Dialogue_194	Dialogue_194
194	1	448	195	Dialogue_195	Dialogue_195
195	1	325	196	Dialogue_196	Dialogue_196
