list: opening C:\Programs\Steam\steamapps\common\Fable The Lost Chapters\data\lang\English\text.big
list: 28913 entries
idx	type	size	id	name	friendly
0	0	284	1	TEXT_QST_028_ONSCREENHELP_FLOURISH_BASIC	TEXT_QST_028_ONSCREENHELP_FLOURISH_BASIC
1	0	290	2	TEXT_QST_067_INFECTED_BANTER_30	TEXT_QST_067_INFECTED_BANTER_30
2	0	112	3	TEXT_CS_B13_SEX_SOPHIA_20	TEXT_CS_B13_SEX_SOPHIA_20
3	0	65	4	TEXT_GUI_TLC_CRE_3040	TEXT_GUI_TLC_CRE_3040
4	0	162	5	TEXT_CS_035_END_30	TEXT_CS_035_END_30
5	0	59	6	TEXT_GUI_CRE_6230	TEXT_GUI_CRE_6230
6	0	36	7	TEXT_GUI_CRE_774	TEXT_GUI_CRE_774
7	0	66	8	TEXT_GUI_CRE_330	TEXT_GUI_CRE_330
8	0	39	9	TEXT_GUI_SKIP	TEXT_GUI_SKIP
9	0	550	10	TXT_STORY_12	TXT_STORY_12
10	0	43	11	TXT_NAME_16	TXT_NAME_16
11	0	41	12	TXT_NAME_03	TXT_NAME_03
12	0	43	13	TXT_NAME_11	TXT_NAME_11
13	0	41	14	TXT_NAME_01	TXT_NAME_01
14	0	43	15	TXT_NAME_10	TXT_NAME_10
15	0	43	16	TXT_NAME_20	TXT_NAME_20
16	0	43	17	TXT_NAME_12	TXT_NAME_12
17	0	41	18	TXT_NAME_02	TXT_NAME_02
18	0	41	19	TXT_NAME_05	TXT_NAME_05
19	0	41	20	TXT_NAME_04	TXT_NAME_04
20	0	43	21	TXT_NAME_13	TXT_NAME_13
21	0	43	22	TXT_NAME_14	TXT_NAME_14
22	0	41	23	TXT_NAME_06	TXT_NAME_06
23	0	43	24	TXT_NAME_15	TXT_NAME_15
24	0	33	25	TEXT_GUI_NO	TEXT_GUI_NO
25	0	43	26	TXT_NAME_18	TXT_NAME_18
26	0	43	27	TXT_NAME_17	TXT_NAME_17
27	0	41	28	TXT_NAME_07	TXT_NAME_07
28	0	41	29	TXT_NAME_08	TXT_NAME_08
29	0	43	30	TXT_NAME_19	TXT_NAME_19
30	0	41	31	TXT_NAME_09	TXT_NAME_09
31	0	78	32	TXT_STORY_20	TXT_STORY_20
32	0	658	33	TXT_STORY_01	TXT_STORY_01
33	0	760	34	TXT_STORY_10	TXT_STORY_10
34	0	966	35	TXT_STORY_02	TXT_STORY_02
35	0	78	36	TXT_STORY_11	TXT_STORY_11
36	0	2926	37	TXT_STORY_09	TXT_STORY_09
37	0	1962	38	TXT_STORY_06	TXT_STORY_06
38	0	1056	39	TXT_STORY_14	TXT_STORY_14
39	0	1036	40	TXT_STORY_13	TXT_STORY_13
40	0	854	41	TXT_STORY_03	TXT_STORY_03
41	0	1496	42	TXT_STORY_04	TXT_STORY_04
42	0	1222	43	TXT_STORY_15	TXT_STORY_15
43	0	388	44	TXT_STORY_05	TXT_STORY_05
44	0	76	45	TXT_STORY_17	TXT_STORY_17
45	0	850	46	TXT_STORY_07	TXT_STORY_07
46	0	1412	47	TXT_STORY_16	TXT_STORY_16
47	0	78	48	TXT_STORY_18	TXT_STORY_18
48	0	838	49	TXT_STORY_08	TXT_STORY_08
49	0	39	50	TEXT_GUI_GOLD	TEXT_GUI_GOLD
50	0	36	51	TEXT_GUI_YES	TEXT_GUI_YES
51	0	32	52	TEXT_GUI_CRE	TEXT_GUI_CRE
52	0	78	53	TXT_STORY_19	TXT_STORY_19
53	0	36	54	TXT_OBJT_BOW	TXT_OBJT_BOW
54	0	45	55	TXT_OBJT_GOLD	TXT_OBJT_GOLD
55	0	39	56	TEXT_GUI_BACK	TEXT_GUI_BACK
56	0	39	57	TXT_OBJT_LAMP	TXT_OBJT_LAMP
57	0	39	58	TXT_OBJT_FISH	TXT_OBJT_FISH
58	0	39	59	TEXT_GUI_DONE	TEXT_GUI_DONE
59	0	39	60	TEXT_GUI_HELP	TEXT_GUI_HELP
60	0	39	61	TXT_OBJT_DOLL	TXT_OBJT_DOLL
61	0	45	62	TEXT_GUI_RELOAD	TEXT_GUI_RELOAD
62	0	35	63	TEXT_GUI_CRE_20	TEXT_GUI_CRE_20
63	0	42	64	TXT_OBJT_STICK	TXT_OBJT_STICK
64	0	42	65	TXT_OBJT_SPADE	TXT_OBJT_SPADE
65	0	39	66	TEXT_GUI_STAY	TEXT_GUI_STAY
66	0	39	67	TEXT_GUI_NEXT	TEXT_GUI_NEXT
67	0	42	68	TEXT_GUI_BEARD	TEXT_GUI_BEARD
68	0	58	69	TXT_SIGN_GUILD	TXT_SIGN_GUILD
69	0	42	70	TEXT_GUI_PRICE	TEXT_GUI_PRICE
70	0	42	71	TXT_OBJT_SWORD	TXT_OBJT_SWORD
71	0	40	72	TXT_OBJT_ROSES	TXT_OBJT_ROSES
72	0	59	73	TEXT_GUI_CRE_10	TEXT_GUI_CRE_10
73	0	52	74	TXT_OBJT_EMPTY	TXT_OBJT_EMPTY
74	0	42	75	TEXT_GUI_APPLY	TEXT_GUI_APPLY
75	0	49	76	TEXT_GUI_CRE_80	TEXT_GUI_CRE_80
76	0	57	77	TEXT_GUI_CRE_60	TEXT_GUI_CRE_60
77	0	35	78	TEXT_GUI_CRE_40	TEXT_GUI_CRE_40
78	0	45	79	TEXT_GUI_CRE_30	TEXT_GUI_CRE_30
79	0	41	80	TEXT_GUI_CRE_50	TEXT_GUI_CRE_50
80	0	35	81	TEXT_GUI_CRE_61	TEXT_GUI_CRE_61
81	0	35	82	TEXT_GUI_CRE_70	TEXT_GUI_CRE_70
82	0	63	83	TEXT_GUI_CRE_63	TEXT_GUI_CRE_63
83	0	53	84	TEXT_GUI_CRE_90	TEXT_GUI_CRE_90
84	0	71	85	TEXT_GUI_CRE_62	TEXT_GUI_CRE_62
85	0	37	86	TEXT_GUI_CANCEL	TEXT_GUI_CANCEL
86	0	45	87	TEXT_GUI_FAILED	TEXT_GUI_FAILED
87	0	54	88	TEXT_GUI_CRE_220	TEXT_GUI_CRE_220
88	0	54	89	TEXT_GUI_CRE_101	TEXT_GUI_CRE_101
89	0	45	90	TEXT_GUI_BOASTS	TEXT_GUI_BOASTS
90	0	127	91	TEXT_OBJECT_JET	TEXT_OBJECT_JET
91	0	45	92	TEXT_GUI_SELECT	TEXT_GUI_SELECT
92	0	60	93	TEXT_GUI_CRE_110	TEXT_GUI_CRE_110
93	0	74	94	TEXT_GUI_CRE_200	TEXT_GUI_CRE_200
94	0	64	95	TEXT_GUI_CRE_100	TEXT_GUI_CRE_100
95	0	36	96	TEXT_GUI_CRE_120	TEXT_GUI_CRE_120
96	0	58	97	TEXT_GUI_CRE_210	TEXT_GUI_CRE_210
97	0	36	98	TEXT_GUI_CRE_300	TEXT_GUI_CRE_300
98	0	40	99	TEXT_GUI_CRE_310	TEXT_GUI_CRE_310
99	0	36	100	TEXT_GUI_CRE_400	TEXT_GUI_CRE_400
100	0	58	101	TEXT_GUI_CRE_230	TEXT_GUI_CRE_230
101	0	45	102	TXT_OBJT_NO_HAT	TXT_OBJT_NO_HAT
102	0	62	103	TEXT_GUI_CRE_500	TEXT_GUI_CRE_500
103	0	46	104	TEXT_GUI_CRE_130	TEXT_GUI_CRE_130
104	0	72	105	TEXT_GUI_CRE_320	TEXT_GUI_CRE_320
105	0	52	106	TEXT_GUI_CRE_410	TEXT_GUI_CRE_410
106	0	36	107	TEXT_GUI_CRE_600	TEXT_GUI_CRE_600
107	0	45	108	TXT_OBJT_POISON	TXT_OBJT_POISON
108	0	42	109	TEXT_GUI_CRE_140	TEXT_GUI_CRE_140
109	0	36	110	TEXT_GUI_CRE_420	TEXT_GUI_CRE_420
110	0	60	111	TEXT_GUI_CRE_510	TEXT_GUI_CRE_510
111	0	58	112	TEXT_GUI_CRE_311	TEXT_GUI_CRE_311
112	0	48	113	TEXT_GUI_CRE_362	TEXT_GUI_CRE_362
113	0	60	114	TEXT_GUI_CRE_270	TEXT_GUI_CRE_270
114	0	52	115	TEXT_GUI_CRE_530	TEXT_GUI_CRE_530
