list: opening C:\Programs\Steam\steamapps\common\Fable The Lost Chapters\data\shaders\pc\shaders.big
list: 112 entries
idx	type	size	id	name	friendly
0	1	29	1	PSHADER_DIFFUSE_ONLY	PSHADER_DIFFUSE_ONLY
1	1	41	2	PSHADER_DIFFUSE_COLOUR_TEXTURE_DIFFUSE_ALPHA	PSHADER_DIFFUSE_COLOUR_TEXTURE_DIFFUSE_ALPHA
2	1	37	3	PSHADER_TEXTURE_ONLY	PSHADER_TEXTURE_ONLY
3	1	95	4	PSHADER_TEXTURE_DIFFUSE	PSHADER_TEXTURE_DIFFUSE
4	1	95	5	PSHADER_TEXTURE_DIFFUSE_FOG	PSHADER_TEXTURE_DIFFUSE_FOG
5	1	164	6	PSHADER_TEXTURE_DIFFUSE_FOG_STIPPLE_ALPHA	PSHADER_TEXTURE_DIFFUSE_FOG_STIPPLE_ALPHA
6	1	158	7	PSHADER_TEXTURE_DIFFUSE_ENV_FOG	PSHADER_TEXTURE_DIFFUSE_ENV_FOG
7	1	170	8	PSHADER_TEXTURE_DIFFUSE_ENV_BUMP_FOG	PSHADER_TEXTURE_DIFFUSE_ENV_BUMP_FOG
8	1	107	9	PSHADER_TEXTURE_DIFFUSE_FOG_SHADOW	PSHADER_TEXTURE_DIFFUSE_FOG_SHADOW
9	1	186	10	PSHADER_TEXTURE_DIFFUSE_ENV_FOG_SHADOW	PSHADER_TEXTURE_DIFFUSE_ENV_FOG_SHADOW
10	1	272	11	PSHADER_TEXTURE_DIFFUSE_ENV_BUMP_FOG_SHADOW	PSHADER_TEXTURE_DIFFUSE_ENV_BUMP_FOG_SHADOW
11	1	123	12	PSHADER_TEXTURE_DIFFUSE_FOG_SHADOW_OUTPUT_FACTOR	PSHADER_TEXTURE_DIFFUSE_FOG_SHADOW_OUTPUT_FACTOR
12	1	171	13	PSHADER_TEXTURE_DIFFUSE_DP3_BUMP_FOG_SHADOW	PSHADER_TEXTURE_DIFFUSE_DP3_BUMP_FOG_SHADOW
13	1	187	14	PSHADER_TEXTURE_DIFFUSE_DP3_BUMP_FOG_SHADOW_OUTPUT_FACTOR	PSHADER_TEXTURE_DIFFUSE_DP3_BUMP_FOG_SHADOW_OUTPUT_FACTOR
14	1	223	15	PSHADER_TEXTURE_DIFFUSE_FOG_COLBUFF_SHADOW	PSHADER_TEXTURE_DIFFUSE_FOG_COLBUFF_SHADOW
15	1	278	16	PSHADER_TEXTURE_DIFFUSE_ENV_FOG_COLBUFF_SHADOW	PSHADER_TEXTURE_DIFFUSE_ENV_FOG_COLBUFF_SHADOW
16	1	278	17	PSHADER_TEXTURE_DIFFUSE_ENV_BUMP_FOG_COLBUFF_SHADOW	PSHADER_TEXTURE_DIFFUSE_ENV_BUMP_FOG_COLBUFF_SHADOW
17	1	267	18	PSHADER_TEXTURE_DIFFUSE_DP3_BUMP_FOG_COLBUFF_SHADOW	PSHADER_TEXTURE_DIFFUSE_DP3_BUMP_FOG_COLBUFF_SHADOW
18	1	283	19	PSHADER_TEXTURE_DIFFUSE_DP3_BUMP_FOG_COLBUFF_SHADOW_OUTPUT_FACTOR	PSHADER_TEXTURE_DIFFUSE_DP3_BUMP_FOG_COLBUFF_SHADOW_OUTPUT_FACTOR
19	1	239	20	PSHADER_TEXTURE_DIFFUSE_FOG_COLBUFF_SHADOW_OUTPUT_FACTOR	PSHADER_TEXTURE_DIFFUSE_FOG_COLBUFF_SHADOW_OUTPUT_FACTOR
20	1	53	21	PSHADER_REPEATED_MESH	PSHADER_REPEATED_MESH
21	1	98	22	PSHADER_REPEATED_MESH_STIPPLE_ALPHA	PSHADER_REPEATED_MESH_STIPPLE_ALPHA
22	1	81	23	PSHADER_REPEATED_MESH_SHADOWED	PSHADER_REPEATED_MESH_SHADOWED
23	1	126	24	PSHADER_REPEATED_MESH_SHADOWED_STIPPLE_ALPHA	PSHADER_REPEATED_MESH_SHADOWED_STIPPLE_ALPHA
