"extension","count","bytes"
".tng","397","15185788"
".ogg","68","111355313"
".bncfg","60","96871"
".lug","50","143763972"
".met","50","638775"
".wmv","47","278904009"
".dds","38","2685856"
".txt","22","15351"
".h","19","2840268"
".dll","12","9802656"
".bin","11","1840961"
".cab","9","34999784"
".big","8","872857732"
".lua","8","22043"
".rtf","7","2074616"
".bmp","6","4854096"
".ini","4","13222"
".bak","4","4957602"
".exe","4","17476304"
".lut","4","672614100"
".log","3","17174"
".xml","3","862068"
".dat","2","68792"
".tga","2","1060634"
".qst","2","8964"
".json","1","895368"
".vdf","1","875"
".cat","1","0"
".gtg","1","205545"
".bwd","1","64223"
".idx","1","28097"
".wad","1","173940664"
".cfg","1","332"
".stb","1","597979518"
".wld","1","193539"
