"relative_path","extension","size","last_write"
"204030_install.vdf",".vdf","875","2026-01-31T14:27:44"
"banks_dvd.ini",".ini","12144","2026-01-31T14:27:29"
"cluf.rtf",".rtf","959738","2026-01-31T14:27:28"
"config.xml",".xml","36858","2026-01-31T14:27:29"
"ConfigDetect.dll",".dll","122880","2026-01-31T14:27:29"
"data\Bones\bandit_king_01_set.bncfg",".bncfg","3134","2026-01-31T14:27:28"
"data\Bones\bandit_lieut_fat.bncfg",".bncfg","829","2026-01-31T14:27:29"
"data\Bones\bandit_lieut_short.bncfg",".bncfg","829","2026-01-31T14:27:29"
"data\Bones\bandit_lieut_strong.bncfg",".bncfg","829","2026-01-31T14:27:29"
"data\Bones\bandit_lieut_tall.bncfg",".bncfg","829","2026-01-31T14:27:29"
"data\Bones\bandit_lieut_weak.bncfg",".bncfg","829","2026-01-31T14:27:29"
"data\Bones\bandit_short.bncfg",".bncfg","690","2026-01-31T14:27:28"
"data\Bones\bandit_strong.bncfg",".bncfg","2617","2026-01-31T14:27:29"
"data\Bones\bandit_tall.bncfg",".bncfg","667","2026-01-31T14:27:29"
"data\Bones\bandit_weak.bncfg",".bncfg","2579","2026-01-31T14:27:29"
"data\Bones\bc_rudeman_set.bncfg",".bncfg","245","2026-01-31T14:27:29"
"data\Bones\body_guard_strong.bncfg",".bncfg","1920","2026-01-31T14:27:28"
"data\Bones\body_guard_weak.bncfg",".bncfg","2393","2026-01-31T14:27:28"
"data\Bones\bs_barber_set.bncfg",".bncfg","307","2026-01-31T14:27:28"
"data\Bones\bs_beggar.bncfg",".bncfg","328","2026-01-31T14:27:28"
"data\Bones\bs_female_fat.bncfg",".bncfg","864","2026-01-31T14:27:29"
"data\Bones\bs_female_short.bncfg",".bncfg","579","2026-01-31T14:27:29"
"data\Bones\bs_female_strong.bncfg",".bncfg","680","2026-01-31T14:27:28"
"data\Bones\bs_female_tall.bncfg",".bncfg","575","2026-01-31T14:27:28"
"data\Bones\bs_female_weak.bncfg",".bncfg","731","2026-01-31T14:27:28"
"data\Bones\bs_guard_black_tall.bncfg",".bncfg","2067","2026-01-31T14:27:28"
"data\Bones\bs_guard_red_tall.bncfg",".bncfg","2063","2026-01-31T14:27:28"
"data\Bones\bs_guard_short.bncfg",".bncfg","2161","2026-01-31T14:27:28"
"data\Bones\bs_guard_tall.bncfg",".bncfg","399","2026-01-31T14:27:28"
"data\Bones\bs_male_bully_set.bncfg",".bncfg","3266","2026-01-31T14:27:28"
"data\Bones\bs_male_fat.bncfg",".bncfg","791","2026-01-31T14:27:28"
"data\Bones\bs_male_short.bncfg",".bncfg","370","2026-01-31T14:27:29"
"data\Bones\bs_male_strong.bncfg",".bncfg","603","2026-01-31T14:27:28"
"data\Bones\bs_male_tall.bncfg",".bncfg","843","2026-01-31T14:27:29"
"data\Bones\bs_male_weak.bncfg",".bncfg","754","2026-01-31T14:27:28"
"data\Bones\bs_punchclub_champ_set.bncfg",".bncfg","1811","2026-01-31T14:27:28"
"data\Bones\bs_sheriff.bncfg",".bncfg","750","2026-01-31T14:27:29"
"data\Bones\bw_granny.bncfg",".bncfg","916","2026-01-31T14:27:29"
"data\Bones\dominatrix_set.bncfg",".bncfg","810","2026-01-31T14:27:28"
"data\Bones\executioner_set.bncfg",".bncfg","2123","2026-01-31T14:27:29"
"data\Bones\fm_balverine_set.bncfg",".bncfg","3224","2026-01-31T14:27:29"
"data\Bones\hero_berserk.bncfg",".bncfg","3694","2026-01-31T14:27:28"
"data\Bones\hero_fat.bncfg",".bncfg","237","2026-01-31T14:27:28"
"data\Bones\hero_strong.bncfg",".bncfg","3871","2026-01-31T14:27:28"
"data\Bones\hero_strong_tall.bncfg",".bncfg","2840","2026-01-31T14:27:28"
"data\Bones\hero_tall.bncfg",".bncfg","2911","2026-01-31T14:27:28"
"data\Bones\hero_teen_set.bncfg",".bncfg","3275","2026-01-31T14:27:28"
"data\Bones\hero_weak.bncfg",".bncfg","1764","2026-01-31T14:27:28"
"data\Bones\hero_young_set.bncfg",".bncfg","2923","2026-01-31T14:27:28"
"data\Bones\hobbe_lieut_set.bncfg",".bncfg","2376","2026-01-31T14:27:28"
"data\Bones\hobbe_spell_set.bncfg",".bncfg","2158","2026-01-31T14:27:28"
"data\Bones\kg_chief_set.bncfg",".bncfg","2065","2026-01-31T14:27:28"
"data\Bones\khg_chief_son_set.bncfg",".bncfg","3418","2026-01-31T14:27:29"
"data\Bones\madam_minche_set.bncfg",".bncfg","483","2026-01-31T14:27:28"
"data\Bones\minion_dreadwings_set.bncfg",".bncfg","2243","2026-01-31T14:27:28"
"data\Bones\of_farmer_female_set.bncfg",".bncfg","2246","2026-01-31T14:27:28"
"data\Bones\of_farmer_male_set.bncfg",".bncfg","2176","2026-01-31T14:27:28"
"data\Bones\rival_hero_maze_set.bncfg",".bncfg","827","2026-01-31T14:27:28"
"data\Bones\rival_hero_thunder_set.bncfg",".bncfg","2112","2026-01-31T14:27:28"
"data\Bones\rival_hero_whisper_apprentice_set.bncfg",".bncfg","170","2026-01-31T14:27:28"
"data\Bones\rival_hero_whisper_set.bncfg",".bncfg","930","2026-01-31T14:27:29"
"data\Bones\rival_hero_whisper_teen_set.bncfg",".bncfg","2283","2026-01-31T14:27:28"
"data\Bones\ss_charity_worker_set.bncfg",".bncfg","2246","2026-01-31T14:27:28"
"data\Bones\teen_captive_set.bncfg",".bncfg","3316","2026-01-31T14:27:28"
"data\Bones\young_sister_set.bncfg",".bncfg","902","2026-01-31T14:27:28"
"data\CompiledDefs\frontend.bin",".bin","69662","2026-01-31T14:27:28"
"data\CompiledDefs\game.bin",".bin","996375","2026-01-31T14:27:28"
"data\CompiledDefs\names.bin",".bin","396920","2026-01-31T14:27:28"
"data\CompiledDefs\script.bin",".bin","154496","2026-01-31T14:27:29"
"data\def.xml",".xml","808236","2024-08-29T12:20:44"
"data\Defs\atmos_types.h",".h","6187","2026-01-31T14:27:29"
"data\Defs\dialoguesnds.bin",".bin","97076","2026-01-31T14:27:29"
"data\Defs\dialoguesnds2.bin",".bin","12","2026-01-31T14:27:30"
"data\Defs\game_animation_events.h",".h","685","2026-01-31T14:27:29"
"data\Defs\gamesnds.bin",".bin","18772","2026-01-31T14:27:29"
"data\Defs\misc_def_types.h",".h","14678","2026-01-31T14:27:29"
"data\Defs\RetailHeaders\dialogue_lipsync.h",".h","281358","2026-01-31T14:27:28"
"data\Defs\RetailHeaders\dialogue_lipsync2.h",".h","240","2026-01-31T14:27:29"
"data\Defs\RetailHeaders\engmesh.h",".h","261","2026-01-31T14:27:30"
"data\Defs\RetailHeaders\fonts.h",".h","394","2026-01-31T14:27:29"
"data\Defs\RetailHeaders\front_end_mesh.h",".h","178","2026-01-31T14:27:29"
"data\Defs\RetailHeaders\lipsync_phonemes.h",".h","308","2026-01-31T14:27:29"
"data\Defs\RetailHeaders\meshdata.h",".h","330764","2026-01-31T14:27:28"
"data\Defs\RetailHeaders\pc\front_end_bank.h",".h","12735","2026-01-31T14:27:29"
"data\Defs\RetailHeaders\pc\gui_bank.h",".h","1442","2026-01-31T14:27:30"
"data\Defs\RetailHeaders\pc\particles.h",".h","33829","2026-01-31T14:27:29"
"data\Defs\RetailHeaders\pc\particles_frontend.h",".h","305","2026-01-31T14:27:29"
"data\Defs\RetailHeaders\pc\textures.h",".h","445092","2026-01-31T14:27:28"
"data\Defs\RetailHeaders\script_lipsync.h",".h","151998","2026-01-31T14:27:29"
"data\Defs\RetailHeaders\script_lipsync2.h",".h","91845","2026-01-31T14:27:29"
"data\Defs\RetailHeaders\text.h",".h","1466257","2026-01-31T14:27:28"
"data\Defs\scriptdialoguesnds.bin",".bin","42484","2026-01-31T14:27:29"
"data\Defs\scriptdialoguesnds2.bin",".bin","22156","2026-01-31T14:27:30"
"data\Defs\sound_animation_events.h",".h","1712","2026-01-31T14:27:29"
"data\EngineCache\StippleAlphaTexture.dat",".dat","36868","2026-01-31T14:27:30"
"data\FableMod.Gfx.Log",".log","288","2026-07-01T14:14:00"
"data\graphics\graphics.big",".big","243841923","2026-01-31T14:27:28"
"data\graphics\pc\frontend.big",".big","13794357","2026-01-31T14:27:28"
"data\graphics\pc\textures.big",".big","533633077","2026-01-31T14:27:28"
"data\lang\English\dialogue.big",".big","17160084","2026-01-31T14:27:28"
"data\lang\English\Dialogue.lut",".lut","268367088","2026-01-31T14:27:28"
"data\lang\English\Dialogue2.lut",".lut","37968","2026-01-31T14:27:42"
"data\lang\English\fonts.big",".big","53822286","2026-01-31T14:27:28"
"data\lang\English\lang_settings.txt",".txt","44","2026-01-31T14:27:38"
"data\lang\English\ScriptDialogue.lut",".lut","229244544","2026-01-31T14:27:28"
"data\lang\English\ScriptDialogue2.lut",".lut","174964500","2026-01-31T14:27:28"
"data\lang\English\text.big",".big","6652561","2026-01-31T14:27:28"
"data\Levels\FinalAlbion.bwd",".bwd","64223","2026-01-31T14:27:38"
"data\Levels\FinalAlbion.gtg",".gtg","205545","2026-01-31T14:27:34"
"data\Levels\FinalAlbion.qst",".qst","8403","2026-02-13T16:42:15"
"data\Levels\FinalAlbion.qst.bak",".bak","8368","2026-02-13T09:25:24"
"data\Levels\FinalAlbion.wad",".wad","173940664","2026-01-31T14:27:28"
"data\Levels\FinalAlbion.wld",".wld","193539","2026-01-31T14:27:32"
"data\Levels\FinalAlbion\Arena.tng",".tng","269693","2026-02-07T21:30:52"
"data\Levels\FinalAlbion\Arena_Filler_01.tng",".tng","12","2026-02-07T21:30:53"
"data\Levels\FinalAlbion\Arena_Filler_02.tng",".tng","12","2026-02-07T21:30:53"
"data\Levels\FinalAlbion\Arena_Leadout_01.tng",".tng","12","2026-02-07T21:30:53"
"data\Levels\FinalAlbion\ArenaCells.tng",".tng","159894","2026-02-07T21:30:52"
"data\Levels\FinalAlbion\ArenaExterior.tng",".tng","80158","2026-02-07T21:30:52"
"data\Levels\FinalAlbion\ArenaHallOfHeroes.tng",".tng","204431","2026-02-07T21:30:52"
"data\Levels\FinalAlbion\BanditCamp_Filler_01.tng",".tng","12","2026-02-07T21:30:53"
"data\Levels\FinalAlbion\BanditCamp_Filler_02.tng",".tng","12","2026-02-07T21:30:53"
"data\Levels\FinalAlbion\BanditCamp_Filler_03.tng",".tng","12","2026-02-07T21:30:53"
"data\Levels\FinalAlbion\BanditCamp_Filler_04.tng",".tng","12","2026-02-07T21:30:53"
"data\Levels\FinalAlbion\BanditCamp_Filler_05.tng",".tng","12","2026-02-07T21:30:53"
"data\Levels\FinalAlbion\BanditCamp_Filler_06.tng",".tng","12","2026-02-07T21:30:53"
