"index","name","size","offset","extension"
"0","__ENGINE_SEA_STATIC_MAP_BANK_FILE__StartOakVale","129966","2048",""
"1","__ENGINE_SEA_STATIC_MAP_BANK_FILE__BanditCampPath1","125972","133120",""
"2","__ENGINE_SEA_STATIC_MAP_BANK_FILE__Witchwood1","124562","260096",""
"3","__ENGINE_SEA_STATIC_MAP_BANK_FILE__HookCoast","134800","385024",""
"4","__ENGINE_SEA_STATIC_MAP_BANK_FILE__BanditCampPathEntrance","123984","520192",""
"5","__ENGINE_SEA_STATIC_MAP_BANK_FILE__PrisonCourtyard","122750","645120",""
"6","__ENGINE_SEA_STATIC_MAP_BANK_FILE__OakBay","123990","768000",""
"7","__ENGINE_SEA_STATIC_MAP_BANK_FILE__Witchwood2","125706","892928",""
"8","__ENGINE_SEA_STATIC_MAP_BANK_FILE__Witchwood3","124406","1019904",""
"9","__ENGINE_SEA_STATIC_MAP_BANK_FILE__Witchwood4","123548","1144832",""
"10","__ENGINE_SEA_STATIC_MAP_BANK_FILE__BanditCampBoss","122434","1269760",""
"11","__ENGINE_SEA_STATIC_MAP_BANK_FILE__PrisonSecretPassageExterior","125254","1392640",""
"12","__ENGINE_SEA_STATIC_MAP_BANK_FILE__DarkwoodChapel","126390","1519616",""
"13","__ENGINE_SEA_STATIC_MAP_BANK_FILE__DesertedFarm","128556","1646592",""
"14","__ENGINE_SEA_STATIC_MAP_BANK_FILE__ExecutionTree","127382","1775616",""
"15","__ENGINE_SEA_STATIC_MAP_BANK_FILE__PrisonPath","123850","1904640",""
"16","__ENGINE_SEA_STATIC_MAP_BANK_FILE__DragonCliff2","185572","2029568",""
"17","__ENGINE_SEA_STATIC_MAP_BANK_FILE__OakvaleMemorialGarden","125504","2215936",""
"18","__ENGINE_SEA_STATIC_MAP_BANK_FILE__SnowspireVillage","250998","2342912",""
"19","__ENGINE_SEA_STATIC_MAP_BANK_FILE__NorthernWastes1","175116","2594816",""
"20","__ENGINE_SEA_STATIC_MAP_BANK_FILE__NorthernWastes2","189664","2770944",""
"21","__ENGINE_SEA_STATIC_MAP_BANK_FILE__NorthernWastes3","206245","2961408",""
"22","__ENGINE_SEA_STATIC_MAP_BANK_FILE__LostBay","184988","3168256",""
"23","__ENGINE_SEA_STATIC_MAP_BANK_FILE__DemonDoor_Bordello","126637","3354624",""
"24","__ENGINE_SEA_STATIC_MAP_BANK_FILE__DemonDoor_Necropolis","189520","3481600",""
"25","Data\Levels\FinalAlbion\BanditCamp_Filler_05.lev","3665940","3672064",".lev"
"26","Data\Levels\FinalAlbion\BanditCamp_Filler_04.lev","2674708","7340032",".lev"
"27","Data\Levels\FinalAlbion\BanditCampPath_Filler_03.lev","2258135","10016768",".lev"
"28","Data\Levels\FinalAlbion\StartOakVale_Sea_02.lev","1433620","12275712",".lev"
"29","Data\Levels\FinalAlbion\StartOakVale_Sea_03.lev","1437716","13711360",".lev"
"30","Data\Levels\FinalAlbion\StartOakVale_Sea_01.lev","1515540","15151104",".lev"
"31","Data\Levels\FinalAlbion\StartOakVale_Filler_04.lev","1707115","16668672",".lev"
"32","Data\Levels\FinalAlbion\StartOakVale_Filler_01.lev","2702749","18376704",".lev"
"33","Data\Levels\FinalAlbion\StartOakVale_Filler_02.lev","2446954","21080064",".lev"
