"index","name","extension","size"
"0","Data\Levels\FinalAlbion\LookoutPoint.lev",".lev","516731"
"1","Data\Levels\FinalAlbion\LookoutPoint.tng",".tng","197526"
"2","Data\Levels\FinalAlbion\PicnicArea.lev",".lev","475003"
"3","Data\Levels\FinalAlbion\PicnicArea.tng",".tng","119232"
"4","Data\Levels\FinalAlbion\BowerstoneSlumsWarehouses.lev",".lev","733349"
"5","Data\Levels\FinalAlbion\BowerstoneSlumsWarehouses.tng",".tng","152707"
"6","Data\Levels\FinalAlbion\BowerstoneBridge.lev",".lev","494063"
"7","Data\Levels\FinalAlbion\BowerstoneBridge.tng",".tng","48427"
"8","Data\Levels\FinalAlbion\Greatwood_1.lev",".lev","603208"
"9","Data\Levels\FinalAlbion\Greatwood_1.tng",".tng","195539"
"10","Data\Levels\FinalAlbion\Greatwood_2.lev",".lev","538801"
"11","Data\Levels\FinalAlbion\Greatwood_2.tng",".tng","61532"
"12","Data\Levels\FinalAlbion\Greatwood_3.lev",".lev","830135"
"13","Data\Levels\FinalAlbion\Greatwood_3.tng",".tng","177373"
"14","Data\Levels\FinalAlbion\Greatwood_4.lev",".lev","428941"
"15","Data\Levels\FinalAlbion\Greatwood_4.tng",".tng","142500"
"16","Data\Levels\FinalAlbion\OrchardFarm.lev",".lev","830869"
"17","Data\Levels\FinalAlbion\OrchardFarm.tng",".tng","349266"
"18","Data\Levels\FinalAlbion\OrchardFarmEast.lev",".lev","577321"
"19","Data\Levels\FinalAlbion\OrchardFarmEast.tng",".tng","116318"
"20","Data\Levels\FinalAlbion\GreatwoodTeleport.lev",".lev","414854"
"21","Data\Levels\FinalAlbion\GreatwoodTeleport.tng",".tng","65394"
"22","Data\Levels\FinalAlbion\GrannysHouse.lev",".lev","281291"
"23","Data\Levels\FinalAlbion\GrannysHouse.tng",".tng","85055"
"24","Data\Levels\FinalAlbion\GreatwoodHobbeCave.lev",".lev","214326"
"25","Data\Levels\FinalAlbion\GreatwoodHobbeCave.tng",".tng","39044"
"26","Data\Levels\FinalAlbion\BanditCampMain.lev",".lev","557035"
"27","Data\Levels\FinalAlbion\BanditCampMain.tng",".tng","183628"
"28","Data\Levels\FinalAlbion\BanditCampResidential.lev",".lev","663016"
"29","Data\Levels\FinalAlbion\BanditCampResidential.tng",".tng","205802"
"30","Data\Levels\FinalAlbion\BanditCampBoss.lev",".lev","530037"
"31","Data\Levels\FinalAlbion\BanditCampBoss.tng",".tng","187318"
"32","Data\Levels\FinalAlbion\BanditCampPath_1.lev",".lev","626410"
"33","Data\Levels\FinalAlbion\BanditCampPath_1.tng",".tng","188892"
"34","Data\Levels\FinalAlbion\Darkwood.lev",".lev","261594"
"35","Data\Levels\FinalAlbion\Darkwood.tng",".tng","84911"
"36","Data\Levels\FinalAlbion\ExecutionTree.lev",".lev","311575"
"37","Data\Levels\FinalAlbion\ExecutionTree.tng",".tng","203583"
"38","Data\Levels\FinalAlbion\Graveyard_1.lev",".lev","995947"
"39","Data\Levels\FinalAlbion\Graveyard_1.tng",".tng","438712"
"40","Data\Levels\FinalAlbion\GraveyardCircle.lev",".lev","354386"
"41","Data\Levels\FinalAlbion\GraveyardCircle.tng",".tng","128842"
"42","Data\Levels\FinalAlbion\KrakenChamber.lev",".lev","538033"
"43","Data\Levels\FinalAlbion\KrakenChamber.tng",".tng","53137"
"44","Data\Levels\FinalAlbion\PrisonCells_1.lev",".lev","241722"
"45","Data\Levels\FinalAlbion\PrisonCells_1.tng",".tng","59582"
"46","Data\Levels\FinalAlbion\PrisonSecretPassage.lev",".lev","655227"
"47","Data\Levels\FinalAlbion\PrisonSecretPassage.tng",".tng","194558"
"48","Data\Levels\FinalAlbion\PrisonCells_2.lev",".lev","195667"
"49","Data\Levels\FinalAlbion\PrisonCells_2.tng",".tng","10870"
"50","Data\Levels\FinalAlbion\KnotholeGlade.lev",".lev","459524"
"51","Data\Levels\FinalAlbion\KnotholeGlade.tng",".tng","110587"
"52","Data\Levels\FinalAlbion\Arena.lev",".lev","243563"
"53","Data\Levels\FinalAlbion\Arena.tng",".tng","269693"
"54","Data\Levels\FinalAlbion\Witchwood.lev",".lev","214871"
"55","Data\Levels\FinalAlbion\Witchwood.tng",".tng","39147"
