"enum","Count"
"EGameText","26807"
"ELipSync","12134"
"ELipSync2","5310"
"EEngineGraphic","3683"
"EAnimType2","3435"
"EMeshType2","3401"
"ELipSync4","2769"
"ETextGroup","2105"
"EMeshType2_1","1276"
"EParticleEmitter","1165"
"EFrontEndGraphicBank","394"
"ELipSync4_1","291"
"ESoundAnimationEvent","105"
"ETutorialCategory","96"
"EMusicSetType","77"
"EMusicType","75"
"EAtmosType","53"
"EGuiGraphicBank","34"
"EHeroTitle","33"
"EGameAnimationEvent","23"
"EAttitude","19"
"EMiniMapMarkerType","19"
"EConversationCameraPosition","13"
"EConversationAttitude","13"
"EScriptingStateGroups","11"
"EContextSensitiveType","11"
"EImageOverlayType","11"
"EWaterType","10"
"EExpressionType","10"
"ECombatCreatureType","9"
"EWillUIType","9"
"EMinimapThemeType","9"
"EFont","9"
"EConversationCameraFocus","8"
"EMiniGameType","8"
"EReverbEnvironmentType","8"
"EPlayerInteractionTypes","7"
"EStatUpdateType","7"
"EContextSensitiveExpression","7"
"EContextSensitiveOpinionExpression","7"
"ESoundType","6"
"EScriptAIPriority","5"
"ERumbleType","5"
"ETrapType","5"
"_1","4"
"EDialogueLayer","4"
"EAIStateGroupType","4"
"EContextSensitiveMarker","3"
"EConversationProtagonist","3"
"EClockHandType","3"
"EConversationCameraZoomType","3"
"ECutsceneBehaviour","3"
"EHeroTrainingStatus","3"
"EConversationCameraView","3"
"EFrontEndParticleEmitter","2"
"EDoorTriggerType","2"
"ENoiseType","2"
"ETrapTriggerType","2"
"ENavigatorType","2"
"ESlotProperty","2"
"EQuestCardPrerequisite","1"
"ELipSync3","1"
"EEngineMeshType","1"
