"id","level_script_name","level_name","has_wad_lev","has_wad_tng","has_stb_lev","has_loose_tng"
"1","LookoutPoint","FinalAlbion\LookoutPoint.lev","True","True","True","True"
"2","PicnicArea","FinalAlbion\PicnicArea.lev","True","True","True","True"
"3","BowerstoneSlums","FinalAlbion\BowerstoneSlumsWarehouses.lev","True","True","True","True"
"4","BowerstoneBridge","FinalAlbion\BowerstoneBridge.lev","True","True","True","True"
"5","Greatwood_1","FinalAlbion\Greatwood_1.lev","True","True","True","True"
"6","Greatwood_2","FinalAlbion\Greatwood_2.lev","True","True","True","True"
"7","Greatwood_3","FinalAlbion\Greatwood_3.lev","True","True","True","True"
"8","Greatwood_4","FinalAlbion\Greatwood_4.lev","True","True","True","True"
"9","OrchardFarm","FinalAlbion\OrchardFarm.lev","True","True","True","True"
"10","OrchardFarmEast","FinalAlbion\OrchardFarmEast.lev","True","True","True","True"
"11","GreatwoodTeleport","FinalAlbion\GreatwoodTeleport.lev","True","True","True","True"
"12","GrannysHouse","FinalAlbion\GrannysHouse.lev","True","True","True","True"
"13","GreatwoodHobbeCave","FinalAlbion\GreatwoodHobbeCave.lev","True","True","True","True"
"14","BanditCampMain","FinalAlbion\BanditCampMain.lev","True","True","True","True"
"15","BanditCampResidential","FinalAlbion\BanditCampResidential.lev","True","True","True","True"
"16","BanditCampBoss","FinalAlbion\BanditCampBoss.lev","True","True","True","True"
"17","BanditCampPath_1","FinalAlbion\BanditCampPath_1.lev","True","True","True","True"
"18","Darkwood","FinalAlbion\Darkwood.lev","True","True","True","True"
"19","HeroDualArea","FinalAlbion\ExecutionTree.lev","True","True","True","True"
"20","Graveyard_1","FinalAlbion\Graveyard_1.lev","True","True","True","True"
"21","Graveyard_2","FinalAlbion\GraveyardCircle.lev","True","True","True","True"
"22","KrakenChamber","FinalAlbion\KrakenChamber.lev","True","True","True","True"
"23","PrisonCells_1","FinalAlbion\PrisonCells_1.lev","True","True","True","True"
"24","PrisonSecretPassage","FinalAlbion\PrisonSecretPassage.lev","True","True","True","True"
"25","PrisonCells_2","FinalAlbion\PrisonCells_2.lev","True","True","True","True"
"26","KnotholeGlade","FinalAlbion\KnotholeGlade.lev","True","True","True","True"
"27","Arena","FinalAlbion\Arena.lev","True","True","True","True"
"28","Witchwood","FinalAlbion\Witchwood.lev","True","True","True","True"
"29","Witchwood_2","FinalAlbion\Witchwood_2.lev","True","True","True","True"
"30","ArenaCells","FinalAlbion\ArenaCells.lev","True","True","True","True"
"31","HookCoast","FinalAlbion\HookCoast.lev","True","True","True","True"
"32","Graveyard","FinalAlbion\GraveyardEntrance.lev","True","True","True","True"
"33","HeroDualAreaCave","FinalAlbion\HeroDualAreaCave.lev","True","True","True","True"
"34","DarkwoodChapel","FinalAlbion\DarkwoodChapel.lev","True","True","True","True"
"35","Darkwood_3","FinalAlbion\Darkwood_3.lev","True","True","True","True"
"36","Darkwood_4","FinalAlbion\Darkwood_4.lev","True","True","True","True"
"37","Darkwood_5","FinalAlbion\Darkwood_5.lev","True","True","True","True"
"38","Darkwood_6","FinalAlbion\Darkwood_6.lev","True","True","True","True"
"39","Darkwood_7","FinalAlbion\Darkwood_7.lev","True","True","True","True"
"40","Darkwood_8","FinalAlbion\Darkwood_8.lev","True","True","True","True"
"41","Darkwood_9","FinalAlbion\Darkwood_9.lev","True","True","True","True"
"42","Darkwood_10","FinalAlbion\Darkwood_10.lev","True","True","True","True"
"43","Darkwood_11","FinalAlbion\Darkwood_11.lev","True","True","True","True"
"44","BarrowFields","FinalAlbion\BarrowFields.lev","True","True","True","True"
"45","Witchwood_3","FinalAlbion\Witchwood_3.lev","True","True","True","True"
"46","Witchwood_4","FinalAlbion\Witchwood_4.lev","True","True","True","True"
"47","Witchwood_5","FinalAlbion\Witchwood_5.lev","True","True","True","True"
"48","Witchwood_6","FinalAlbion\Witchwood_6.lev","True","True","True","True"
"49","Witchwood_7","FinalAlbion\Witchwood_7.lev","True","True","True","True"
"50","FrescoDome","FinalAlbion\FrescoDome.lev","True","True","True","True"
"51","Witchwood_9","FinalAlbion\Witchwood_9.lev","True","True","True","True"
"52","WitchwoodCavern","FinalAlbion\WitchwoodCavern.lev","True","True","True","True"
"53","HauntedHouse","FinalAlbion\HauntedHouse.lev","True","True","True","True"
"54","PrisonCells_3","FinalAlbion\PrisonCells_3.lev","True","True","True","True"
"55","PrisonCourtyard","FinalAlbion\PrisonCourtyard.lev","True","True","True","True"
"56","KnotholeGladeMainTown","FinalAlbion\KnotholeGladeMainTown.lev","True","True","True","True"
"57","BanditCampPathEntrance","FinalAlbion\BanditCampPathEntrance.lev","True","True","True","True"
"58","Fisherman","FinalAlbion\Fisherman.lev","True","True","True","True"
"59","ArenaHallOfHeroes","FinalAlbion\ArenaHallOfHeroes.lev","True","True","True","True"
"60","ArenaExterior","FinalAlbion\ArenaExterior.lev","True","True","True","True"
"61","GraveyardPath","FinalAlbion\GraveyardPath.lev","True","True","True","True"
"62","TeleporterGreatwood","FinalAlbion\TeleporterGreatwood.lev","True","True","True","True"
"63","Filler01","FinalAlbion\Filler01.lev","True","True","True","True"
"64","BowerstonePosh","FinalAlbion\BowerstonePosh.lev","True","True","True","True"
"65","GreatwoodBanditToll","FinalAlbion\GreatwoodBanditToll.lev","True","True","True","True"
"66","GraveyardSecretPassage_1","FinalAlbion\GraveyardSecretPassage_1.lev","True","True","True","True"
"67","PrisonBarracks","FinalAlbion\PrisonBarracks.lev","True","True","True","True"
