"file","size","new_things","script_names","definition_types"
"Arena.tng","269693","355","355","355"
"Arena_Filler_01.tng","12","0","0","0"
"Arena_Filler_02.tng","12","0","0","0"
"Arena_Leadout_01.tng","12","0","0","0"
"ArenaCells.tng","159894","195","195","195"
"ArenaExterior.tng","80158","95","95","95"
"ArenaHallOfHeroes.tng","204431","211","211","211"
"BanditCamp_Filler_01.tng","12","0","0","0"
"BanditCamp_Filler_02.tng","12","0","0","0"
"BanditCamp_Filler_03.tng","12","0","0","0"
"BanditCamp_Filler_04.tng","12","0","0","0"
"BanditCamp_Filler_05.tng","12","0","0","0"
"BanditCamp_Filler_06.tng","12","0","0","0"
"BanditCampBoss.tng","187318","280","280","280"
"BanditCampMain.tng","183628","283","294","283"
"BanditCampPath_1.tng","188892","277","277","277"
"BanditCampPath_Filler_01.tng","12","0","0","0"
"BanditCampPath_Filler_02.tng","12","0","0","0"
"BanditCampPath_Filler_03.tng","12","0","0","0"
"BanditCampPath_Filler_04.tng","12","0","0","0"
"BanditCampPath_Filler_05.tng","12","0","0","0"
"BanditCampPath_Filler_06.tng","12","0","0","0"
"BanditCampPath_Filler_07.tng","12","0","0","0"
"BanditCampPath_Filler_08.tng","12","0","0","0"
"BanditCampPath_Filler_09.tng","12","0","0","0"
"BanditCampPath_Filler_10.tng","12","0","0","0"
"BanditCampPath_Filler_11.tng","12","0","0","0"
"BanditCampPath_Filler_12.tng","12","0","0","0"
"BanditCampPath_Filler_13.tng","552","1","1","1"
"BanditCampPathEntrance.tng","80725","132","138","132"
"BanditCampResidential.tng","205802","301","301","301"
"BanditTollFiller_01.tng","12","0","0","0"
"BarrowFields.tng","191614","257","275","257"
"BarrowFields_Filler_01.tng","12","0","0","0"
"BarrowFields_Filler_02.tng","12","0","0","0"
"BarrowFields_Filler_03.tng","12","0","0","0"
"BarrowFields_Filler_04.tng","12","0","0","0"
"BarrowFields_Filler_05.tng","12","0","0","0"
"BarrowFields_Filler_07.tng","12","0","0","0"
"Bordello.tng","195474","276","286","276"
"Bordello_Filler_01.tng","551","1","1","1"
"Bordello_Filler_02.tng","12","0","0","0"
"Bordello_Filler_03.tng","12","0","0","0"
"Bordello_Filler_04.tng","12","0","0","0"
"Bowerstone_Filler_01.tng","12","0","0","0"
"Bowerstone_Filler_02.tng","12","0","0","0"
"Bowerstone_Filler_03.tng","12","0","0","0"
"Bowerstone_Filler_04.tng","12","0","0","0"
"Bowerstone_Filler_05.tng","12","0","0","0"
"Bowerstone_Filler_06.tng","12","0","0","0"
"BowerstoneBridge.tng","48427","88","96","88"
"BowerstoneJail.tng","207435","266","266","266"
"BowerstoneJail_Filler_01.tng","12","0","0","0"
"BowerstoneJail_Filler_02.tng","12","0","0","0"
"BowerstonePosh.tng","318086","476","496","476"
"BowerstoneSlums_Filler_01.tng","12","0","0","0"
"BowerstoneSlums_Filler_02.tng","12","0","0","0"
"BowerstoneSlums_Filler_03.tng","12","0","0","0"
"BowerstoneSlums_v2.tng","772043","1058","1098","1058"
"BowerstoneSlumsWarehouses.tng","152707","235","235","235"
"BowerstoneTavernCellar.tng","6196","10","10","10"
"Darkwood.tng","84911","121","121","121"
"Darkwood_10.tng","27289","46","46","46"
"Darkwood_11.tng","29578","46","46","46"
"Darkwood_3.tng","28635","46","46","46"
"Darkwood_4.tng","32528","40","40","40"
"Darkwood_5.tng","63357","85","85","85"
"Darkwood_6.tng","78438","101","101","101"
"Darkwood_7.tng","45145","67","67","67"
"Darkwood_8.tng","73818","106","106","106"
"Darkwood_9.tng","21708","32","32","32"
"Darkwood_Filler_01.tng","12","0","0","0"
"Darkwood_Filler_02.tng","12","0","0","0"
"Darkwood_Filler_03.tng","12","0","0","0"
"Darkwood_Filler_04.tng","12","0","0","0"
"Darkwood_Filler_05.tng","12","0","0","0"
