"family_index","family_name","object_index","object_name","weight","weight_total"
"2816","GOLD_FAMILY_01","4642","OBJECT_GOLDBAG_MEDIUM_WITH_COINS","100","500"
"2816","GOLD_FAMILY_01","0","","400","500"
"2817","REWARD_GUARD_01","4646","OBJECT_GOLD_5","150","1000"
"2817","REWARD_GUARD_01","4647","OBJECT_GOLD_10","50","1000"
"2817","REWARD_GUARD_01","4274","OBJECT_APPLE_GREEN_01","140","1000"
"2817","REWARD_GUARD_01","4290","OBJECT_DYNAMIC_POTION_DUMMY","60","1000"
"2817","REWARD_GUARD_01","4291","OBJECT_DYNAMIC_RESURRECTION_DUMMY","100","1000"
"2817","REWARD_GUARD_01","0","","100","1000"
"2817","REWARD_GUARD_01","0","","400","1000"
"2818","REWARD_GUARD_02","4648","OBJECT_GOLD_20","150","995"
"2818","REWARD_GUARD_02","4649","OBJECT_GOLD_50","50","995"
"2818","REWARD_GUARD_02","4276","OBJECT_PIE_APPLE_01","135","995"
"2818","REWARD_GUARD_02","4290","OBJECT_DYNAMIC_POTION_DUMMY","60","995"
"2818","REWARD_GUARD_02","4291","OBJECT_DYNAMIC_RESURRECTION_DUMMY","100","995"
"2818","REWARD_GUARD_02","0","","100","995"
"2818","REWARD_GUARD_02","0","","400","995"
"2819","REWARD_GUARD_03","4649","OBJECT_GOLD_50","150","990"
"2819","REWARD_GUARD_03","4650","OBJECT_GOLD_100","50","990"
"2819","REWARD_GUARD_03","4276","OBJECT_PIE_APPLE_01","130","990"
"2819","REWARD_GUARD_03","4290","OBJECT_DYNAMIC_POTION_DUMMY","60","990"
"2819","REWARD_GUARD_03","4291","OBJECT_DYNAMIC_RESURRECTION_DUMMY","100","990"
"2819","REWARD_GUARD_03","0","","100","990"
"2819","REWARD_GUARD_03","0","","400","990"
"2820","REWARD_VILLAGER_01","4646","OBJECT_GOLD_5","100","800"
"2820","REWARD_VILLAGER_01","4274","OBJECT_APPLE_GREEN_01","60","800"
"2820","REWARD_VILLAGER_01","4290","OBJECT_DYNAMIC_POTION_DUMMY","40","800"
"2820","REWARD_VILLAGER_01","0","","200","800"
"2820","REWARD_VILLAGER_01","0","","400","800"
"2821","REWARD_VILLAGER_02","4646","OBJECT_GOLD_5","60","750"
"2821","REWARD_VILLAGER_02","4647","OBJECT_GOLD_10","40","750"
"2821","REWARD_VILLAGER_02","4284","OBJECT_RED_MEAT_01","60","750"
"2821","REWARD_VILLAGER_02","4290","OBJECT_DYNAMIC_POTION_DUMMY","40","750"
"2821","REWARD_VILLAGER_02","0","","150","750"
"2821","REWARD_VILLAGER_02","0","","400","750"
"2822","REWARD_VILLAGER_03","4646","OBJECT_GOLD_5","50","750"
"2822","REWARD_VILLAGER_03","4647","OBJECT_GOLD_10","50","750"
"2822","REWARD_VILLAGER_03","4276","OBJECT_PIE_APPLE_01","60","750"
"2822","REWARD_VILLAGER_03","4290","OBJECT_DYNAMIC_POTION_DUMMY","40","750"
"2822","REWARD_VILLAGER_03","0","","150","750"
"2822","REWARD_VILLAGER_03","0","","400","750"
"2823","REWARD_TRADER_01","4290","OBJECT_DYNAMIC_POTION_DUMMY","10","825"
"2823","REWARD_TRADER_01","4291","OBJECT_DYNAMIC_RESURRECTION_DUMMY","10","825"
"2823","REWARD_TRADER_01","4274","OBJECT_APPLE_GREEN_01","40","825"
"2823","REWARD_TRADER_01","4276","OBJECT_PIE_APPLE_01","40","825"
"2823","REWARD_TRADER_01","4279","OBJECT_FISH_CARP_MEDIUM_01","30","825"
"2823","REWARD_TRADER_01","4283","OBJECT_CARROT","30","825"
"2823","REWARD_TRADER_01","4284","OBJECT_RED_MEAT_01","30","825"
"2823","REWARD_TRADER_01","4288","OBJECT_TOFU","5","825"
"2823","REWARD_TRADER_01","4289","OBJECT_CRUNCHY_CHICK","5","825"
"2823","REWARD_TRADER_01","4292","OBJECT_HEALTH_POTION","20","825"
"2823","REWARD_TRADER_01","4293","OBJECT_MANA_POTION","20","825"
"2823","REWARD_TRADER_01","4314","OBJECT_PERFUME","10","825"
"2823","REWARD_TRADER_01","4315","OBJECT_ROSE_RED_01","20","825"
"2823","REWARD_TRADER_01","4317","OBJECT_CHOCOLATE_BOX_01","20","825"
"2823","REWARD_TRADER_01","4318","OBJECT_WEDDING_RING","1","825"
"2823","REWARD_TRADER_01","4319","OBJECT_FAKE_WEDDING_RING","5","825"
"2823","REWARD_TRADER_01","4441","OBJECT_GEMSTONE_DIAMOND","1","825"
"2823","REWARD_TRADER_01","4442","OBJECT_GEMSTONE_EMERALD","2","825"
"2823","REWARD_TRADER_01","4443","OBJECT_GEMSTONE_RUBY","2","825"
"2823","REWARD_TRADER_01","4444","OBJECT_GEMSTONE_SAPPHIRE","2","825"
"2823","REWARD_TRADER_01","4445","OBJECT_GEMSTONE_JET","2","825"
"2823","REWARD_TRADER_01","4446","OBJECT_GRAIN_SACK","30","825"
"2823","REWARD_TRADER_01","4447","OBJECT_FLOUR_SACK","30","825"
"2823","REWARD_TRADER_01","4448","OBJECT_BEER_KEG","30","825"
"2823","REWARD_TRADER_01","4450","OBJECT_LIQUOR_CRATE","30","825"
"2823","REWARD_TRADER_01","0","","400","825"
"2824","REWARD_TRADER_02","4290","OBJECT_DYNAMIC_POTION_DUMMY","10","695"
"2824","REWARD_TRADER_02","4291","OBJECT_DYNAMIC_RESURRECTION_DUMMY","10","695"
"2824","REWARD_TRADER_02","4274","OBJECT_APPLE_GREEN_01","40","695"
"2824","REWARD_TRADER_02","4276","OBJECT_PIE_APPLE_01","40","695"
"2824","REWARD_TRADER_02","4279","OBJECT_FISH_CARP_MEDIUM_01","30","695"
"2824","REWARD_TRADER_02","4283","OBJECT_CARROT","30","695"
"2824","REWARD_TRADER_02","4284","OBJECT_RED_MEAT_01","30","695"
"2824","REWARD_TRADER_02","4288","OBJECT_TOFU","5","695"
"2824","REWARD_TRADER_02","0","","100","695"
"2824","REWARD_TRADER_02","0","","400","695"
"2825","REWARD_TRADER_03","4291","OBJECT_DYNAMIC_RESURRECTION_DUMMY","10","100"
"2825","REWARD_TRADER_03","4650","OBJECT_GOLD_100","80","100"
"2825","REWARD_TRADER_03","4651","OBJECT_GOLD_250","10","100"
"2826","REWARD_BANDIT_01","4646","OBJECT_GOLD_5","150","1050"
"2826","REWARD_BANDIT_01","4647","OBJECT_GOLD_10","50","1050"
"2826","REWARD_BANDIT_01","4290","OBJECT_DYNAMIC_POTION_DUMMY","50","1050"
"2826","REWARD_BANDIT_01","4291","OBJECT_DYNAMIC_RESURRECTION_DUMMY","150","1050"
"2826","REWARD_BANDIT_01","4284","OBJECT_RED_MEAT_01","75","1050"
"2826","REWARD_BANDIT_01","4276","OBJECT_PIE_APPLE_01","75","1050"
"2826","REWARD_BANDIT_01","0","","100","1050"
"2826","REWARD_BANDIT_01","0","","400","1050"
"2827","REWARD_BANDIT_02","4647","OBJECT_GOLD_10","150","1000"
"2827","REWARD_BANDIT_02","4648","OBJECT_GOLD_20","50","1000"
"2827","REWARD_BANDIT_02","4290","OBJECT_DYNAMIC_POTION_DUMMY","60","1000"
"2827","REWARD_BANDIT_02","4291","OBJECT_DYNAMIC_RESURRECTION_DUMMY","100","1000"
"2827","REWARD_BANDIT_02","4284","OBJECT_RED_MEAT_01","120","1000"
"2827","REWARD_BANDIT_02","4289","OBJECT_CRUNCHY_CHICK","20","1000"
"2827","REWARD_BANDIT_02","0","","100","1000"
"2827","REWARD_BANDIT_02","0","","400","1000"
