index	definition	name	length	hex
160	OBJECT_FAMILY	NULLDEF_OBJECT_FAMILY	13	0000000000112ACBE000000000
2816	OBJECT_FAMILY	GOLD_FAMILY_01	29	0100010000112ACBE002000000221200000000C842000000000000C843
2817	OBJECT_FAMILY	REWARD_GUARD_01	69	0100010000112ACBE00700000026120000000016432712000000004842B210000000000C43C210000000007042C31000000000C842000000000000C842000000000000C843
2818	OBJECT_FAMILY	REWARD_GUARD_02	69	0100010000112ACBE00700000028120000000016432912000000004842B410000000000743C210000000007042C31000000000C842000000000000C842000000000000C843
2819	OBJECT_FAMILY	REWARD_GUARD_03	69	0100010000112ACBE00700000029120000000016432A12000000004842B410000000000243C210000000007042C31000000000C842000000000000C842000000000000C843
2820	OBJECT_FAMILY	REWARD_VILLAGER_01	53	0100010000112ACBE005000000261200000000C842B210000000007042C2100000000020420000000000004843000000000000C843
2821	OBJECT_FAMILY	REWARD_VILLAGER_02	61	0100010000112ACBE00600000026120000000070422712000000002042BC10000000007042C2100000000020420000000000001643000000000000C843
2822	OBJECT_FAMILY	REWARD_VILLAGER_03	61	0100010000112ACBE00600000026120000000048422712000000004842B410000000007042C2100000000020420000000000001643000000000000C843
2823	OBJECT_FAMILY	REWARD_TRADER_01	221	0100010000112ACBE01A000000C210000000002041C310000000002041B210000000002042B410000000002042B71000000000F041BB1000000000F041BC1000000000F041C01000000000A040C11000000000A040C41000000000A041C51000000000A041DA10000000002041DB1000000000A041DD1000000000A041DE1000000000803FDF1000000000A040591100000000803F5A110000000000405B110000000000405C110000000000405D110000000000405E1100000000F0415F1100000000F041601100000000F041621100000000F041000000000000C843
2824	OBJECT_FAMILY	REWARD_TRADER_02	93	0100010000112ACBE00A000000C210000000002041C310000000002041B210000000002042B410000000002042B71000000000F041BB1000000000F041BC1000000000F041C01000000000A040000000000000C842000000000000C843
2825	OBJECT_FAMILY	REWARD_TRADER_03	37	0100010000112ACBE003000000C3100000000020412A1200000000A0422B12000000002041
