index	definition	name	length	hex
26	CContainerRewardHeroDef	NULLDEF_CContainerRewardHeroDef	11	000000583DF00800000000
8915	CContainerRewardHeroDef		11	010001583DF00800000000
8931	CContainerRewardHeroDef		15	010001583DF00801000000040B0000
8963	CContainerRewardHeroDef		11	010001583DF00800000000
9001	CContainerRewardHeroDef		15	010001583DF00801000000010B0000
9921	CContainerRewardHeroDef		15	010001583DF008010000000A0B0000
9922	CContainerRewardHeroDef		15	010001583DF008010000000A0B0000
9923	CContainerRewardHeroDef		15	010001583DF008010000000A0B0000
9924	CContainerRewardHeroDef		15	010001583DF008010000000A0B0000
9930	CContainerRewardHeroDef		15	010001583DF008010000000B0B0000
9931	CContainerRewardHeroDef		15	010001583DF008010000000B0B0000
9932	CContainerRewardHeroDef		15	010001583DF008010000000B0B0000
9933	CContainerRewardHeroDef		15	010001583DF008010000000B0B0000
9940	CContainerRewardHeroDef		15	010001583DF008010000000C0B0000
9941	CContainerRewardHeroDef		15	010001583DF008010000000C0B0000
9942	CContainerRewardHeroDef		15	010001583DF008010000000C0B0000
9943	CContainerRewardHeroDef		15	010001583DF008010000000C0B0000
9947	CContainerRewardHeroDef		15	010001583DF008010000000A0B0000
9952	CContainerRewardHeroDef		15	010001583DF008010000000B0B0000
9958	CContainerRewardHeroDef		15	010001583DF008010000000C0B0000
9971	CContainerRewardHeroDef		15	010001583DF008010000000A0B0000
9974	CContainerRewardHeroDef		15	010001583DF008010000000B0B0000
9980	CContainerRewardHeroDef		15	010001583DF008010000000C0B0000
9986	CContainerRewardHeroDef		15	010001583DF008010000000D0B0000
9991	CContainerRewardHeroDef		15	010001583DF008010000000E0B0000
9996	CContainerRewardHeroDef		15	010001583DF008010000000F0B0000
10003	CContainerRewardHeroDef		19	010001583DF008020000000D0B00000A0B0000
10007	CContainerRewardHeroDef		19	010001583DF008020000000E0B00000B0B0000
10011	CContainerRewardHeroDef		19	010001583DF008020000000F0B00000C0B0000
10097	CContainerRewardHeroDef		15	010001583DF008010000001A0B0000
10142	CContainerRewardHeroDef		15	010001583DF008010000001B0B0000
10144	CContainerRewardHeroDef		15	010001583DF008010000001B0B0000
10163	CContainerRewardHeroDef		15	010001583DF008010000001C0B0000
10165	CContainerRewardHeroDef		15	010001583DF008010000001C0B0000
10175	CContainerRewardHeroDef		15	010001583DF00801000000260B0000
10182	CContainerRewardHeroDef		15	010001583DF00801000000250B0000
10187	CContainerRewardHeroDef		15	010001583DF00801000000250B0000
10192	CContainerRewardHeroDef		15	010001583DF00801000000250B0000
10239	CContainerRewardHeroDef		15	010001583DF00801000000150B0000
10251	CContainerRewardHeroDef		19	010001583DF00802000000150B0000160B0000
10264	CContainerRewardHeroDef		15	010001583DF00801000000150B0000
10271	CContainerRewardHeroDef		15	010001583DF008010000001F0B0000
10277	CContainerRewardHeroDef		15	010001583DF00801000000210B0000
10284	CContainerRewardHeroDef		15	010001583DF00801000000200B0000
10288	CContainerRewardHeroDef		15	010001583DF008010000001D0B0000
10289	CContainerRewardHeroDef		15	010001583DF008010000001E0B0000
10296	CContainerRewardHeroDef		15	010001583DF00801000000170B0000
10303	CContainerRewardHeroDef		15	010001583DF00801000000180B0000
10312	CContainerRewardHeroDef		15	010001583DF00801000000190B0000
10323	CContainerRewardHeroDef		15	010001583DF00801000000190B0000
10348	CContainerRewardHeroDef		15	010001583DF00801000000220B0000
10355	CContainerRewardHeroDef		15	010001583DF00801000000230B0000
10364	CContainerRewardHeroDef		15	010001583DF00801000000240B0000
10387	CContainerRewardHeroDef		15	010001583DF00801000000240B0000
10395	CContainerRewardHeroDef		15	010001583DF00801000000240B0000
10406	CContainerRewardHeroDef		15	010001583DF00801000000240B0000
10413	CContainerRewardHeroDef		15	010001583DF00801000000100B0000
10418	CContainerRewardHeroDef		15	010001583DF00801000000100B0000
10425	CContainerRewardHeroDef		15	010001583DF00801000000100B0000
10430	CContainerRewardHeroDef		15	010001583DF00801000000110B0000
10434	CContainerRewardHeroDef		15	010001583DF00801000000120B0000
10453	CContainerRewardHeroDef		15	010001583DF00801000000270B0000
10485	CContainerRewardHeroDef		15	010001583DF00801000000130B0000
10487	CContainerRewardHeroDef		15	010001583DF00801000000140B0000
10750	CContainerRewardHeroDef		19	010001583DF00802000000040B0000090B0000
10754	CContainerRewardHeroDef		19	010001583DF00802000000040B0000090B0000
10756	CContainerRewardHeroDef		19	010001583DF00802000000040B0000090B0000
10765	CContainerRewardHeroDef		19	010001583DF00802000000040B0000070B0000
10930	CContainerRewardHeroDef		19	010001583DF00802000000010B0000010B0000
10934	CContainerRewardHeroDef		19	010001583DF00802000000010B0000020B0000
10937	CContainerRewardHeroDef		19	010001583DF00802000000010B0000030B0000
11149	CContainerRewardHeroDef		19	010001583DF00802000000010B0000030B0000
