"id","x","y","level_name","level_script_name","uid","is_sea","loaded_on_proximity"
"1","3232","3488","FinalAlbion\LookoutPoint.lev","LookoutPoint","162441","FALSE","TRUE"
"2","3104","3520","FinalAlbion\PicnicArea.lev","PicnicArea","163625","FALSE","TRUE"
"3","3104","4000","FinalAlbion\BowerstoneSlumsWarehouses.lev","BowerstoneSlums","3035471","FALSE","TRUE"
"4","3232","3616","FinalAlbion\BowerstoneBridge.lev","BowerstoneBridge","784595","FALSE","TRUE"
"5","3264","3296","FinalAlbion\Greatwood_1.lev","Greatwood_1","1277243","FALSE","TRUE"
"6","3168","3296","FinalAlbion\Greatwood_2.lev","Greatwood_2","3899874","FALSE","TRUE"
"7","3008","3200","FinalAlbion\Greatwood_3.lev","Greatwood_3","3902359","FALSE","TRUE"
"8","3008","3104","FinalAlbion\Greatwood_4.lev","Greatwood_4","3378994","FALSE","TRUE"
"9","3200","3168","FinalAlbion\OrchardFarm.lev","OrchardFarm","3498540","FALSE","TRUE"
"10","3296","3168","FinalAlbion\OrchardFarmEast.lev","OrchardFarmEast","2977844","FALSE","TRUE"
"11","3008","2944","FinalAlbion\GreatwoodTeleport.lev","GreatwoodTeleport","2656346","FALSE","TRUE"
"12","2880","2944","FinalAlbion\GrannysHouse.lev","GrannysHouse","560334","FALSE","TRUE"
"13","3008","2880","FinalAlbion\GreatwoodHobbeCave.lev","GreatwoodHobbeCave","2134284","FALSE","TRUE"
"14","1824","2048","FinalAlbion\BanditCampMain.lev","BanditCampMain","86470","FALSE","TRUE"
"15","1664","2048","FinalAlbion\BanditCampResidential.lev","BanditCampResidential","3233548","FALSE","TRUE"
"16","1536","2048","FinalAlbion\BanditCampBoss.lev","BanditCampBoss","2710375","FALSE","TRUE"
"17","2048","2048","FinalAlbion\BanditCampPath_1.lev","BanditCampPath_1","4041766","FALSE","TRUE"
"18","3008","2688","FinalAlbion\Darkwood.lev","Darkwood","2664793","FALSE","TRUE"
"19","3104","4672","FinalAlbion\ExecutionTree.lev","HeroDualArea","64420","FALSE","TRUE"
"20","2880","4832","FinalAlbion\Graveyard_1.lev","Graveyard_1","2066347","FALSE","TRUE"
"21","3008","5152","FinalAlbion\GraveyardCircle.lev","Graveyard_2","1767781","FALSE","TRUE"
"22","3200","6016","FinalAlbion\KrakenChamber.lev","KrakenChamber","2146941","FALSE","TRUE"
"23","3904","6176","FinalAlbion\PrisonCells_1.lev","PrisonCells_1","3428799","FALSE","TRUE"
