"id","region_name","display_name","region_def","minimap","minimap_scale","appear_on_world_map","contains_count","sees_count","contains_maps","sees_maps"
"1","LookoutPoint","TXT_REGION_LOOKOUT_POINT","REGION_LOOKOUT_POINT","MINIMAP_LOOKOUTPOINT","1.0","","3","11","FinalAlbion\BowerstoneBridge.lev;FinalAlbion\LookoutPoint.lev;FinalAlbion\GuildExterior.lev","FinalAlbion\LookoutPoint_Filler_01.lev;FinalAlbion\LookoutPoint_Filler_05.lev;FinalAlbion\PicnicArea_Filler_02.lev;FinalAlbion\PicnicArea.lev;FinalAlbion\Greatwood_1.lev;FinalAlbion\Greatwood_2.lev;FinalAlbion\Greatwood_Filler_04.lev;FinalAlbion\PicnicArea_Filler_03.lev;FinalAlbion\Fisherman.lev;FinalAlbion\LookoutPoint_Filler_06.lev;FinalAlbion\LookoutPoint_Filler_07.lev"
"2","PicnicArea","TXT_REGION_PICNIC_AREA","REGION_PICNIC_AREA","MINIMAP_PICNICAREA","1.0","","1","22","FinalAlbion\PicnicArea.lev","FinalAlbion\PicnicArea_Filler_01.lev;FinalAlbion\PicnicArea_Filler_02.lev;FinalAlbion\BowerstoneBridge.lev;FinalAlbion\LookoutPoint.lev;FinalAlbion\PicnicArea_Filler_03.lev;FinalAlbion\Fisherman.lev;FinalAlbion\Greatwood_1.lev;FinalAlbion\Greatwood_2.lev;FinalAlbion\LookoutPoint_Filler_05.lev;FinalAlbion\LookoutPoint_Filler_01.lev;FinalAlbion\Greatwood_4.lev;FinalAlbion\Greatwood_Filler_02.lev;FinalAlbion\GreatwoodBanditToll.lev;FinalAlbion\Greatwood_Filler_08.lev;FinalAlbion\GreatwoodTeleport.lev;FinalAlbion\BanditTollFiller_01.lev;FinalAlbion\Greatwood_3.lev;FinalAlbion\Greatwood_Filler_09.lev;FinalAlbion\GreatwoodLakeFiller_01.lev;FinalAlbion\Greatwood_Filler_03.lev;FinalAlbion\OrchardFarmFiller_01.lev;FinalAlbion\OrchardFarm.lev"
"3","BowerstoneSlums","TXT_REGION_BOWERSTONE_SLUMS","REGION_BOWERSTONE_SLUMS","MINIMAP_BOWERSTONESLUMS","1.1","","1","0","FinalAlbion\BowerstoneSlums_v2.lev",""
"4","StartOakVale","TXT_REGION_OAKVALE","REGION_OAK_VALE_INTRO","MINIMAP_STARTOAKVALE","1.0","","3","9","FinalAlbion\StartOakValeWest.lev;FinalAlbion\StartOakvaleMemorialGarden.lev;FinalAlbion\StartOakValeEast.lev","FinalAlbion\StartOakVale_Filler_04.lev;FinalAlbion\StartOakVale_Sea_01.lev;FinalAlbion\StartOakVale_Sea_03.lev;FinalAlbion\StartOakVale_Sea_02.lev;FinalAlbion\StartOakVale_Sea_04.lev;FinalAlbion\StartOakVale_Filler_03.lev;FinalAlbion\StartOakVale_Filler_02.lev;FinalAlbion\StartOakVale_Filler_01.lev;FinalAlbion\StartOakVale_Filler_05.lev"
"5","Greatwood","TXT_REGION_GREATWOOD_TELEPORT","REGION_GREATWOOD_TELEPORT","MINIMAP_GREATWOOD","1.0","","3","17","FinalAlbion\GreatwoodTeleport.lev;FinalAlbion\Filler01.lev;FinalAlbion\TeleporterGreatwood.lev","FinalAlbion\Filler_GrannysHouse_02.lev;FinalAlbion\GrannysHouse.lev;FinalAlbion\Filler_GrannysHouse_01.lev;FinalAlbion\BanditTollFiller_01.lev;FinalAlbion\GreatwoodBanditToll.lev;FinalAlbion\Greatwood_Filler_01.lev;FinalAlbion\Greatwood_Filler_02.lev;FinalAlbion\TeleporterGreatwood.lev;FinalAlbion\Darkwood_Filler_26.lev;FinalAlbion\Darkwood_Filler_25.lev;FinalAlbion\Greatwood_Filler_07.lev;FinalAlbion\Greatwood_4.lev;FinalAlbion\PicnicArea_Filler_01.lev;FinalAlbion\BowerstoneSlums_Filler_03.lev;FinalAlbion\Greatwood_3.lev;FinalAlbion\Greatwood_Filler_06.lev;FinalAlbion\GreatwoodHobbeCave.lev"
"6","OrchardFarm","TXT_REGION_ORCHARD_FARM","REGION_ORCHARD_FARM","MINIMAP_ORCHARDFARM","1.0","","3","8","FinalAlbion\OrchardFarmEast.lev;FinalAlbion\OrchardFarm.lev;FinalAlbion\OrchardFarmFiller_01.lev","FinalAlbion\OrchardFarm_Filler_02.lev;FinalAlbion\OrchardFarm_Filler_01.lev;FinalAlbion\Greatwood_Filler_04.lev;FinalAlbion\Greatwood_1.lev;FinalAlbion\Greatwood_2.lev;FinalAlbion\Greatwood_3.lev;FinalAlbion\Greatwood_Filler_03.lev;FinalAlbion\Greatwood_Filler_02.lev"
"7","BanditCampEntrance","TXT_REGION_BANDIT_CAMP","REGION_BANDIT_CAMP","MINIMAP_BANDITCAMPENTRANCE","1.0","","1","8","FinalAlbion\BanditCampMain.lev","FinalAlbion\BanditCampPath_Filler_03.lev;FinalAlbion\BanditCamp_Filler_04.lev;FinalAlbion\BanditCamp_Filler_01.lev;FinalAlbion\BanditCamp_Filler_02.lev;FinalAlbion\BanditCamp_Filler_03.lev;FinalAlbion\BanditCamp_Filler_06.lev;FinalAlbion\BanditCamp_Filler_05.lev;FinalAlbion\BanditCampPath_Filler_13.lev"
"8","BanditCampPath1","TXT_REGION_BANDIT_CAMP_PATH","REGION_BANDIT_CAMP_PATH","MINIMAP_BANDITCAMPPATH1","1.0","","1","20","FinalAlbion\BanditCampPath_1.lev","FinalAlbion\BanditCampPath_Filler_04.lev;FinalAlbion\BanditCampPath_Filler_05.lev;FinalAlbion\BanditCampPath_Filler_11.lev;FinalAlbion\BanditCampPath_Filler_08.lev;FinalAlbion\BanditCampPath_Filler_09.lev;FinalAlbion\BanditCampPath_Filler_10.lev;FinalAlbion\BanditCampPath_Filler_07.lev;FinalAlbion\OakVale_Filler_04.lev;FinalAlbion\BanditCampPath_Filler_06.lev;FinalAlbion\BanditCampPath_Filler_02.lev;FinalAlbion\BanditCampPath_Filler_01.lev;FinalAlbion\OakVale_Sea_01.lev;FinalAlbion\OakVale_Filler_01.lev;FinalAlbion\BanditCampPathEntrance.lev;FinalAlbion\BanditCampPath_Filler_03.lev;FinalAlbion\BanditCamp_Filler_04.lev;FinalAlbion\BanditCampMain.lev;FinalAlbion\BanditCamp_Filler_01.lev;FinalAlbion\OakVale_Filler_03.lev;FinalAlbion\BanditCampPath_Filler_13.lev"
"9","PrisonSecretPassage","TXT_REGION_UNDERGROUND_PASSAGE","REGION_PRISON_SECRET_PASSAGE","MINIMAP_PRISONSECRETPASSAGE","1.0","","1","0","FinalAlbion\PrisonSecretPassage.lev",""
"10","KrakenChamber","TXT_REGION_UNDERGROUND_CHAMBER","REGION_KRAKEN_CHAMBER","MINIMAP_KRAKENCHAMBER","1.0","","1","0","FinalAlbion\KrakenChamber.lev",""
