# revert map: restores default names if needed
0099be70	FUN_0099be70
00410de0	FUN_00410de0
0099b6b0	FUN_0099b6b0
0099f570	FUN_0099f570
0099f600	FUN_0099f600
00c0ba40	FUN_00c0ba40
0042d5b1	FUN_0042d5b1
00c0ffe0	FUN_00c0ffe0
00693ef0	FUN_00693ef0
004e40c3	FUN_004e40c3
0042b646	FUN_0042b646
0099bf30	FUN_0099bf30
0053fde0	FUN_0053fde0
0099e960	FUN_0099e960
00669d30	FUN_00669d30
009f1760	FUN_009f1760
0042971d	FUN_0042971d
0099b2c0	FUN_0099b2c0
0044bff0	FUN_0044bff0
0042a34e	FUN_0042a34e
00454886	FUN_00454886
004294e2	FUN_004294e2
00c4d740	FUN_00c4d740
00433530	FUN_00433530
0045ef2d	FUN_0045ef2d
0066bd00	FUN_0066bd00
00440990	FUN_00440990
004c9840	FUN_004c9840
008b0b10	FUN_008b0b10
00c915a0	FUN_00c915a0
0099b800	FUN_0099b800
00833a10	FUN_00833a10
0099b150	FUN_0099b150
00c90fc0	FUN_00c90fc0
00c7b8f0	FUN_00c7b8f0
00431143	FUN_00431143
004310a7	FUN_004310a7
00743270	FUN_00743270
00c7b8b0	FUN_00c7b8b0
009a08b0	FUN_009a08b0
00c19250	FUN_00c19250
00a14040	FUN_00a14040
0053fdb0	FUN_0053fdb0
0066e370	FUN_0066e370
00436ac0	FUN_00436ac0
00c194f0	FUN_00c194f0
006f0810	FUN_006f0810
004128a0	FUN_004128a0
006a80a0	FUN_006a80a0
006f5400	FUN_006f5400
0099b940	FUN_0099b940
006f0250	FUN_006f0250
0099ba70	FUN_0099ba70
00432ee9	FUN_00432ee9
009f18f0	FUN_009f18f0
00486024	FUN_00486024
00c5ffb0	FUN_00c5ffb0
0066e630	FUN_0066e630
00404280	FUN_00404280
00485ff3	FUN_00485ff3
00cd344a	FUN_00cd344a
004c1060	FUN_004c1060
005135d0	FUN_005135d0
004ad520	FUN_004ad520
009cc410	FUN_009cc410
00b2ac80	FUN_00b2ac80
005947b6	FUN_005947b6
005693b0	FUN_005693b0
005b3100	FUN_005b3100
005dc340	FUN_005dc340
008adf90	FUN_008adf90
0099bdb0	FUN_0099bdb0
0099bff0	FUN_0099bff0
00440d70	FUN_00440d70
00464ace	FUN_00464ace
009ecd80	FUN_009ecd80
0042b467	FUN_0042b467
004ac380	FUN_004ac380
009ac310	FUN_009ac310
00b262c0	FUN_00b262c0
0045bc09	FUN_0045bc09
005dc2e0	FUN_005dc2e0
0075b8d0	FUN_0075b8d0
008ac9d0	FUN_008ac9d0
00a9ad00	FUN_00a9ad00
00405ba0	FUN_00405ba0
0043336a	FUN_0043336a
0099ed10	FUN_0099ed10
00535470	FUN_00535470
0046078c	FUN_0046078c
00567d00	FUN_00567d00
00b84720	FUN_00b84720
00412330	FUN_00412330
00b292b0	FUN_00b292b0
00c8f0d0	FUN_00c8f0d0
0042ab8a	FUN_0042ab8a
0099b0f0	FUN_0099b0f0
00a22f80	FUN_00a22f80
005152c0	FUN_005152c0
009f17a0	FUN_009f17a0
00a441e0	FUN_00a441e0
00c0bfe0	FUN_00c0bfe0
004ba4e0	FUN_004ba4e0
00512da0	FUN_00512da0
00514160	FUN_00514160
0076ada0	FUN_0076ada0
0099c1e0	FUN_0099c1e0
00c3caa0	FUN_00c3caa0
00403c60	FUN_00403c60
00404310	FUN_00404310
00412450	FUN_00412450
004408a0	FUN_004408a0
00485dbc	FUN_00485dbc
00592495	FUN_00592495
00999760	FUN_00999760
0049c370	FUN_0049c370
004ac940	FUN_004ac940
00569940	FUN_00569940
009ac2d0	FUN_009ac2d0
00c74450	FUN_00c74450
00514c10	FUN_00514c10
005bb346	FUN_005bb346
005e29d0	FUN_005e29d0
00b33ae0	FUN_00b33ae0
0042abaf	FUN_0042abaf
0047ed0a	FUN_0047ed0a
0051bf90	FUN_0051bf90
005359d0	FUN_005359d0
00535ad0	FUN_00535ad0
0066b280	FUN_0066b280
00686ed0	FUN_00686ed0
0099ee20	FUN_0099ee20
0099f930	FUN_0099f930
00c0dab0	FUN_00c0dab0
00cd3152	FUN_00cd3152
004ac0f0	FUN_004ac0f0
00514e20	FUN_00514e20
00517720	FUN_00517720
006cade0	FUN_006cade0
0099f1f0	FUN_0099f1f0
00c185b0	FUN_00c185b0
0042ab58	FUN_0042ab58
00436c80	FUN_00436c80
00515cc0	FUN_00515cc0
00570332	FUN_00570332
00571280	FUN_00571280
00b6cbd0	FUN_00b6cbd0
00431f90	FUN_00431f90
00485f3a	FUN_00485f3a
008afd00	FUN_008afd00
00997f80	FUN_00997f80
009ba5b0	FUN_009ba5b0
009e5120	FUN_009e5120
00553e60	FUN_00553e60
005672d0	FUN_005672d0
00618be0	FUN_00618be0
00632500	FUN_00632500
006a11f0	FUN_006a11f0
006a1270	FUN_006a1270
006bb390	FUN_006bb390
006d6fa0	FUN_006d6fa0
007d5d60	FUN_007d5d60
009c2ca0	FUN_009c2ca0
00a96e40	FUN_00a96e40
00c2a150	FUN_00c2a150
004b9370	FUN_004b9370
00743b30	FUN_00743b30
00800020	FUN_00800020
0084e420	FUN_0084e420
008ad5f0	FUN_008ad5f0
00a14260	FUN_00a14260
00c74420	FUN_00c74420
004110d0	FUN_004110d0
00569140	FUN_00569140
006a7c60	FUN_006a7c60
00706800	FUN_00706800
008ea3f0	FUN_008ea3f0
00996610	FUN_00996610
0099b770	FUN_0099b770
009a0590	FUN_009a0590
00c29fc0	FUN_00c29fc0
00c2a090	FUN_00c2a090
004af610	FUN_004af610
004b8920	FUN_004b8920
004c0050	FUN_004c0050
004c5fa0	FUN_004c5fa0
005029a0	FUN_005029a0
0050e540	FUN_0050e540
005b1a43	FUN_005b1a43
005b1a8d	FUN_005b1a8d
005bba94	FUN_005bba94
005e2580	FUN_005e2580
00673e10	FUN_00673e10
007122c0	FUN_007122c0
007a3bc0	FUN_007a3bc0
008410d0	FUN_008410d0
00877c40	FUN_00877c40
00999850	FUN_00999850
009e14b0	FUN_009e14b0
00b6c120	FUN_00b6c120
00c59b00	FUN_00c59b00
004c46c0	FUN_004c46c0
0051cf10	FUN_0051cf10
00567400	FUN_00567400
005bc237	FUN_005bc237
005e1420	FUN_005e1420
005e9760	FUN_005e9760
007021f0	FUN_007021f0
00770de0	FUN_00770de0
00991840	FUN_00991840
009ef900	FUN_009ef900
00a0c380	FUN_00a0c380
00ab3810	FUN_00ab3810
00c13620	FUN_00c13620
00451583	FUN_00451583
004b8e40	FUN_004b8e40
004bbf00	FUN_004bbf00
004bd390	FUN_004bd390
00567d60	FUN_00567d60
00618100	FUN_00618100
006b93d0	FUN_006b93d0
0070e8b0	FUN_0070e8b0
007ea2f0	FUN_007ea2f0
0084e810	FUN_0084e810
009bee00	FUN_009bee00
009d5f80	FUN_009d5f80
009d6490	FUN_009d6490
009e51c0	FUN_009e51c0
00bda0d0	FUN_00bda0d0
00c21620	FUN_00c21620
00414e30	FUN_00414e30
004416e0	FUN_004416e0
00492973	FUN_00492973
005003e0	FUN_005003e0
00566ea0	FUN_00566ea0
00616580	FUN_00616580
0065fba4	FUN_0065fba4
006dab90	FUN_006dab90
