004048e0	Identity_ReturnArg	autoname-t6 [medium]: returns param_1 unchanged; trivial identity/passthrough function
0042a58d	RBTreeIterator_MoveToMax_A	autoname-t6 [medium]: *param_1 = RBTree::GetMaxNode(*param_1); tree iterator advance-to-max thunk
0042a59e	RBTreeIterator_MoveToMax_B	autoname-t6 [medium]: *param_1 = RBTree::GetMaxNode(*param_1); identical iterator advance-to-max thunk
0042a5af	RBTreeIterator_MoveToMax_C	autoname-t6 [medium]: *param_1 = RBTree::GetMaxNode(*param_1); identical iterator advance-to-max thunk
0042a5c0	RBTreeIterator_MoveToMax_D	autoname-t6 [medium]: *param_1 = RBTree::GetMaxNode(*param_1); identical iterator advance-to-max thunk
0042a5d1	RBTree_Iterator_SetToMaxNode_0042a5d1	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores result back to *param_1 — rightmost-node iterator step
0042a5e2	RBTree_Iterator_SetToMaxNode_0042a5e2	autoname-t6 [medium]: identical: uVar1=RBTree__GetMaxNode(*param_1); *param_1=uVar1 — RBTree iterator to max node
004368e0	StdList_Construct_004368e0	autoname-t6 [medium]: malloc(0xc) then node->next=node->prev=node (circular sentinel), stored to *param_1 — std::list default ctor
004369e0	StdList_Construct_004369e0	autoname-t6 [medium]: identical malloc(0xc) circular self-linked sentinel node init
0043fc20	StdList_Construct_0043fc20	autoname-t6 [medium]: malloc(0x20) self-linked next/prev sentinel node — std::list ctor variant
0043fc40	StdList_Construct_0043fc40	autoname-t6 [medium]: malloc(0x18) self-linked next/prev sentinel node — std::list ctor variant
00440c90	StdList_Construct_00440c90	autoname-t6 [medium]: malloc(0x20) self-linked next/prev sentinel node — std::list ctor variant
00440cd0	StdList_Construct_00440cd0	autoname-t6 [medium]: malloc(0x18) self-linked next/prev sentinel node — std::list ctor variant
0044b950	StdList_Construct_0044b950	autoname-t6 [medium]: malloc(0xc) self-linked next/prev sentinel node — std::list ctor
0044b9f0	StdList_Construct_0044b9f0	autoname-t6 [medium]: malloc(0xc) self-linked next/prev sentinel node — std::list ctor
