00401650	?IsIOFinished@CAFile@@UBE_NXZ
00401660	?GetAlignment@CAFile@@UBEJXZ
00401670	?GetLength@CDiskFileWin32@@UBEJXZ
00401680	?IsOpen@CDiskFileWin32@@UBE_NXZ
00401690	?GetPathname@CDiskFileWin32@@UBE?AVCWideString@@XZ
00405d30	?IsOpen@CMemoryFile@@UBE_NXZ
00405fa0	?GetPosition@CDataInputStream@@UBEKXZ
004067f0	?OnPreDeviceReset@CUserProfileManager@@MAEXXZ
00406800	?OnPostDeviceReset@CUserProfileManager@@MAE_NXZ
00412050	?GetPosition@CMemoryFile@@UBEJXZ
00412060	?GetLength@CMemoryFile@@UBEJXZ
00412070	?GetPathname@CMemoryFile@@UBE?AVCWideString@@XZ
00412090	?GetFileInformation@CAFile@@UAE?AVCFileInformation@@XZ
00413700	?GetTypeAsString@CConsoleVariable@@EBE?AVCCharString@@XZ
00414f70	?GetTypeAsString@CConsoleCommandBase@@MBE?AVCCharString@@XZ
00415920	?Init@CGameComponent@@UAEXXZ
00415930	?SetQuit@CGameComponent@@MAEXXZ
00415e83	?OnPreDeviceReset@CMainGameComponent@@UAEXXZ
00416953	?PostInit@CMainGameComponent@@MAEXXZ
00416e78	?GetInputs@CMainGameComponent@@MAEXXZ
00417001	?Render@CMainGameComponent@@MAEXXZ
004175da	?OnPostDeviceReset@CMainGameComponent@@UAE_NXZ
0041799b	?ChangeTextureColourDepth@CMainGameComponent@@UAEXJ@Z
00418289	?Update@CMainGameComponent@@MAEXXZ
004184bd	?Init@CMainGameComponent@@UAEXXZ
004189c2	?Run@CMainGameComponent@@UAE_NPAPAVCGameComponent@@@Z
004197a0	?SetQuit@CMainGameComponent@@UAEXXZ
004197b0	?IsEditorActive@CMainGameComponent@@UBE_NXZ
00429a2f	?Clone@CAnimFilterNoGroup@@UBEPAVCAnimFilterBase@@XZ
0042d930	?Delete@CIVCountedPointeeBase@@UBEXXZ
0042d940	?UnloadResource@CResource@@UAE_NXZ
0042d950	?IsResourceLoaded@CResource@@UBE_NXZ
0042d960	?OnResourceLoaded@CResource@@UAEXXZ
0042d970	?CanAbortResourceLoad@CResource@@UBE_NJ@Z
0042d980	?OnResourceLoadAborted@CResource@@UAEXXZ
0042da10	?GetInstantiationName@CDefClassBase@@UBE?AVCDefString@@XZ
0042da20	?SetInstantiationName@CDefClassBase@@UAEXVCDefString@@@Z
0042da30	?AddSubDef@CDefClassBase@@UAEXABVCCharString@@JJ@Z
0042da40	?RemoveSubDef@CDefClassBase@@UAEXABVCCharString@@@Z
0042da50	?GetPSubDefInfo@CDefClassBase@@UAEPAVCSubDefInfo@1@ABVCCharString@@@Z
0042da60	?GetPSubDefInfo@CDefClassBase@@UBEPBVCSubDefInfo@1@ABVCCharString@@@Z
0042da70	?IsParentDef@CDefClassBase@@UBE_NXZ
0042da80	?PostTransfer@CDefClassBase@@UAEXXZ
0042da90	?Validate@CDefClassBase@@UBEXABVCValidateDefinitionInitBase@@ABVCCharString@@@Z
0042daa0	?GetPSubDefInfoMap@CDefClassBase@@UAEPAV?$CVectorMap@KVCSubDefInfo@CDefClassBase@@V?$CKeyPairCompareLess@KVCSubDefInfo@CDefClassBase@@@@@@XZ
0042dc5c	?ChangeTextureColourDepth@CNewFrontendGameComponent@@UAEXJ@Z
0042dc5f	?OnPreDeviceReset@CNewFrontendGameComponent@@UAEXXZ
0042dc60	?OnPostDeviceReset@CNewFrontendGameComponent@@UAE_NXZ
0042ec7c	?Run@CNewFrontendGameComponent@@UAE_NPAPAVCGameComponent@@@Z
0042f75e	?Init@CNewFrontendGameComponent@@UAEXXZ
00430340	?SetQuit@CNewFrontendGameComponent@@UAEXXZ
004303b0	?GetInstantiationName@CParentDefClassBase@@UBE?AVCDefString@@XZ
004303c0	?SetInstantiationName@CParentDefClassBase@@UAEXVCDefString@@@Z
004303d0	?IsParentDef@CParentDefClassBase@@UBE_NXZ
004303e0	?GetPSubDefInfoMap@CParentDefClassBase@@UAEPAV?$CVectorMap@KVCSubDefInfo@CDefClassBase@@V?$CKeyPairCompareLess@KVCSubDefInfo@CDefClassBase@@@@@@XZ
00430470	?GetSizeofClass@CControlsDef@@UAEKXZ
00431e30	?GetSizeofClass@CFrontEndDef@@UAEKXZ
00431e70	?Copy@CControlsDef@@UAEXPBVCDefClassBase@@@Z
00432e50	?Copy@CFrontEndDef@@UAEXPBVCDefClassBase@@@Z
004330f0	?Transfer@CControlsDef@@UAEXAAVCPersistContext@@@Z
004331c0	?Transfer@CFrontEndDef@@UAEXAAVCPersistContext@@@Z
0043368b	?InitAndCompile@CStartupDefinitionManager@@UAEXXZ
00433fd0	?GetSizeofClass@CEngineDef@@UAEKXZ
00433fe0	?Transfer@CEngineDef@@UAEXAAVCPersistContext@@@Z
00434110	?GetSizeofClass@CEngineVideoOptionsDef@@UAEKXZ
00434120	?Transfer@CEngineVideoOptionsDef@@UAEXAAVCPersistContext@@@Z
00434280	?GetSizeofClass@CConfigOptionsDefaultsDef@@UAEKXZ
00434290	?Transfer@CConfigOptionsDefaultsDef@@UAEXAAVCPersistContext@@@Z
00434360	?Copy@CEngineDef@@UAEXPBVCDefClassBase@@@Z
00434440	?Copy@CEngineVideoOptionsDef@@UAEXPBVCDefClassBase@@@Z
00434590	?Copy@CConfigOptionsDefaultsDef@@UAEXPBVCDefClassBase@@@Z
00435190	?InitEngine@CDisplayEngine@@MAE_NXZ
004354a0	?UninitEngine@CDisplayEngine@@MAEXXZ
00445620	?GetType@CInputTypeXboxPadButtonEvent@@UBE?AW4EInputType@NControlSystem@@XZ
00445630	?IsInputTypeWithButton@CInputTypeXboxPadButtonEvent@@UBE_NW4EXboxControllerButton@@@Z
00445650	?IsInputTypeWithMouseButton@CInputTypeXboxPadButtonEvent@@UBE_NW4EMouseButtonControl@@@Z
00445670	?GetType@CInputTypeXboxPadLeftStickEvent@@UBE?AW4EInputType@NControlSystem@@XZ
00445680	?IsInputTypeWithButton@CInputTypeXboxPadLeftStickEvent@@UBE_NW4EXboxControllerButton@@@Z
00445690	?IsInputTypeWithMouseButton@CInputTypeXboxPadLeftStickEvent@@UBE_NW4EMouseButtonControl@@@Z
004456b0	?GetType@CInputTypeXboxPadRightStickEvent@@UBE?AW4EInputType@NControlSystem@@XZ
004456c0	?IsInputTypeWithButton@CInputTypeXboxPadRightStickEvent@@UBE_NW4EXboxControllerButton@@@Z
004456d0	?IsInputTypeWithMouseButton@CInputTypeXboxPadRightStickEvent@@UBE_NW4EMouseButtonControl@@@Z
004456f0	?GetType@CInputTypeMouseMovementEvent@@UBE?AW4EInputType@NControlSystem@@XZ
00445700	?IsInputTypeWithButton@CInputTypeMouseMovementEvent@@UBE_NW4EXboxControllerButton@@@Z
00445710	?IsInputTypeWithMouseButton@CInputTypeMouseMovementEvent@@UBE_NW4EMouseButtonControl@@@Z
00445730	?GetType@CInputTypeMouseWheelMovementEvent@@UBE?AW4EInputType@NControlSystem@@XZ
00445740	?IsInputTypeWithButton@CInputTypeMouseWheelMovementEvent@@UBE_NW4EXboxControllerButton@@@Z
00445750	?IsInputTypeWithMouseButton@CInputTypeMouseWheelMovementEvent@@UBE_NW4EMouseButtonControl@@@Z
00445770	?GetType@CInputTypeMouseWheelMovementUpEvent@@UBE?AW4EInputType@NControlSystem@@XZ
00445780	?IsInputTypeWithButton@CInputTypeMouseWheelMovementUpEvent@@UBE_NW4EXboxControllerButton@@@Z
00445790	?IsInputTypeWithMouseButton@CInputTypeMouseWheelMovementUpEvent@@UBE_NW4EMouseButtonControl@@@Z
004457b0	?GetType@CInputTypeMouseWheelMovementDownEvent@@UBE?AW4EInputType@NControlSystem@@XZ
004457c0	?IsInputTypeWithButton@CInputTypeMouseWheelMovementDownEvent@@UBE_NW4EXboxControllerButton@@@Z
004457d0	?IsInputTypeWithMouseButton@CInputTypeMouseWheelMovementDownEvent@@UBE_NW4EMouseButtonControl@@@Z
00446a30	?GetGameEvent@CGamePlayerInterface@@UBE_NAAVCGameEvent@@@Z
004479f0	?GetType@CInputTypeKeyboardKeyEvent@@UBE?AW4EInputType@NControlSystem@@XZ
00447a00	?IsInputTypeWithButton@CInputTypeKeyboardKeyEvent@@UBE_NW4EXboxControllerButton@@@Z
00447a10	?IsInputTypeWithMouseButton@CInputTypeKeyboardKeyEvent@@UBE_NW4EMouseButtonControl@@@Z
0044c12f	?GetSizeofClass@CInventoryItemDef@@UAEKXZ
0044c158	?GetSizeofClass@CPhysicsDef@@UAEKXZ
0044c1cd	?GetSizeofClass@CTCNoiseDef@@UAEKXZ
0044c1f6	?GetSizeofClass@CCarrySlotDef@@UAEKXZ
0044c229	?GetSizeofClass@CSmashableDef@@UAEKXZ
0044c269	?GetSizeofClass@CActionUseDef@@UAEKXZ
0044c2e2	?GetSizeofClass@CHeroMarriageDef@@UAEKXZ
0044c313	?GetSizeofClass@CSpecialAbilitiesDrainLifeDataDef@@UAEKXZ
0044c329	?GetSizeofClass@CSpecialAbilitiesForcePushDataDef@@UAEKXZ
0044c33f	?GetSizeofClass@CCreatureStatsDef@@UAEKXZ
0044c364	?GetSizeofClass@CCoopSpiritDef@@UAEKXZ
0044c37a	?GetSizeofClass@CContextSensitiveItemDef@@UAEKXZ
0044c390	?GetSizeofClass@CBonusItemDef@@UAEKXZ
0044c3a6	?GetSizeofClass@CHeroTitleDef@@UAEKXZ
0044c3d4	?GetSizeofClass@CTattooDef@@UAEKXZ
0044c3ea	?GetSizeofClass@CHairCardDef@@UAEKXZ
0044c41e	?TransferBinaryOut@CCombatAbilityData@@UBEXAAVCDataOutputStream@@ABV1@@Z
0044c45b	?GetCombatAbilityDataType@CCombatAbilityData@@UBE?AW4ECombatAbilityDataType@@XZ
0044c4a0	?GetCombatAbilityDataType@CCombatAbilityMeleeAttackData@@UBE?AW4ECombatAbilityDataType@@XZ
0044c4ca	?GetCombatAbilityDataType@CCombatAbilityStrafingData@@UBE?AW4ECombatAbilityDataType@@XZ
