# Retail Fable.exe video subsystem, cross-checked against Ego_r.pdb and code behavior.
00547b90	CMovie::FreeTextures
00547bc0	CMovie::RestoreEngineBuffers
00547bd0	CMovie::Initialise
00547be0	CMovie::GetSize
00547c10	CMovie::GetDataFromDef
00547c90	CMovie::ChangeState
00547e40	CMovie::Update
00547f60	CMovie::Draw
005482d0	CMovie::CMovie
00548350	CMovie::CopyConstructor
005483c0	CMovie::~CMovie
00548510	CMovie::SetMovie
00548520	CMovie::IsPlaying
00a3b0f0	CVideoSys::WaitForState
00a3b130	CVideoSys::Play
00a3b1a0	CVideoSys::AttemptToPlay
00a3b1c0	CVideoSys::Pause
00a3b1f0	CVideoSys::Stop
00a3b220	CVideoSys::GetLength
00a3b260	CVideoSys::GetCurTime
00a3b2a0	CVideoSys::GetProgress
00a3b320	CVideoSys::GetTexture
00a3b330	CVideoSys::IsFinished
00a3b380	CVideoSys::Close
00a3b430	CVideoSys::Process
00a3b4a0	CVideoSys::TogglePause
00a3b510	CTextureRenderer::CTextureRenderer
00a3b590	CTextureRenderer::CheckMediaType
00a3b5f0	CTextureRenderer::SetMediaType
00a3b730	CTextureRenderer::DoRenderSample
00a3b920	CVideoSys::SetVolume
00a3b970	CTextureRenderer::~CTextureRenderer
00a3b9d0	CVideoSys::Init
00a3bc20	CVideoSys::~CVideoSys
00a3bc70	CVideoSys::CVideoSys
