0204b6e0	CEditWorldMap__SetSaveToBackupFiles
0207fed0	CEditWorldMap__LoadSingleLevelFromFiles
028c02b0	CEditLevelMerger__SetLogText
028c02d0	CEditLevelMerger__SetOurText
028c02f0	CEditLevelMerger__SetTheirText
028c0430	CEditLevelMerger__GetConflicts
028c16b0	CEditLevelMerger__4CConflict
028c1710	CEditLevelMerger__4CThingText
028c1800	CEditLevelMerger___GCConflict
028c1840	CEditLevelMerger__1CConflict
028c18a0	CEditLevelMerger__1CThingText
0296a6d0	CEditWorldMap__PostRegionLoad
0296ade0	CEditWorldMap__AddLevelFromFileWithUID
0296b5e0	CEditWorldMap__SaveToFile
0296b850	CEditWorldMap__EditSaveRegionsToString
0296d140	CEditWorldMap__LoadFromFile
0296d2d0	CEditWorldMap__CreateAndSaveNewLevel
0296d920	CEditWorldMap__CreateNewRegion
0296e150	CEditWorldMap__SaveSingleLevel
0296e8b0	CEditWorldMap__SaveSingleLevelToFiles
0296f070	CEditWorldMap__EditLoadLevel
0296f740	CEditWorldMap__ReloadMap
0296f8e0	CEditWorldMap__LoadTopologyFromFile
02972930	CEditWorldMap__AddNavNodeToHistory
0297d860	CEditWorldMap__PostLoadTopology
0297d8d0	CEditWorldMap__GetLoadableSections
02b25920	CEditLevelMerger__ResolveNextFile
02b26910	CEditLevelMerger__LoadLevFile
02b26ad0	CEditLevelMerger__CopyFileOnFile
02b26c00	CEditLevelMerger__CreateFileNames
02b27470	CEditLevelMerger__InitResolve
02b274b0	CEditLevelMerger__ParseTngFile
02b27d00	CEditLevelMerger__0CThingText
02b27e80	CEditLevelMerger__Resolve
02b290b0	CEditLevelMerger__0CConflict
02b291c0	CEditLevelMerger__MakeIDReplacementsForOurs
02b29650	CEditLevelMerger__ConflictsResolved
02b299d0	CEditLevelMerger__LoadMapIntoMemory
02b29a90	CEditLevelMerger__Finito
02b2f4a0	CEditLevelMerger__0AA_KAAVCThingText
02b2f7f0	CEditLevelMerger__0VCConflict
02b2f8c0	CEditLevelMerger__0W4CameFrom
02b30ab0	CEditLevelMerger__0AA_KAAVCThingText
02b31580	CEditLevelMerger__0CThingText
02b31620	CEditLevelMerger__0CConflict
02b32560	CEditLevelMerger__0_KVCThingText
02b325d0	CEditLevelMerger__0_KVCThingText
02b32840	CEditLevelMerger__0_KVCThingText
02b32890	CEditLevelMerger__0AB_KAAVCThingText
02b328e0	CEditLevelMerger__0AA_KAAVCThingText
