#address	name	default_name	body_size	instruction_count	strict_signature	loose_signature
00401005	WinMain	0	5	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401010	WinMain	0	9	5	7bb8bf136dcc9c59	7bb8bf136dcc9c59
00401020	pre_c_init	0	138	35	664d92c4bff11ecf	664d92c4bff11ecf
004010b0	pre_cpp_init	0	90	24	0dcc3ffde1edda9a	0dcc3ffde1edda9a
00401110	WinMainCRTStartup	0	17	7	693bca31e60a1e58	693bca31e60a1e58
00401130	__tmainCRTStartup	0	681	195	f84722d0ff96ecf9	f84722d0ff96ecf9
00401430	NtCurrentTeb	0	13	6	d54a28c36c445132	d54a28c36c445132
00401440	check_managed_app	0	110	38	3895f5337911ea67	0173d348c31b5117
004014b0	__CxxUnhandledExceptionFilter	0	96	31	5cc0f36bac7a85e7	78104c9db9b5e20e
00401520	__CxxSetUnhandledExceptionFilter	0	20	8	99c1521562a25001	99c1521562a25001
00401534	configthreadlocale	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401540	_setdefaultprecision	0	55	18	b9a8922e386eb954	cf1110b9df59a823
00401580	_invoke_watson_if_error	0	40	19	292fd2ae0f8b4012	292fd2ae0f8b4012
004015a8	___setusermatherr	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
004015b0	_matherr	0	9	6	b450339b340a0a7d	b450339b340a0a7d
004015c0	_setargv	0	9	6	b450339b340a0a7d	b450339b340a0a7d
004015d0	_RTC_Initialize	0	38	15	d49e6690ed74e873	d49e6690ed74e873
00401600	_RTC_Terminate	0	38	15	d49e6690ed74e873	d49e6690ed74e873
00401630	_onexit	0	211	63	00dd73aa91260263	00dd73aa91260263
00401703	FUN_00401703	1	11	4	b04e6cb11e727de3	b04e6cb11e727de3
0040170e	FUN_0040170e	1	21	10	13ff4ee1ff751a45	13ff4ee1ff751a45
00401730	atexit	0	28	13	878f923772a49326	878f923772a49326
0040174c	___set_app_type	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401752	amsg_exit	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401758	___getmainargs	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401760	__security_init_cookie	0	224	61	f39fa1b4e0a8eea0	b99062d60a5c2806
00401840	exit	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401846	__XcptFilter	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
0040184c	cexit	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401852	exit	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401858	ismbblead	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
0040185e	__CrtSetCheckCount	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401870	_ValidateImageBase	0	95	34	37aa96e522a1f55f	062b0a4fdc043710
004018d0	_FindPESection	0	117	42	2f431c79efd233d6	2f431c79efd233d6
00401950	_IsNonwritableInCurrentImage	0	210	66	e939a4af9d5b582f	87c60ca084d67c94
00401a62	__CrtDbgReportW	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401a68	initterm	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401a6e	initterm_e	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401a80	_except_handler4	0	41	17	3b3fd725b9c82541	3b3fd725b9c82541
00401aaa	terminate	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401ab0	controlfp_s	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401ab6	invoke_watson	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401abc	unlock	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401ac2	___dllonexit	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401ac8	lock	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401ace	except_handler4_common	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401ae0	__security_check_cookie	0	15	4	a070a53a140c0f33	a070a53a140c0f33
00401af0	__report_gsfailure	0	270	55	f144da7a6fa07c0b	98f09cc05cad634d
00401bfe	crt_debugger_hook	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401c04	_EncodePointer@4	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401c0a	_InterlockedExchange@8	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401c10	_Sleep@4	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401c16	_InterlockedCompareExchange@12	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401c1c	_HeapSetInformation@16	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
00401c22	_GetStartupInfoW@4	0	6	1	f448c9f6d17c6e3f	f448c9f6d17c6e3f
