address	current_name	confidence	address_suffixed	category	comment
004159a0	InitFlags_Field4_26	low	0	initializer-destructor	autoname-t6 [low]: sets byte this+4=0xff and this+0x26=0; small field initializer, no context
0042a5d1	RBTree_Iterator_SetToMaxNode_0042a5d1	medium	1	container-template	autoname-t6 [medium]: calls RBTree::GetMaxNode(*param_1) and stores result back to *param_1 — rightmost-node iterator step
0042a5e2	RBTree_Iterator_SetToMaxNode_0042a5e2	medium	1	container-template	autoname-t6 [medium]: identical: uVar1=RBTree__GetMaxNode(*param_1); *param_1=uVar1 — RBTree iterator to max node
0042d9d0	Field_SetToMinusOne	low	0	field-accessor	autoname-t6 [low]: single store *param_1 = 0xffffffff, no other context
0043368c	Stub_ReturnVoid_0043368c	low	1	thunk-stub-wrapper	autoname-t6 [low]: 1-byte function, empty body, just returns
004368e0	StdList_Construct_004368e0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) then node->next=node->prev=node (circular sentinel), stored to *param_1 — std::list default ctor
004369e0	StdList_Construct_004369e0	medium	1	container-template	autoname-t6 [medium]: identical malloc(0xc) circular self-linked sentinel node init
0043fc20	StdList_Construct_0043fc20	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x20) self-linked next/prev sentinel node — std::list ctor variant
0043fc40	StdList_Construct_0043fc40	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x18) self-linked next/prev sentinel node — std::list ctor variant
00440c90	StdList_Construct_00440c90	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x20) self-linked next/prev sentinel node — std::list ctor variant
00440cd0	StdList_Construct_00440cd0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x18) self-linked next/prev sentinel node — std::list ctor variant
0044b950	StdList_Construct_0044b950	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked next/prev sentinel node — std::list ctor
0044b9f0	StdList_Construct_0044b9f0	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0xc) self-linked next/prev sentinel node — std::list ctor
0044c6af	Stub_ReturnVoid_0044c6af	low	1	thunk-stub-wrapper	autoname-t6 [low]: 1-byte function, empty body, just returns
004c5c40	StdList_Construct_004c5c40	medium	1	initializer-destructor	autoname-t6 [medium]: malloc(0x18) self-linked next/prev sentinel node — std::list ctor
004c6680	Object_AllocAndStorePtr_004c6680	low	1	allocator-wrapper	autoname-t6 [low]: malloc(0x1c) stored to *param_1 with no field init
