address	current_name	category	disposition	proposed_name	rationale
004159a0	InitFlags_Field4_26	initializer-destructor	donor-proposal-review	??0CGameEvent@@QAE@XZ	unique strict donor signature; proposal not yet applied
0042a5d1	RBTree_Iterator_SetToMaxNode_0042a5d1	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0042a5e2	RBTree_Iterator_SetToMaxNode_0042a5e2	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0042d9d0	Field_SetToMinusOne	field-accessor	donor-proposal-review	??0CDefString@@QAE@XZ	unique strict donor signature; proposal not yet applied
0043368c	Stub_ReturnVoid_0043368c	thunk-stub-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
004368e0	StdList_Construct_004368e0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
004369e0	StdList_Construct_004369e0	container-template	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0043fc20	StdList_Construct_0043fc20	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0043fc40	StdList_Construct_0043fc40	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00440c90	StdList_Construct_00440c90	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
00440cd0	StdList_Construct_00440cd0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0044b950	StdList_Construct_0044b950	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0044b9f0	StdList_Construct_0044b9f0	initializer-destructor	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
0044c6af	Stub_ReturnVoid_0044c6af	thunk-stub-wrapper	accepted-reconstruction-family		stable descriptive family label; original template/deleting-helper identity remains unknown
