address	current_name	reason	category
0042a5d1	RBTree_Iterator_SetToMaxNode_0042a5d1	ambiguous-or-no-donor-match	container-template
0042a5e2	RBTree_Iterator_SetToMaxNode_0042a5e2	ambiguous-or-no-donor-match	container-template
0043368c	Stub_ReturnVoid_0043368c	ambiguous-or-no-donor-match	thunk-stub-wrapper
004368e0	StdList_Construct_004368e0	ambiguous-or-no-donor-match	initializer-destructor
004369e0	StdList_Construct_004369e0	ambiguous-or-no-donor-match	container-template
0043fc20	StdList_Construct_0043fc20	ambiguous-or-no-donor-match	initializer-destructor
0043fc40	StdList_Construct_0043fc40	ambiguous-or-no-donor-match	initializer-destructor
00440c90	StdList_Construct_00440c90	ambiguous-or-no-donor-match	initializer-destructor
00440cd0	StdList_Construct_00440cd0	ambiguous-or-no-donor-match	initializer-destructor
0044b950	StdList_Construct_0044b950	ambiguous-or-no-donor-match	initializer-destructor
0044b9f0	StdList_Construct_0044b9f0	ambiguous-or-no-donor-match	initializer-destructor
0044c6af	Stub_ReturnVoid_0044c6af	ambiguous-or-no-donor-match	thunk-stub-wrapper
004c5c40	StdList_Construct_004c5c40	ambiguous-or-no-donor-match	initializer-destructor
004c6680	Object_AllocAndStorePtr_004c6680	ambiguous-or-no-donor-match	allocator-wrapper
004c67d0	StdTree_Construct_004c67d0	ambiguous-or-no-donor-match	initializer-destructor
004c6af0	StdTree_Construct_004c6af0	ambiguous-or-no-donor-match	initializer-destructor
004c72a0	Stub_ReturnVoid_004c72a0	ambiguous-or-no-donor-match	thunk-stub-wrapper
004cc200	StdList_Construct_004cc200	ambiguous-or-no-donor-match	initializer-destructor
004cc260	StdList_Construct_004cc260	ambiguous-or-no-donor-match	initializer-destructor
004cc800	StdList_Construct_004cc800	ambiguous-or-no-donor-match	initializer-destructor
004ccc10	StdList_Construct_004ccc10	ambiguous-or-no-donor-match	initializer-destructor
004fe7f0	CollectSoundThemeSwitchDefs	ambiguous-or-no-donor-match	field-accessor
00507070	RebuildStringPairTableFromTree	ambiguous-or-no-donor-match	initializer-destructor
005159a0	StdTree_Construct_005159a0	ambiguous-or-no-donor-match	initializer-destructor
00516e80	StdList_Construct_00516e80	ambiguous-or-no-donor-match	initializer-destructor
00517810	StdTree_Construct_00517810	ambiguous-or-no-donor-match	initializer-destructor
0051a040	StdTree_Construct_0051a040	ambiguous-or-no-donor-match	initializer-destructor
005283a0	StdList_Construct_005283a0	ambiguous-or-no-donor-match	initializer-destructor
00528410	Object_AllocAndStorePtr_00528410	ambiguous-or-no-donor-match	allocator-wrapper
00528480	Object_AllocAndStorePtr_00528480	ambiguous-or-no-donor-match	allocator-wrapper
005284b0	Object_AllocAndStorePtr_005284b0	ambiguous-or-no-donor-match	allocator-wrapper
00528520	Object_AllocAndStorePtr_00528520	ambiguous-or-no-donor-match	allocator-wrapper
00528590	Object_AllocAndStorePtr_00528590	ambiguous-or-no-donor-match	allocator-wrapper
00528c20	StdList_Construct_00528c20	ambiguous-or-no-donor-match	initializer-destructor
00528c60	StdTree_Construct_00528c60	ambiguous-or-no-donor-match	initializer-destructor
00528cf0	StdTree_Construct_00528cf0	ambiguous-or-no-donor-match	initializer-destructor
00528d80	StdTree_Construct_00528d80	ambiguous-or-no-donor-match	initializer-destructor
00528dc0	StdTree_Construct_00528dc0	ambiguous-or-no-donor-match	initializer-destructor
00528e50	StdTree_Construct_00528e50	ambiguous-or-no-donor-match	initializer-destructor
005297a0	Stub_ReturnZero	ambiguous-or-no-donor-match	thunk-stub-wrapper
00553490	Object_AllocAndStorePtr_00553490	ambiguous-or-no-donor-match	allocator-wrapper
00566b70	Object_AllocAndStorePtr_00566b70	ambiguous-or-no-donor-match	allocator-wrapper
00566be0	Object_AllocAndStorePtr_00566be0	ambiguous-or-no-donor-match	allocator-wrapper
00566ca0	Object_AllocAndStorePtr_00566ca0	ambiguous-or-no-donor-match	allocator-wrapper
0056a580	StdTree_Construct_0056a580	ambiguous-or-no-donor-match	initializer-destructor
0056cf70	Object_AllocAndStorePtr_0056cf70	ambiguous-or-no-donor-match	allocator-wrapper
0056cfa0	Object_AllocAndStorePtr_0056cfa0	ambiguous-or-no-donor-match	allocator-wrapper
0056d010	Object_AllocAndStorePtr_0056d010	ambiguous-or-no-donor-match	allocator-wrapper
0056d2c0	StdTree_Construct_0056d2c0	ambiguous-or-no-donor-match	initializer-destructor
0056d350	StdTree_Construct_0056d350	ambiguous-or-no-donor-match	initializer-destructor
0056d390	StdTree_Construct_0056d390	ambiguous-or-no-donor-match	initializer-destructor
0056ddc0	StdTree_Construct_0056ddc0	ambiguous-or-no-donor-match	initializer-destructor
0059adcd	RBTree_Iterator_SetToMaxNode_0059adcd	ambiguous-or-no-donor-match	container-template
005b198d	RBTree_Iterator_SetToMaxNode_005b198d	ambiguous-or-no-donor-match	container-template
005b199e	RBTree_Iterator_SetToMaxNode_005b199e	ambiguous-or-no-donor-match	container-template
005b19af	RBTree_Iterator_SetToMaxNode_005b19af	ambiguous-or-no-donor-match	container-template
005b19c0	RBTree_Iterator_SetToMaxNode_005b19c0	ambiguous-or-no-donor-match	container-template
005ba88b	RBTree_Iterator_SetToMaxNode_005ba88b	ambiguous-or-no-donor-match	container-template
005ba89c	RBTree_Iterator_SetToMaxNode_005ba89c	ambiguous-or-no-donor-match	container-template
005ba8ad	RBTree_Iterator_SetToMaxNode_005ba8ad	ambiguous-or-no-donor-match	container-template
005ba8be	RBTree_Iterator_SetToMaxNode_005ba8be	ambiguous-or-no-donor-match	container-template
005cbfe9	RBTree_Iterator_SetToMaxNode_005cbfe9	ambiguous-or-no-donor-match	container-template
005d839d	RBTree_Iterator_SetToMaxNode_005d839d	ambiguous-or-no-donor-match	container-template
005e0200	Object_AllocAndStorePtr_005e0200	ambiguous-or-no-donor-match	allocator-wrapper
005e0b00	StdTree_Construct_005e0b00	ambiguous-or-no-donor-match	initializer-destructor
005e3080	StdTree_Construct_005e3080	ambiguous-or-no-donor-match	initializer-destructor
005e8e50	Object_AllocAndStorePtr_005e8e50	ambiguous-or-no-donor-match	allocator-wrapper
005e8ff0	StdTree_Construct_005e8ff0	ambiguous-or-no-donor-match	initializer-destructor
005e9320	StdTree_Construct_005e9320	ambiguous-or-no-donor-match	initializer-destructor
005f82d9	RBTree_Iterator_SetToMaxNode_005f82d9	ambiguous-or-no-donor-match	container-template
005f82ea	RBTree_Iterator_SetToMaxNode_005f82ea	ambiguous-or-no-donor-match	container-template
005f8944	StdList_Construct_005f8944	ambiguous-or-no-donor-match	initializer-destructor
