address	category	current	proposed
00401650	agree	?IsIOFinished@CAFile@@UBE_NXZ	?IsIOFinished@CAFile@@UBE_NXZ
00401660	agree	?GetAlignment@CAFile@@UBEJXZ	?GetAlignment@CAFile@@UBEJXZ
00401670	agree	?GetLength@CDiskFileWin32@@UBEJXZ	?GetLength@CDiskFileWin32@@UBEJXZ
00401680	agree	?IsOpen@CDiskFileWin32@@UBE_NXZ	?IsOpen@CDiskFileWin32@@UBE_NXZ
00401690	disagree	GetBankHandle	?GetPathname@CDiskFileWin32@@UBE?AVCWideString@@XZ
00405d30	agree	?IsOpen@CMemoryFile@@UBE_NXZ	?IsOpen@CMemoryFile@@UBE_NXZ
00405fa0	agree	?GetPosition@CDataInputStream@@UBEKXZ	?GetPosition@CDataInputStream@@UBEKXZ
004067f0	agree	?OnPreDeviceReset@CUserProfileManager@@MAEXXZ	?OnPreDeviceReset@CUserProfileManager@@MAEXXZ
00406800	agree	?OnPostDeviceReset@CUserProfileManager@@MAE_NXZ	?OnPostDeviceReset@CUserProfileManager@@MAE_NXZ
00412050	agree	?GetPosition@CMemoryFile@@UBEJXZ	?GetPosition@CMemoryFile@@UBEJXZ
00412060	agree	?GetLength@CMemoryFile@@UBEJXZ	?GetLength@CMemoryFile@@UBEJXZ
00412070	disagree	GetBankHandle	?GetPathname@CMemoryFile@@UBE?AVCWideString@@XZ
00412090	disagree	CPersistContextReadSection	?GetFileInformation@CAFile@@UAE?AVCFileInformation@@XZ
00413700	disagree	GetActionName	?GetTypeAsString@CConsoleVariable@@EBE?AVCCharString@@XZ
00414f70	disagree	GetActionName	?GetTypeAsString@CConsoleCommandBase@@MBE?AVCCharString@@XZ
00415920	agree	?Init@CGameComponent@@UAEXXZ	?Init@CGameComponent@@UAEXXZ
00415930	agree	?SetQuit@CGameComponent@@MAEXXZ	?SetQuit@CGameComponent@@MAEXXZ
00415e83	agree	?OnPreDeviceReset@CMainGameComponent@@UAEXXZ	?OnPreDeviceReset@CMainGameComponent@@UAEXXZ
00416953	disagree	PostInit	?PostInit@CMainGameComponent@@MAEXXZ
00416e78	disagree	GetInputs	?GetInputs@CMainGameComponent@@MAEXXZ
00417001	disagree	Render	?Render@CMainGameComponent@@MAEXXZ
004175da	agree	?OnPostDeviceReset@CMainGameComponent@@UAE_NXZ	?OnPostDeviceReset@CMainGameComponent@@UAE_NXZ
0041799b	disagree	ChangeTextureColourDepth	?ChangeTextureColourDepth@CMainGameComponent@@UAEXJ@Z
00418289	disagree	Update	?Update@CMainGameComponent@@MAEXXZ
004184bd	disagree	Init	?Init@CMainGameComponent@@UAEXXZ
004189c2	disagree	Run	?Run@CMainGameComponent@@UAE_NPAPAVCGameComponent@@@Z
004197a0	agree	?SetQuit@CMainGameComponent@@UAEXXZ	?SetQuit@CMainGameComponent@@UAEXXZ
004197b0	agree	?IsEditorActive@CMainGameComponent@@UBE_NXZ	?IsEditorActive@CMainGameComponent@@UBE_NXZ
00429a2f	agree	?Clone@CAnimFilterNoGroup@@UBEPAVCAnimFilterBase@@XZ	?Clone@CAnimFilterNoGroup@@UBEPAVCAnimFilterBase@@XZ
0042d930	disagree	DeleteData	?Delete@CIVCountedPointeeBase@@UBEXXZ
0042d940	agree	?UnloadResource@CResource@@UAE_NXZ	?UnloadResource@CResource@@UAE_NXZ
0042d950	agree	?IsResourceLoaded@CResource@@UBE_NXZ	?IsResourceLoaded@CResource@@UBE_NXZ
0042d960	agree	?OnResourceLoaded@CResource@@UAEXXZ	?OnResourceLoaded@CResource@@UAEXXZ
0042d970	agree	?CanAbortResourceLoad@CResource@@UBE_NJ@Z	?CanAbortResourceLoad@CResource@@UBE_NJ@Z
0042d980	agree	?OnResourceLoadAborted@CResource@@UAEXXZ	?OnResourceLoadAborted@CResource@@UAEXXZ
0042da10	agree	?GetInstantiationName@CDefClassBase@@UBE?AVCDefString@@XZ	?GetInstantiationName@CDefClassBase@@UBE?AVCDefString@@XZ
0042da20	agree	?SetInstantiationName@CDefClassBase@@UAEXVCDefString@@@Z	?SetInstantiationName@CDefClassBase@@UAEXVCDefString@@@Z
0042da30	agree	?AddSubDef@CDefClassBase@@UAEXABVCCharString@@JJ@Z	?AddSubDef@CDefClassBase@@UAEXABVCCharString@@JJ@Z
0042da40	agree	?RemoveSubDef@CDefClassBase@@UAEXABVCCharString@@@Z	?RemoveSubDef@CDefClassBase@@UAEXABVCCharString@@@Z
0042da50	agree	?GetPSubDefInfo@CDefClassBase@@UAEPAVCSubDefInfo@1@ABVCCharString@@@Z	?GetPSubDefInfo@CDefClassBase@@UAEPAVCSubDefInfo@1@ABVCCharString@@@Z
