01fb3ed0	CThingCreatureDef
01fd5340	CThingBaseDef
0191da25	CThingGroupDef
0191d65d	CThingVillageDef
0193430c	CSoundThemeDef
01938cb5	CCameraModeDef
019356a2	CHeroAbilityDef
0191e286	CEngineThemeGroupDef
01931245	CMessageEventDef
0193b908	COpinionReactionMaskDef
0191f2c8	CPlayerInventoryDef
01930fa6	CPhysicsDef
0193b28d	CTargetingDef
01ba53c5	CWeaponDef
0194b0a7	CContextSensitiveItemDef
01bc19e6	CHasNameDef
01b9d4f0	CBuyableHouseDef
01ba75db	CShopDef
01b9fdea	CPerceivedThingDef
01baeb46	CSummonableCreatureDef
0194e7ff	CAugmentationDef
01bb53d1	CTavernGameDef
01bb83a2	CDecapitationDef
01bac1fc	CShipDef
01ba72ce	CShopItemDef
01fea8a0	CDegradableDef
01bc0388	CBettingDef
0191c3df	CThingObjectDef
0191ca19	CThingBuildingDef
0194dc17	CCombatSequenceDef
