vtable_base	offset	slot_address	target_address	name	mangled	manifest_name	forge_scope
01238c8c	0x0	01238c8c	004ab170	scalar_deleting_destructor	`scalar_deleting_destructor'	`scalar_deleting_destructor'	
01238c8c	0x4	01238c90	004aa8b0	GetName	?GetName@CScriptThing@@UBEABVCCharString@@XZ	?GetName@CScriptThing@@UBEABVCCharString@@XZ	
01238c8c	0x8	01238c94	004aa8d0	GetDefName	?GetDefName@CScriptThing@@UBE?AVCCharString@@XZ	?GetDefName@CScriptThing@@UBE?AVCCharString@@XZ	Entity
01238c8c	0xc	01238c98	004aa900	GetDataString	?GetDataString@CScriptThing@@UBE?AVCCharString@@XZ	?GetDataString@CScriptThing@@UBE?AVCCharString@@XZ	Entity
01238c8c	0x10	01238c9c	004aa930	SetDataString	?SetDataString@CScriptThing@@UAEXABVCCharString@@@Z	?SetDataString@CScriptThing@@UAEXABVCCharString@@@Z	
01238c8c	0x14	01238ca0	004aa940	GetFocalPos	?GetFocalPos@CScriptThing@@UBE?AVC3DVector@@XZ	CScriptThing::GetFocalPos	
01238c8c	0x18	01238ca4	004aa980	GetPos	?GetPos@CScriptThing@@UBEABVC3DVector@@XZ	?GetPos@CScriptThing@@UBEABVC3DVector@@XZ	Entity
01238c8c	0x1c	01238ca8	004aa9a0	GetHomePos	?GetHomePos@CScriptThing@@UBE?AVC3DVector@@XZ	?GetHomePos@CScriptThing@@UBE?AVC3DVector@@XZ	Entity
01238c8c	0x20	01238cac	004aa9e0	GetCurrentMapName	?GetCurrentMapName@CScriptThing@@UBE?AVCCharString@@XZ	CScriptThing::GetCurrentMapName	Entity
01238c8c	0x24	01238cb0	004aaa10	GetHomeMapName	?GetHomeMapName@CScriptThing@@UBE?AVCCharString@@XZ	CScriptThing::GetHomeMapName	Entity
01238c8c	0x28	01238cb4	004aaa40	GetAngleXY	?GetAngleXY@CScriptThing@@UBEMXZ	?GetAngleXY@CScriptThing@@UBEMXZ	Entity
01238c8c	0x2c	01238cb8	004aaa60	GetPThing	?GetPThing@CScriptThing@@UBEPAVCThing@@XZ	?GetPThing@CScriptThing@@UBEPAVCThing@@XZ	
01238c8c	0x30	01238cbc	004aaa70	GetPThingUniqueID	?GetPThingUniqueID@CScriptThing@@UBE_KXZ	CScriptThing::GetPThingUniqueID	
01238c8c	0x34	01238cc0	004aaa90	GetCurrentStateGroupType	?GetCurrentStateGroupType@CScriptThing@@UBE?AW4EAIStateGroupType@@XZ	CScriptThing::GetCurrentStateGroupType	
01238c8c	0x38	01238cc4	004aaaa0	GetCurrentScriptPriority	?GetCurrentScriptPriority@CScriptThing@@UBE?AW4EScriptAIPriority@@XZ	CScriptThing::GetCurrentScriptPriority	
01238c8c	0x3c	01238cc8	004aaab0	IsSneaking	?IsSneaking@CScriptThing@@UBE_NXZ	CScriptThing::IsSneaking	Entity
01238c8c	0x40	01238ccc	004aaac0	IsAwareOfHero	?IsAwareOfHero@CScriptThing@@UBE_NXZ	CScriptThing::IsAwareOfHero	Entity
01238c8c	0x44	01238cd0	004aaad0	MsgIsTriggeredBy	?MsgIsTriggeredBy@CScriptThing@@UBE_NABVCCharString@@@Z	CScriptThing::MsgIsTriggeredBy	
01238c8c	0x48	01238cd4	004aaaf0	MsgIsKilledBy	?MsgIsKilledBy@CScriptThing@@UBE_NABVCCharString@@@Z	CScriptThing::MsgIsKilledBy	Entity
01238c8c	0x4c	01238cd8	004abe60	MsgWhoKilledMe	?MsgWhoKilledMe@CScriptThing@@UBE?AV1@XZ	CScriptThing::MsgWhoKilledMe	Entity
