vtable_base	offset	slot_address	target_address	current_name	executable
01260f0c	0xc	01260f18	006e72a0	?Validate@CGameScriptInterface@@UBEXXZ	true
01260f0c	0x18	01260f24	0088e100	?IsXbox@CGameScriptInterface@@UBE_NXZ	true
01260f0c	0x1c	01260f28	006e7410	?NewScriptFrame@CGameScriptInterface@@UBEXXZ	true
01260f0c	0x20	01260f2c	0089b5b0	?StartScriptingEntity@CGameScriptInterface@@UAE_NABVCScriptThing@@AAVCScriptGameResourceObjectScriptedThingBase@@W4EScriptAIPriority@@@Z	true
01260f0c	0x28	01260f34	006e71b0	?IsActiveThreadTerminating@CGameScriptInterface@@UBE_NXZ	true
01260f0c	0x2c	01260f38	0088e2a0	?IsLevelLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z	true
01260f0c	0x30	01260f3c	0088e300	?IsRegionLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z	true
01260f0c	0x3c	01260f48	0088e340	?GetRegionName@CGameScriptInterface@@UBEABVCCharString@@XZ	true
01260f0c	0x40	01260f4c	008931b0	?MsgIsLevelLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z	true
01260f0c	0x48	01260f54	0089ac10	?MsgOnLevelLoaded@CGameScriptInterface@@UBE_NAAV?$list@VCCharString@@V?$allocator@VCCharString@@@std@@@std@@@Z	true
01260f0c	0x50	01260f5c	008932d0	?MsgIsRegionLoaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z	true
01260f0c	0x54	01260f60	00893360	?MsgIsRegionUnloaded@CGameScriptInterface@@UBE_NABVCCharString@@@Z	true
01260f0c	0x58	01260f64	008933f0	?MsgOnRegionLoaded@CGameScriptInterface@@UBE_NAAVCCharString@@@Z	true
01260f0c	0x5c	01260f68	00893470	?MsgOnRegionUnloaded@CGameScriptInterface@@UBE_NAAVCCharString@@@Z	true
01260f0c	0x60	01260f6c	008934f0	?MsgOnRegionPreunload@CGameScriptInterface@@UBE_NAAVCCharString@@@Z	true
01260f0c	0x88	01260f94	008a9ae0	?MsgOnBoastsMade@CGameScriptInterface@@UBE_NAAV?$vector@U?$pair@JVCCharString@@@std@@V?$allocator@U?$pair@JVCCharString@@@std@@@2@@std@@@Z	true
01260f0c	0x90	01260f9c	0089ad90	?IsQuestStartScreenActive@CGameScriptInterface@@UBE_NAAVCCharString@@@Z	true
01260f0c	0xa0	01260fac	00894370	?MsgIsGameInfoClickedPast@CGameScriptInterface@@UBE_NXZ	true
01260f0c	0xa4	01260fb0	008943c0	?MsgIsTutorialClickedPast@CGameScriptInterface@@UBE_NXZ	true
01260f0c	0xa8	01260fb4	00894440	?MsgIsActionModeButtonPressed@CGameScriptInterface@@UBE_NXZ	true
01260f0c	0xdc	01260fe8	00894110	?MsgOnFishingGameFinished@CGameScriptInterface@@UBE_NAAVCScriptThing@@@Z	true
01260f0c	0xe0	01260fec	008941a0	?MsgOnTavernGameFinished@CGameScriptInterface@@UBE_NABVCScriptThing@@@Z	true
01260f0c	0xe4	01260ff0	00894250	?MsgOnHeroRewardedWithItemsFrom@CGameScriptInterface@@UBE_NAAVCCharString@@@Z	true
01260f0c	0xe8	01260ff4	008942c0	?MsgOnChestOpeningCancelled@CGameScriptInterface@@UBE_NXZ	true
01260f0c	0x100	0126100c	006e7460	?PostAddScriptedEntities@CGameScriptInterface@@UBEXXZ	true
01260f0c	0x10c	01261018	00890610	?IsPlayerHoldingFireRangedWeaponButton@CGameScriptInterface@@UBE_NXZ	true
01260f0c	0x118	01261024	00891ca0	?GetHero@CGameScriptInterface@@UAEAAVCScriptThing@@XZ	true
01260f0c	0x11c	01261028	0089a490	?GetHeroTargetedThing@CGameScriptInterface@@UBE?AVCScriptThing@@XZ	true
01260f0c	0x120	0126102c	008a7d60	?GetThingWithScriptName@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@@Z	true
01260f0c	0x128	01261034	008a7e00	?GetRandomThingWithScriptName@CGameScriptInterface@@UBE?AVCScriptThing@@ABVCCharString@@@Z	true
01260f0c	0x130	0126103c	008a86c0	?GetAllCreaturesInAreaWithScriptName@CGameScriptInterface@@UBEJABVCCharString@@ABVC3DVector@@MAAV?$vector@VCScriptThing@@V?$allocator@VCScriptThing@@@std@@@std@@@Z	true
01260f0c	0x134	01261040	0089a510	?GetNearestWithScriptName@CGameScriptInterface@@UBE?AVCScriptThing@@ABV2@ABVCCharString@@@Z	true
01260f0c	0x138	01261044	0089a6e0	?GetFurthestWithScriptName@CGameScriptInterface@@UBE?AVCScriptThing@@ABV2@ABVCCharString@@@Z	true
