quest_name	allocator_address	name_xref	allocator_operand	method
Q_SunnyvaleMaster	00cdd550	00cd5307	00cd5340	registry-exact-string-to-stack-allocator
HeroBoasts	00ce6c40	00cd53b1	00cd53df	registry-exact-string-to-stack-allocator
PersonalScriptMain	00cde2f0	00cd544a	00cd5478	registry-exact-string-to-stack-allocator
PersonalScript_GlobalThings	00ce19a0	00cd54e3	00cd5511	registry-exact-string-to-stack-allocator
Gameflow	00cef950	00cd557c	00cd55aa	registry-exact-string-to-stack-allocator
GameflowAssistance	00cf0640	00cd5615	00cd5643	registry-exact-string-to-stack-allocator
Q_ArenaHoldingScript	00cf8860	00cd56ae	00cd56dc	registry-exact-string-to-stack-allocator
LadyGreyWifeManager	00cf91c0	00cd5747	00cd5770	registry-exact-string-to-stack-allocator
Q_AmbushTraders	00cfa2f0	00cd580a	00cd5838	registry-exact-string-to-stack-allocator
Q_Arena	00cfabf0	00cd58a3	00cd58d1	registry-exact-string-to-stack-allocator
Q_AwakeningTheOracle	00d00590	00cd593c	00cd596a	registry-exact-string-to-stack-allocator
Q_BanditCamp	00d03580	00cd59d5	00cd5a03	registry-exact-string-to-stack-allocator
Q_BanditCampBossBattle	00d12920	00cd5a6e	00cd5a9c	registry-exact-string-to-stack-allocator
Q_BanditCampHoldingScript	00d12c50	00cd5b07	00cd5b35	registry-exact-string-to-stack-allocator
Q_BountyHunt	00d1cba0	00cd5ba0	00cd5bce	registry-exact-string-to-stack-allocator
Q_BreakSiege	00d23c80	00cd5c39	00cd5c67	registry-exact-string-to-stack-allocator
Q_BowerstoneTownLifeIntro	00d253b0	00cd5cd2	00cd5d00	registry-exact-string-to-stack-allocator
Q_DragonBossFight	00d27240	00cd5d6b	00cd5d99	registry-exact-string-to-stack-allocator
Q_EndGame	00d2a7c0	00cd5e04	00cd5e32	registry-exact-string-to-stack-allocator
Q_EndGameFocalSites	00d2f5f0	00cd5e9d	00cd5ecb	registry-exact-string-to-stack-allocator
Q_EndGameBossBattle	00d34410	00cd5f36	00cd5f64	registry-exact-string-to-stack-allocator
Q_FireHeart	00d3afc0	00cd5fcf	00cd5ffd	registry-exact-string-to-stack-allocator
Q_GuildTraining	00d50600	00cd6068	00cd6096	registry-exact-string-to-stack-allocator
Q_GuildTrainingDeparture	00d513c0	00cd6101	00cd612f	registry-exact-string-to-stack-allocator
