script	allocator_address	interface_store	method	verified
QS_GuardianSisterInfo	00e26780	00e2679e	allocator-register-flow	true
QS_GuardianSisterInfo2_SisterInBanditCamp	00e277e0	00e277fe	allocator-register-flow	true
QS_GuardianTrophyDealerInfo	00e28ca0	00e28cbe	allocator-register-flow	true
QS_MeetSister	00e29990	00e299ae	allocator-register-flow	true
Q_HerosOldHouse	00d8d5a0	00d8d5be	allocator-register-flow	true
V_MazeResearch	00ea8690	00ea76fa	constructor-stack-forwarding	true
QS_ScytheInfo	00e2ab00	00e29a01	constructor-stack-forwarding	true
Q_AmbushTraders	00cfa2f0	00cf9363	constructor-stack-forwarding	true
Q_Arena	00cfabf0	00cfa672	constructor-stack-forwarding	true
Q_ArenaHoldingScript	00cf8860	00cf887e	allocator-register-flow	true
Q_AwakeningTheOracle	00d00590	00cfad41	constructor-stack-forwarding	true
Q_BanditCamp	00d03580	00d0359e	allocator-register-flow	true
Q_BanditCampBossBattle	00d12920	00d1293e	allocator-register-flow	true
Q_BanditCampHoldingScript	00d12c50	00d12c6e	allocator-register-flow	true
Q_BountyHunt	00d1cba0	00d12cc0	constructor-stack-forwarding	true
Q_BowerstoneTownLifeIntro	00d253b0	00d253ce	allocator-register-flow	true
Q_BreakSiege	00d23c80	00d23c9e	allocator-register-flow	true
Q_CinemaTest	00f02460	00f0247e	allocator-register-flow	true
Q_DragonBossFight	00d27240	00d25421	constructor-stack-forwarding	true
Q_EndGame	00d2a7c0	00d2a7de	allocator-register-flow	true
Q_EndGameBossBattle	00d34410	00d2f6ca	constructor-stack-forwarding	true
Q_EndGameFocalSites	00d2f5f0	00d2a832	constructor-stack-forwarding	true
Q_FireHeart	00d3afc0	00d34482	constructor-stack-forwarding	true
Q_GuildTraining	00d50600	00d5061e	allocator-register-flow	true
Q_GuildTrainingDeparture	00d513c0	00d513de	allocator-register-flow	true
Q_GuildTrainingMelee	00d5a9f0	00d5aa0e	allocator-register-flow	true
Q_GuildTrainingPreMelee	00d55d10	00d55d2e	allocator-register-flow	true
Q_GuildTrainingSkill	00d5dbf0	00d5dc0e	allocator-register-flow	true
Q_GuildTrainingWill	00d61bb0	00d61bce	allocator-register-flow	true
Q_GuildTrainingWoodsDeparture	00d664d0	00d664ee	allocator-register-flow	true
Q_GuildTrainingWoodsMelee	00d67740	00d6775e	allocator-register-flow	true
Q_GuildTrainingWoodsWill	00d68ea0	00d68ebe	allocator-register-flow	true
Q_HangingTreeEvil	00d6ed10	00d68f18	constructor-stack-forwarding	true
Q_HangingTreeGood	00d78290	00d6ef3a	constructor-stack-forwarding	true
Q_HeroSouls	00d7ac50	00d7ac6e	allocator-register-flow	true
Q_HeroSoulsArena	00d80ba0	00d80bbe	allocator-register-flow	true
Q_HeroSoulsBriar	00d83300	00d80c4a	constructor-stack-forwarding	true
Q_HeroSoulsGuildmaster	00d87a80	00d84b60	constructor-stack-forwarding	true
Q_HeroSoulsMother	00d84af0	00d83410	constructor-stack-forwarding	true
Q_HeroSoulsNostro	00d89cf0	00d89d0e	allocator-register-flow	true
Q_HeroSoulsThunder	00d7c6a0	00d7acc0	constructor-stack-forwarding	true
Q_HobbeCave	00d99dc0	00d99dde	allocator-register-flow	true
Q_HobbeToothContest	00d9e190	00d9e1ae	allocator-register-flow	true
Q_MinionCamp	00da2f40	00d9e222	constructor-stack-forwarding	true
Q_MinionClifftopChase	00daab70	00daab8e	allocator-register-flow	true
Q_NewOakValeIntro	00dbef70	00daac10	constructor-stack-forwarding	true
Q_OakValeBanditRaid	00dc24e0	00dc2501	allocator-register-flow	true
Q_OpeningGraveyardSecretPassage	00dcbfd0	00dc2582	constructor-stack-forwarding	true
Q_OrchardFarmRaid	00dd1ef0	00dcc053	constructor-stack-forwarding	true
Q_OrchardFarmRaidEvil	00dd2300	00dd231e	allocator-register-flow	true
Q_OrchardFarmRaidGood	00dd2680	00dd269e	allocator-register-flow	true
Q_PrisonEscapeRescueMother	00ddacb0	00ddacd1	allocator-register-flow	true
Q_PrisonRace	00dddc30	00dddc4e	allocator-register-flow	true
Q_PrisonWardenGame	00de0290	00de02ae	allocator-register-flow	true
Q_RansomVictim	00debc60	00de0338	constructor-stack-forwarding	true
Q_RansomVictimChiefsHouse	00dec790	00dec7ae	allocator-register-flow	true
Q_SecretPassage	00df1080	00dec803	constructor-stack-forwarding	true
Q_SummoningTheShip	00df4070	00df408e	allocator-register-flow	true
Q_TentacleKrakenBossFight	00df5c00	00df5c1e	allocator-register-flow	true
Q_TraderConflictEvil	00dfa020	00dfa03e	allocator-register-flow	true
Q_TraderConflictGood	00e00610	00e0062e	allocator-register-flow	true
Q_TraderEscort	00e0af60	00e0af7e	allocator-register-flow	true
Q_UndeadRising	00e0e760	00e0e781	allocator-register-flow	true
Q_WaspBoss	00e0e9f0	00e0ea0e	allocator-register-flow	true
Q_WhiteBalverineKnotholeGlade	00e183b0	00e183ce	allocator-register-flow	true
Q_WhiteBalverineWW	00e1a770	00e1a78e	allocator-register-flow	true
Q_WizardBattle	00e1d9f0	00e1a81a	constructor-stack-forwarding	true
QR_EscortTrader	00e24c30	00e1db18	constructor-stack-forwarding	true
QR_EscortTrader_Manager	00e25970	00e2598e	allocator-register-flow	true
V_AmbushScam	00e322c0	00e2ab72	constructor-stack-forwarding	true
V_ArcheryCompetition	00e37630	00e32362	constructor-stack-forwarding	true
V_AssassinAttacks	00e39850	00e376e8	constructor-stack-forwarding	true
V_BanditCampPath	00e477a0	00e46be5	constructor-stack-forwarding	true
V_BanditToll	00e4f550	00e4f56e	allocator-register-flow	true
V_BeardyBaldy	00e54260	00e4f5c8	constructor-stack-forwarding	true
V_BeggarAndChild	00e5d0b0	00e5d0ce	allocator-register-flow	true
V_BodyGuard	00e62730	00e5d152	constructor-stack-forwarding	true
V_BookCollecting	00e57a50	00e54325	constructor-stack-forwarding	true
V_Bordello	00e46a00	00e3990a	constructor-stack-forwarding	true
V_ChapelOfEvil	00e6e230	00e6e257	allocator-register-flow	true
V_ChickenKicking	00e68e60	00e62842	constructor-stack-forwarding	true
V_DemonDoors	00e75590	00e755ae	allocator-register-flow	true
V_ExposeMayor	00e7b290	00e7560a	constructor-stack-forwarding	true
V_Fisherman	00e7e0b0	00e7e0ce	allocator-register-flow	true
V_FishingCompetition	00e81eb0	00e81ed4	allocator-register-flow	true
V_FisticuffsClub	00e8b700	00e81f72	constructor-stack-forwarding	true
V_GhostGrannyNecklace	00e906f0	00e9070e	allocator-register-flow	true
V_GuildMaster	00e92900	00e92921	allocator-register-flow	true
V_HauntedHouse	00e96dd0	00e96dee	allocator-register-flow	true
V_HeroDolls	00e98640	00e9865e	allocator-register-flow	true
V_HeroDuel	00e9c300	00e9c31e	allocator-register-flow	true
V_HiddenBooty	00e93cf0	00e93d0e	allocator-register-flow	true
V_IntroductionToTrophies	00e9fb40	00e9fb5e	allocator-register-flow	true
V_KnotholeGladeGates	00ea2c60	00ea2c7e	allocator-register-flow	true
V_LostTrader	00ea7680	00ea769e	allocator-register-flow	true
V_MayorsInvitation	00ebcc10	00ebcc2e	allocator-register-flow	true
V_MurderTwist	00eae890	00eae8ae	allocator-register-flow	true
V_MurderTwistFinal	00eb6a60	00eae92a	constructor-stack-forwarding	true
V_Oracle	00ebee30	00ebee4e	allocator-register-flow	true
V_ParanoidWhispers	00ec11b0	00ec11ce	allocator-register-flow	true
V_PicnicAreaAfterWaspBoss	00ec1780	00ec179e	allocator-register-flow	true
V_RandomPopulationSim	00ec3bc0	00ec3be1	allocator-register-flow	true
V_RockTrollFirstEncounter	00ec5360	00ec537e	allocator-register-flow	true
V_SickChild	00ed0e00	00ec53da	constructor-stack-forwarding	true
V_SingingStones	00ed39a0	00ed0e72	constructor-stack-forwarding	true
V_StatueMaster	00ed4a40	00ed4a5e	allocator-register-flow	true
V_SwordInTheStone	00ed75f0	00ed4aba	constructor-stack-forwarding	true
V_TalentlessBard	00edacc0	00ed76fb	constructor-stack-forwarding	true
