address	module	name	kind	retail_parity	file
00401284	_global	exit	naked_asm	RELOCATION_MATCH	Global_Exit_00401284.cpp
0040138c	_global	__SEH_prolog	naked_asm	MATCH	Global_SEHProlog_0040138c.cpp
004013c7	_global	__SEH_epilog	naked_asm	MATCH	Global_SEHEpilog_004013c7.cpp
004017b0	_global	GFConfigDetection	naked_asm	RELOCATION_MATCH	Global_GFConfigDetection_004017b0.cpp
00401fe0	EULA	EULA::DoEULAThings	naked_asm	RELOCATION_MATCH	EULA_DoEULAThings_00401fe0.cpp
00402130	_global	FableCheckMyDocumentsWritePermissions_00402130	naked_asm	RELOCATION_MATCH	Global_MyDocuments_CheckWritePermissions_00402130.cpp
004023f0	_global	GetWindowTitle	naked_asm	RELOCATION_MATCH	Global_GetWindowTitle_004023f0.cpp
00403b10	CSystemManagerInit	CSystemManagerInit	naked_asm	RELOCATION_MATCH	CSystemManagerInit_Constructor_00403b10.cpp
00403e40	CCountedPointer<CIPhysicsFacesSegmentBase const>	CCountedPointer<CIPhysicsFacesSegmentBase const>::Reset	naked_asm	RELOCATION_MATCH	CCountedPointer_PhysicsFacesSegment_Reset_00403e40.cpp
00404310	_global	CCharString_ComputeCRC32	naked_asm	RELOCATION_MATCH	Global_CCharStringComputeCRC32_00404310.cpp
004045c0	CPersistContext	CPersistContext::Transfer<signed char>	naked_asm	RELOCATION_MATCH	CPersistContext_TransferSignedChar_004045c0.cpp
004046b0	std::list<CStringParserCommentBoundaries>	std::list<CStringParserCommentBoundaries>::~list	emit_bake	RELOCATION_MATCH	CStringParserCommentList_Destructor_004046b0.cpp
00404a90	_global	$E2	naked_asm	RELOCATION_MATCH	Global_E2_00404a90.cpp
00405650	CIME	Initialise	naked_asm	RELOCATION_MATCH	CIME_Initialise_00405650.cpp
0040dd00	_Cons_val<std::allocator<std::pair<CWideString_const_,float>_>,std::pair<CWideString_const_,float>,std	_Cons_val<std::allocator<std::pair<CWideString_const_,float>_>,std::pair<CWideString_const_,float>,std::pair<CWideString,float>_>	naked_asm	RELOCATION_MATCH	ConsvalstdallocatorstdpairCWideStringconstfloatstdpairCWideStringconstfloatstd_pairCWideStringfloat_0040dd00.cpp
0040e170	_global	Array_LinearSearchInt	emit_bake	MATCH	Global_Array_LinearSearchInt_0040e170.cpp
004129f0	vector<CBrainBehaviour	resize	emit_bake	MATCH	vectorCBrainBehaviour_resize_004129f0.cpp
00412a50	vector<unsigned_int	resize	emit_bake	MATCH	vectorunsignedint_resize_00412a50.cpp
00412aa0	vector<EWeaponClass	_Umove<EWeaponClass*>	emit_bake	MATCH	vectorEWeaponClass_UmoveEWeaponClass_00412aa0.cpp
00412b20	vector<std::pair<CCharString	resize	emit_bake	MATCH	vectorstdpairCCharString_resize_00412b20.cpp
00412c10	vector<EWeaponClass	_Umove<EWeaponClass*>	emit_bake	MATCH	vectorEWeaponClass_UmoveEWeaponClass_00412c10.cpp
00412f90	CGame	Play	emit_bake	RELOCATION_MATCH	CGame_Play_00412f90.cpp
004131a0	CMainGameComponentInit	CMainGameComponentInit	naked_asm	RELOCATION_MATCH	CMainGameComponentInit_CMainGameComponentInit_004131a0.cpp
00413c50	_global	InitialiseConsoleVariables	emit_bake	RELOCATION_MATCH	Global_InitialiseConsoleVariables_00413c50.cpp
00414c90	_global	Get	emit_bake	MATCH	global_Get_00414c90.cpp
00414e00	_Destroy_range<std	_Destroy_range<std::allocator<CSpeechFrame>_>	emit_bake	MATCH	Destroyrangestd_allocatorCSpeechFrame_00414e00.cpp
00414f70	CConsoleCommandBase	?GetTypeAsString@CConsoleCommandBase@@MBE?AVCCharString@@XZ	emit_bake	MATCH	CConsoleCommandBase_GetTypeAsStringCConsoleCommandBaseMB_00414f70.cpp
00414f90	CCompressedMemoryDataInputStream	~CCompressedMemoryDataInputStream	emit_bake	MATCH	CCompressedMemoryDataInputStream_CCompressedMemoryDataInputStream_00414f90.cpp
00415940	CLandscapeBackgroundPatch	`vector_deleting_destructor'	emit_bake	MATCH	CLandscapeBackgroundPatch_vectordeletingdestructor_00415940.cpp
00415e17	CMainGameComponentInit	CMainGameComponentInit	naked_asm	RELOCATION_MATCH	CMainGameComponentInit_CMainGameComponentInit_00415e17.cpp
00416005	CMainGameComponent	InitDefinitions	emit_bake	MATCH	CMainGameComponent_InitDefinitions_00416005.cpp
00416056	CMainGameComponent	InitEventPackageLoading	emit_bake	MATCH	CMainGameComponent_InitEventPackageLoading_00416056.cpp
004160a6	CMainGameComponent	UninitEventPackageLoading	emit_bake	MATCH	CMainGameComponent_UninitEventPackageLoading_004160a6.cpp
004160cc	CMainGameComponent	InitEventPackageSaving	emit_bake	MATCH	CMainGameComponent_InitEventPackageSaving_004160cc.cpp
00416122	CMainGameComponent	UninitEventPackageLoading	emit_bake	MATCH	CMainGameComponent_UninitEventPackageLoading_00416122.cpp
