rank	address	module	name	retail_bytes	candidate_source_bytes	checker_verdict	first_blocker
1	0088e210	CGameScriptInterface	CGameScriptInterface::DisplayTime	0	212	PASS	
2	0088fbb0	CGameScriptInterface	CGameScriptInterface::GetCountBetMoneyDown	0	212	PASS	
3	0088fb10	CGameScriptInterface	CGameScriptInterface::GetQuitTavernGame	0	228		
4	0088fb30	CGameScriptInterface	CGameScriptInterface::GetPrizeTavernTable	0	232		
5	0088fc10	CGameScriptInterface	CGameScriptInterface::GetTradingPriceMult	0	235		
6	0088fbd0	CGameScriptInterface	CGameScriptInterface::GetSpotTheAdditionBeaten	0	242		
7	0088fad0	CGameScriptInterface	CGameScriptInterface::GetPlayerUsingWillDummies	0	244		
8	0088fa90	CGameScriptInterface	CGameScriptInterface::GetPlayerUsingMeleeDummies	0	246	PASS	
9	0088fab0	CGameScriptInterface	CGameScriptInterface::GetPlayerUsingRangedDummies	0	248	PASS	
10	00893050	CGameScriptInterface	CGameScriptInterface::GetIsGossipForPlayerSize	0	248	PASS	
11	0088fb50	CGameScriptInterface	CGameScriptInterface::GetBettingActive	0	262	PASS	
12	0088fb70	CGameScriptInterface	CGameScriptInterface::GetBettingAccept	0	262	PASS	
13	0088fc30	CGameScriptInterface	CGameScriptInterface::GetBoastingEnabled	0	266	PASS	
14	0088faf0	CGameScriptInterface	CGameScriptInterface::GetCheapHeadLooking	0	268	PASS	
15	0088fbf0	CGameScriptInterface	CGameScriptInterface::GetGlobalTargetingDistanceOffset	0	299	PASS	
16	00893040	CGameScriptInterface	CGameScriptInterface::GetActiveGossipCategoriesSize	0	315	PASS	'reinterpret_cast' from integer to pointer
17	00c19f90	_global	Getter_Field84	0	338	PASS	
18	0088e500	CGameScriptInterface	CGameScriptInterface::FixMovieSequenceCamera	0	361	PASS	'reinterpret_cast' from integer to pointer
19	00c2d7b0	_global	CTCInventory_CheckSlotTypeNegative	0	493	PASS	
20	00891520	CGameScriptInterface	CGameScriptInterface::FailAllActiveQuests	0	558	PASS	'reinterpret_cast' from integer to pointer
21	00c20ef0	_global	IsStateStreaming_2to4	0	582	PASS	
22	0088f900	CGameScriptInterface	CGameScriptInterface::GetCountdownTimer	0	593	PASS	
23	00891c40	CGameScriptInterface	CGameScriptInterface::DisplayMoneyBag	0	600	PASS	
24	006e7290	CGameScriptInterface	CGameScriptInterface::EndLetterBox	0	611	PASS	
25	008702d0	_global	Handle_InitInvalid_008702d0	0	728	PASS	
26	00891870	CGameScriptInterface	CGameScriptInterface::IsHeroOnQuest	0	741		'reinterpret_cast' from integer to pointer
27	004aada0	CScriptThing	CScriptThing::MsgOpenedChest	0	811	PASS	invalid use of incomplete type 'class CScriptThing'
28	0088f4a0	CGameScriptInterface	CGameScriptInterface::EnableDecals	0	811	PASS	
29	00891320	CGameScriptInterface	CGameScriptInterface::EnableDangerMusic	0	904	PASS	
30	004aacc0	CScriptThing	CScriptThing::MsgPerformedAnySpecialAbility	0	940	PASS	invalid use of incomplete type 'class CScriptThing'
31	0088e4c0	CGameScriptInterface	CGameScriptInterface::FadeScreenIn	0	958	PASS	
32	0088f9e0	CGameScriptInterface	CGameScriptInterface::GetGuildSealRecallAngleXY	0	1043	PASS	
33	00890fc0	CGameScriptInterface	CGameScriptInterface::CameraResetToViewBehindHero	0	1066	PASS	expected '(' before '{' token
34	004aaf80	CScriptThing	CScriptThing::MsgIsKicked	0	1075	PASS	invalid use of incomplete type 'class CScriptThing'
35	004ab040	CScriptThing	CScriptThing::SetAsUsable	0	1094	PASS	invalid use of incomplete type 'class CScriptThing'
36	0088f450	CGameScriptInterface	CGameScriptInterface::IsHeroSleepingEnabled	0	1137		
37	008907e0	CGameScriptInterface	CGameScriptInterface::FadeScreenOutUntilNextCallToFadeScreenIn	0	1239	PASS	
38	008913c0	CGameScriptInterface	CGameScriptInterface::IsHeroInTavernGame	0	1333		
39	004aace0	CScriptThing	CScriptThing::MsgPerformedAnyAggressiveSpecialAbility	0	1382	PASS	invalid use of incomplete type 'class CScriptThing'
40	007266c0	CTCPhysicsBase	CTCPhysicsBase	0	1401	PASS	static assertion failed
41	008368f0	_global	ConditionalVirtualDispatch_OnLevelUnload	0	1421	PASS	
42	004aad00	CScriptThing	CScriptThing::MsgPerformedAnyNonAggressiveSpecialAbility	0	1425	PASS	invalid use of incomplete type 'class CScriptThing'
43	0088f620	CGameScriptInterface	CGameScriptInterface::EnableSounds	0	1460	PASS	
44	0088ecc0	CGameScriptInterface	CGameScriptInterface::IsCameraInScriptedMode	0	1468		
45	00c37000	_global	IntelligentPointer_BuildAndDispatchFloat	0	1482	PASS	
46	00c36e00	_global	CSBAgents_BuildAndDispatch_SummonerLightning	0	1495	PASS	
47	008a78e0	CGameScriptInterface	CGameScriptInterface::ClearActiveGossipCategories	0	1562	PASS	invalid use of incomplete type 'class CGameScriptInterface'
48	008a7930	CGameScriptInterface	CGameScriptInterface::ClearIsGossipForPlayer	0	1600	PASS	invalid use of incomplete type 'class CGameScriptInterface'
49	00c36fb0	_global	CSBAgents_BuildAndDispatch_TavernGame	0	1687	PASS	expected '(' before '{' token
50	00c362f0	_global	CSBAgents_BuildAndDispatch_A	0	1706	PASS	
51	00890180	CGameScriptInterface	CGameScriptInterface::CancelRadialBlurFade	0	1736	PASS	
52	0086fa00	_global	CPersistInfo_InsertionSortStep_0086fa00	0	1753	PASS	
53	0086c5c0	_global	CPersistInfo_InsertionSortStep_0086c5c0	0	1754	PASS	
54	006e7340	CGameScriptInterface	CGameScriptInterface::GetGameAngleXY	0	1770	PASS	
55	008902b0	CGameScriptInterface	CGameScriptInterface::IsHeroChild	0	1784		
56	00c336f0	_global	Constraint_NotifyGlobalManager	0	1818	PASS	
57	00c43f80	_global	Weapon_ProcessAnimFrameIfReady	0	1845	PASS	expected '(' before '{' token
58	00403480	_global	_WinMain@16	0	1865	PASS	
59	0088ec90	CGameScriptInterface	CGameScriptInterface::CameraSetCameraPreloadFlag	0	1885	PASS	
60	00890370	CGameScriptInterface	CGameScriptInterface::GetHeroHealth	0	1965	PASS	'reinterpret_cast' from integer to pointer
61	006b0730	CTCPhysicsBase	CTCPhysicsBase	0	1971	PASS	'C3DVector' does not name a type
62	00c3b900	CLandscapeLayerMesh	CLandscapeLayerMesh	0	1978	PASS	'CEngineLandscapeMap' does not name a type
63	008903a0	CGameScriptInterface	CGameScriptInterface::GetHeroHealthMax	0	2031	PASS	'reinterpret_cast' from integer to pointer
64	00c43de0	_global	DrawAutoPickups_SelectAndDrawPrimitive	0	2098	PASS	
65	00409090	_global	Engine_FindPrimitiveInArray	0	2191	PASS	
66	00caf680	CEngineLandscapePatch	CEngineLandscapePatch::AllocateTask	0	2195	PASS	'CEngineLandscapePatch' has not been declared
67	008903d0	CGameScriptInterface	CGameScriptInterface::GetHeroHealthPercentage	0	2374	PASS	'reinterpret_cast' from integer to pointer
68	0088ece0	CGameScriptInterface	CGameScriptInterface::CameraShake	0	2424	PASS	
69	008901e0	CGameScriptInterface	CGameScriptInterface::DisplacementMonochromeEffectColourFadeOut	0	2637	PASS	
70	00891ea0	CGameScriptInterface	CGameScriptInterface::IsHeroAllowedHenchmenInCurrentRegion	0	2698		
71	00713140	CActionDoCreatureAction	CActionDoCreatureAction	0	2734	PASS	invalid use of incomplete type 'class NTCScriptedControl::CActionDoCreatureAction'
72	00a65ff0	CMemoryAllocatorFixedSize	CMemoryAllocatorFixedSize::CMemoryAllocatorFixedSize	0	2986	PASS	'CMemoryAllocatorFixedSize' does not name a type
73	008a1590	CGameScriptInterface	CGameScriptInterface::GetBestTimePairs	0	2996	PASS	'reinterpret_cast' from integer to pointer
74	00899ef0	CGameScriptInterface	CGameScriptInterface::GiveHeroMorality	0	3000		'ScriptInterfaceContext14* CGameScriptInterface::Context14' is private within this context
