rank	address	api_names	qualified_name	module	match_status	owner_relevance	prototype_complete	calling_convention	return_type	parameter_types	score	verification_stage	engine_implementation_verified	hook_approved	bridge_kind	arity_compatible	evidence
1	0x00892270	Quest.IsInCutscene	CGameScriptInterface::IsInCutscene	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
2	0x00899BA0	Quest.IsPlayerCreatureBlocking	CGameScriptInterface::IsPlayerCreatureBlocking	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
3	0x00899DB0	Quest.IsPlayerCreatureFlourishEnabled	CGameScriptInterface::IsPlayerCreatureFlourishEnabled	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
4	0x00897480	Quest.IsPlayerWieldingWeapon	CGameScriptInterface::IsPlayerWieldingWeapon	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
5	0x00890170	Quest.IsRadialBlurFadeActive	CGameScriptInterface::IsRadialBlurFadeActive	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
6	0x00892B30	Quest.IsSafeToDisplayGameInfo	CGameScriptInterface::IsSafeToDisplayGameInfo	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
7	0x0088F950	Quest.IsSavingEnabled	CGameScriptInterface::IsSavingEnabled	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
8	0x0088E4D0	Quest.IsScreenFadingOut	CGameScriptInterface::IsScreenFadingOut	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
9	0x0088F420	Quest.IsTeleportingActive	CGameScriptInterface::IsTeleportingActive	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
10	0x00897030	Quest.IsToFailQuestOnDeath	CGameScriptInterface::IsToFailQuestOnDeath	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
11	0x0088F3E0	Quest.IsTutorialSystemEnabled	CGameScriptInterface::IsTutorialSystemEnabled	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
12	0x00892030	Quest.MiniMapRemoveAllMarkers	CGameScriptInterface::MiniMapRemoveAllMarkers	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
13	0x0088E400	Quest.MiniMapSetAsEnabled	CGameScriptInterface::MiniMapSetAsEnabled	CGameScriptInterface	unique	strong	1	__thiscall	void	CGameScriptInterface *,bool	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
14	0x00894370	Quest.MsgIsGameInfoClickedPast	CGameScriptInterface::MsgIsGameInfoClickedPast	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
15	0x008943C0	Quest.MsgIsTutorialClickedPast	CGameScriptInterface::MsgIsTutorialClickedPast	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
16	0x008942C0	Quest.MsgOnChestOpeningCancelled	CGameScriptInterface::MsgOnChestOpeningCancelled	CGameScriptInterface	unique	strong	1	__thiscall	bool	CGameScriptInterface *	100	needs-reversal	0	0	direct-signature	1	exact-leaf-name;complete-prototype;quest-interface-owner
