rank	address	module	name	workstream	gap	score	calling_convention	return_type	parameter_types	checker_verdict	compile_blocker	retail_parity	signature_issues	missing_dependencies
1	004b1670	CGameScriptInterface	CGameScriptInterface::AddQuestCardEntry	candidate-cluster	signature-audit	2480295	unknown	undefined		PASS	static assertion failed		explicit-parameter-count-mismatch	
2	00681cd0	CGameScriptInterface	CGameScriptInterface::SetOpinionReactionMask	candidate-cluster	signature-audit	2480295	unknown	undefined		PASS	invalid use of incomplete type 'class CGameScriptInterface'		explicit-parameter-count-mismatch	class CGameScriptInterface
3	006e7740	CGameScriptInterface	CGameScriptInterface	candidate-cluster	signature-audit	2480295	__thiscall	undefined	CGameScriptInterface *,CMainGameComponent *,CGameDefinitionManager *,CWorld *,CPlayerManager *,CDisplayEngine *	PASS	invalid use of incomplete type 'class CGameScriptInterface'		owner-mismatch	class CGameScriptInterface
4	00896120	CGameScriptInterface	CGameScriptInterface::TryToRespawnDefNamed	candidate-cluster	signature-audit	2480295	__thiscall	CScriptThing	CGameScriptInterface *,CScriptThing const &,CCharString const &,C3DVector const &	PASS	field 'interfaces_44' has incomplete type 'CVectorMap<ETCInterfaceType, CTCBase*, CKeyPairCompareLess<ETCInterfaceType, CTCBase*> >'		return-shape-mismatch	class CGameScriptInterface
5	008961b0	CGameScriptInterface	CGameScriptInterface::ClearHeroEnemyOfGuards	candidate-cluster	signature-audit	2480295	__thiscall	void	CGameScriptInterface *,CScriptThing const &	PASS	macro 'offsetof' passed 3 arguments, but takes just 2		definition-not-parsed	offsetof
6	0089c510	CGameScriptInterface	CGameScriptInterface::OpinionSourceSetAsAttentionGrabbing	candidate-cluster	signature-audit	2480295	__thiscall	void	CGameScriptInterface *,CScriptThing const &,bool	PASS			definition-not-parsed	
7	0089f300	CGameScriptInterface	CGameScriptInterface::CreateCreatureNearby	candidate-cluster	signature-audit	2480295	__thiscall	CScriptThing	CGameScriptInterface *,CCharString const &,C3DVector const &,float,CCharString const &,bool	PASS	macro 'offsetof' passed 3 arguments, but takes just 2		explicit-parameter-count-mismatch;return-shape-mismatch	offsetof
8	0089faa0	CGameScriptInterface	CGameScriptInterface::CreateLight	candidate-cluster	signature-audit	2480295	__thiscall	CScriptThing	CGameScriptInterface *,C3DVector const &,CRGBColour const &,CCharString const &,float,float,bool	PASS	invalid use of incomplete type 'class CGameScriptInterface'		explicit-parameter-count-mismatch;return-shape-mismatch	class CGameScriptInterface
9	0089fbb0	CGameScriptInterface	CGameScriptInterface::CreateExperienceOrb	candidate-cluster	signature-audit	2480295	__thiscall	CScriptThing	CGameScriptInterface *,C3DVector const &,long	PASS	invalid use of incomplete type 'class CGameScriptInterface'		explicit-parameter-count-mismatch;return-shape-mismatch	class CGameScriptInterface
10	0089fc80	CGameScriptInterface	CGameScriptInterface::CreateExplosion	candidate-cluster	signature-audit	2480295	__thiscall	CScriptThing	CGameScriptInterface *,CCharString const &,C3DVector const &,C3DVector const *,CCharString	PASS	invalid use of incomplete type 'class CGameScriptInterface'		explicit-parameter-count-mismatch;return-shape-mismatch	class CGameScriptInterface
11	0089fd20	CGameScriptInterface	CGameScriptInterface::CreatePhysicalBarrier	candidate-cluster	signature-audit	2480295	__thiscall	CScriptThing	CGameScriptInterface *,float,C3DVector const &,C3DVector const *,CCharString	PASS	invalid use of incomplete type 'class CGameScriptInterface'		explicit-parameter-count-mismatch;return-shape-mismatch	class CGameScriptInterface
12	0089fda0	CGameScriptInterface	CGameScriptInterface::CreateRumble	candidate-cluster	signature-audit	2480295	__thiscall	CScriptThing	CGameScriptInterface *,C3DVector const &,float,float,CCharString	PASS	invalid use of incomplete type 'class CGameScriptInterface'		explicit-parameter-count-mismatch;return-shape-mismatch	class CGameScriptInterface
13	008a9100	CGameScriptInterface	CGameScriptInterface::CreateCreature	candidate-cluster	signature-audit	2480295	__thiscall	CScriptThing	CGameScriptInterface *,CCharString const &,C3DVector const &,CCharString const &,bool	FAIL	'EHeroMorphType' was not declared in this scope		explicit-parameter-count-mismatch;return-shape-mismatch	CCharString;CDefinitionManager;CParticleMorphs;CScriptThing;EHeroMorphType;std
14	008ae890	CGameScriptInterface	CGameScriptInterface::_AddGossipVillages_impl	candidate-cluster	signature-audit	2480295	unknown	undefined		PASS	static assertion failed		explicit-parameter-count-mismatch	
15	008aeac0	CGameScriptInterface	CGameScriptInterface::_AddGossipFactions_impl	candidate-cluster	signature-audit	2480295	unknown	undefined		PASS	static assertion failed		explicit-parameter-count-mismatch	
16	008a9fc0	CGameScriptInterface	CGameScriptInterface::GetGossipSize	candidate-cluster	compiled-needs-parity	2380295	__thiscall	int	CGameScriptInterface *,CCharString	PASS		DIFFER		
17	008aa480	CGameScriptInterface	CGameScriptInterface::GetGossipFactionsSize	candidate-cluster	compiled-needs-parity	2380295	__thiscall	int	CGameScriptInterface *,CCharString	PASS		DIFFER		
18	006e7690	CGameScriptInterface	CGameScriptInterface::DeregisterTimer	candidate-cluster	candidate-compile	2280295	__thiscall	void	CGameScriptInterface *,long	PASS				
19	006e7820	CGameScriptInterface	CGameScriptInterface::WaitForCameraMessage	candidate-cluster	candidate-compile	2280295	__thiscall	void	CGameScriptInterface *,CCharString const &	PASS				
20	006e7920	CGameScriptInterface	CGameScriptInterface::CheckForCameraMessage	candidate-cluster	candidate-compile	2280295	__thiscall	bool	CGameScriptInterface *,CCharString const &	PASS				
21	006e79e0	CGameScriptInterface	CGameScriptInterface::RegisterTimer	candidate-cluster	candidate-compile	2280295	__thiscall	long	CGameScriptInterface *	PASS				
22	0088de10	CGameScriptInterface	CGameScriptInterface::GiveThingItemInHand	candidate-cluster	candidate-compile	2280295	__thiscall	void	CGameScriptInterface *,CScriptThing const &,CCharString const &,bool	PASS				
23	0088df60	CGameScriptInterface	CGameScriptInterface::GetWaterHeightAtPosition	candidate-cluster	candidate-compile	2280295	__thiscall	float	CGameScriptInterface *,C3DVector const &	PASS				
24	0088e0b0	CGameScriptInterface	CGameScriptInterface::SetSoundThemesAsEnabledForRegion	candidate-cluster	candidate-compile	2280295	__thiscall	void	CGameScriptInterface *,CCharString const &,bool	PASS				
25	0088e130	CGameScriptInterface	CGameScriptInterface::GiveHeroWeapon	candidate-cluster	candidate-compile	2280295	__thiscall	void	CGameScriptInterface *,CCharString const &,bool	PASS				
26	0088e200	CGameScriptInterface	CGameScriptInterface::SetGuildMasterMessages	candidate-cluster	candidate-compile	2280295	__thiscall	void	CGameScriptInterface *,bool	PASS				
27	0088e2a0	CGameScriptInterface	CGameScriptInterface::IsLevelLoaded	candidate-cluster	candidate-compile	2280295	__thiscall	bool	CGameScriptInterface *,CCharString const &	PASS	static assertion failed			
