rank	track	module	score	catalog_functions	prototype_complete	prototype_gaps	calling_convention_unknown	naming_review	agent_candidates	verified_lifts
1	candidate-cluster	_global	1376685	11366	2051	9315	9280	391	493	0
2	candidate-cluster	CGameScriptInterface	1281995	953	948	5	4	0	441	0
3	candidate-cluster	NUISystem::CSprite	571914	86	0	86	86	0	86	0
4	candidate-cluster	CTCPhysicsBase	538431	118	49	69	67	0	69	1
5	candidate-cluster	CThingPlayerCreature	473963	68	31	37	37	0	37	0
6	candidate-cluster	CTCPhysicsStandard	471964	77	41	36	36	0	36	0
7	candidate-cluster	CPersistContext_TransferableVector	469965	35	0	35	35	0	35	0
8	candidate-cluster	CPersistContext_TransferableComponent	467966	34	0	34	34	0	34	0
9	candidate-cluster	CTCInventoryClothing	459970	67	37	30	30	0	30	0
10	candidate-cluster	NUISystem::CMenuEntry	459970	30	0	30	30	0	30	0
11	candidate-cluster	CTextureRenderer	455968	33	1	32	31	0	28	0
12	candidate-cluster	CThingAICreature	453972	55	27	28	27	0	27	0
13	candidate-cluster	NUISystem::CList	449974	26	0	26	26	0	25	0
14	candidate-cluster	NUISystem::CManager	447976	24	0	24	24	0	24	0
15	candidate-cluster	CTCInventoryExperience	443974	84	58	26	25	0	22	0
16	candidate-cluster	CTCPhysicsRigidBody	441977	46	23	23	22	0	21	0
17	candidate-cluster	CTCInventoryQuests	439980	42	22	20	20	0	20	0
18	candidate-cluster	NParticleEngine::CPSCBase	439980	20	0	20	20	0	20	0
19	candidate-cluster	NUISystem::CIconText	439980	20	0	20	20	0	20	0
20	candidate-cluster	NUISystem::CScrollBar	439980	20	0	20	20	0	20	0
21	candidate-cluster	CTCInventory	437978	112	90	22	21	0	19	0
22	candidate-cluster	NUISystem::CText	435982	18	0	18	18	0	18	0
23	candidate-cluster	CTCInventoryTrade	435980	87	67	20	20	0	18	0
24	candidate-cluster	CTCInventoryWeapons	433983	60	43	17	17	0	17	0
25	candidate-cluster	NCameraModes::CBase	433983	17	0	17	17	0	17	0
26	candidate-cluster	CMouseDX	433000	24	24	0	0	0	14	10
27	candidate-cluster	CTCInventoryMap	431982	59	41	18	18	0	16	0
28	candidate-cluster	CThingObject	431982	26	8	18	16	0	16	0
29	candidate-cluster	CScriptThing	429998	103	101	2	0	0	15	0
30	candidate-cluster	CTCInGameMenu	429983	43	26	17	16	0	15	0
31	candidate-cluster	NUISystem::CFrontEndButton	427986	14	0	14	14	0	14	0
32	candidate-cluster	CMemoryAllocatorFixedSize	427499	22	21	1	1	0	12	7
33	candidate-cluster	CThing	425983	93	76	17	16	0	13	0
34	candidate-cluster	CSoundManagerLH	423988	12	0	12	12	0	12	0
35	candidate-cluster	CThingGameObject	423988	25	13	12	12	0	12	0
36	candidate-cluster	NCameraModes::CStringAndCageBase	423988	12	0	12	12	0	12	0
