address	real_len	shape	module	name	trimmed_bytes
00a00940	12	call-then-ret	CGraphicBankStateBlock	CGraphicBankStateBlock::CreateCRC	6a608d410450e805000000c3
00c8db20	12	call-then-ret	_Dest_val<std::allocator<NCreatureHitNotification::CFlash>,NCreatureHitNotification	_Dest_val<std::allocator<NCreatureHitNotification::CFlash>,NCreatureHitNotification::CFlash>	8bc16a008bcae8a5feffffc3
006ca8b0	13	call-then-ret	SetStaticCast<NUISystem	SetStaticCast<NUISystem::CComponent>	8b41048b115052e8140a0000c3
009c7b70	13	call-then-ret	_global	ConstructString	6aff5251e8e7feffff83c40cc3
00a39c20	13	call-then-ret	CWADFile	CWADFile::GetLength	8b41088b490450e81426f9ffc3
00beb540	13	call-then-ret	_global	operator_new	518b0dc4ba4301e8c413e7ffc3
00c0dec0	13	call-then-ret	operator&&<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CIsThingAlive,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript	operator&&<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CIsThingAlive,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>	56528bf1e877feffff8bc65ec3
00c0def0	13	call-then-ret	operator&&<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CIsThingAlive,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript	operator&&<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CIsThingAlive,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>	56528bf1e807ffffff8bc65ec3
00c0df00	13	call-then-ret	operator&&<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CIsThingAlive,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript	operator&&<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CIsThingAlive,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>	56528bf1e8a7feffff8bc65ec3
00c0df10	13	call-then-ret	operator&&<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CIsThingAlive,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript	operator&&<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CPredicate_And<NScript::CIsThingAlive,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>,NScript::CIsThingAlive>	56528bf1e8e7feffff8bc65ec3
