rank	address	module	name	lane	checker	signature	host_syntax	compiler_errors	missing_dependencies	vc71_incompatibilities	source_bytes	origin	first_blocker	semantic_hazards	snapshot
1	00890750	CGameScriptInterface	CGameScriptInterface::AddLineToConversation	manual-lift	PASS	PASS	FAIL	21	9	11	1982	wave3	'CScriptConversationManager' does not name a type		D:\Documents\FableTLC\rebuild\candidates\snapshots\00\89\0x00890750_global_AddLineToConversation_CGameScriptInterface_UBEXJABVCCharString__NABVCScriptThing_2_Z.cpp
2	00a781a0	CNavQuadTree	UpdateLines	manual-lift	PASS	PASS	FAIL	45	12	75	16017	wave3	'C2DVector' does not name a type		D:\Documents\FableTLC\rebuild\candidates\snapshots\00\a7\0x00A781A0_CNavQuadTree_UpdateLines.cpp
3	00a7a8d0	CNavQuadTree	Initialise	manual-lift	PASS	PASS	FAIL	96	13	142	26841	wave3	'C2DLineF' was not declared in this scope		D:\Documents\FableTLC\rebuild\candidates\snapshots\00\a7\0x00A7A8D0_CNavQuadTree_Initialise.cpp
4	00a79b30	CNavQuadTreeNode	Initialise	manual-lift	PASS	PASS	FAIL	96	18	78	15716	wave3	'CANavQuadTreeNode' does not name a type		D:\Documents\FableTLC\rebuild\candidates\snapshots\00\a7\0x00A79B30_CNavQuadTreeNode_Initialise.cpp
5	0050a650	CWorldMap	GetMapNavigationAreaInit	manual-lift	PASS	PASS	FAIL	96	26	93	25507	wave3	use of enum 'EHeroMorphType' without previous declaration		D:\Documents\FableTLC\rebuild\candidates\snapshots\00\50\0x0050A650_CWorldMap_GetMapNavigationAreaInit.cpp
6	00897030	CGameScriptInterface	CGameScriptInterface::IsToFailQuestOnDeath	semantic-review	PASS	PASS	FAIL	2	0	26	3608	wave3	'reinterpret_cast' from integer to pointer	possible-end-sentinel-dereference	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\89\0x00897030_global_IsToFailQuestOnDeath_CGameScriptInterface_UBE_NXZ.cpp
7	00897480	CGameScriptInterface	CGameScriptInterface::IsPlayerWieldingWeapon	semantic-review	PASS	PASS	FAIL	2	0	26	3816	wave3	'reinterpret_cast' from integer to pointer	possible-end-sentinel-dereference	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\89\0x00897480_global_IsPlayerWieldingWeapon_CGameScriptInterface_UBE_NXZ.cpp
8	00898db0	CGameScriptInterface	CGameScriptInterface::TakeObjectFromHero	semantic-review	PASS	PASS	PASS	0	0	28	4845	wave3		possible-end-sentinel-dereference;process-termination	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\89\0x00898DB0_global_TakeObjectFromHero_CGameScriptInterface_UBEXABVCCharString_Z.cpp
9	00898840	CGameScriptInterface	CGameScriptInterface::ConfiscateItemsOfTypeFromHero	semantic-review	PASS	PASS	FAIL	2	0	28	6295	wave3	'reinterpret_cast' from integer to pointer	possible-end-sentinel-dereference	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\89\0x00898840_global_ConfiscateItemsOfTypeFromHero_CGameScriptInterface_UBEXABVCCharString_Z.cpp
10	00898e60	CGameScriptInterface	CGameScriptInterface::IsHeroHandLampLit	semantic-review	PASS	PASS	FAIL	2	0	29	3806	wave3	'reinterpret_cast' from integer to pointer	possible-end-sentinel-dereference	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\89\0x00898E60_global_IsHeroHandLampLit_CGameScriptInterface_UBE_NXZ.cpp
