len	count	template	name
53	83	00413310	_Dest_val<std::allocator<CCountedPointer<QuadricOpti
50	31	004477c0	_Uninit_copy<std::_Vector_const_iterator<std::_Vecto
30	22	00412b00	`vector_deleting_destructor'
45	15	0041bcd0	_Dest_val<std::allocator<CIVCountedPointer<N3DPrimit
24	13	00419554	_Dest_val<std::allocator<CIVCountedPointer<N3DPrimit
44	10	004190b6	_Dest_val<std::allocator<CCountedPointer<QuadricOpti
38	8	004190e2	ShareData
23	8	0042ab1c	OnReadFinished
27	7	0041bae0	_Dest_val<std::allocator<CIVCountedPointer<N3DPrimit
47	7	0042a6c3	GetMeshEffect
56	7	00448280	_Uninit_copy<std::_Vector_const_iterator<std::_Vecto
1	6	00415920	CGameComponent::Init
28	6	00415e67	`vector_deleting_destructor'
41	6	0042abe1	OnKill
25	6	00440ec0	OnReadFinished
45	5	0042a1b6	BuildTreeArray
5	5	00431e70	CControlsDef::Copy
23	4	00419463	operator=
39	4	0042a141	SortTreeRecursively
62	3	004046b0	std::list<CStringParserCommentBoundaries>::~list
3	3	004197b0	CMainGameComponent::IsEditorActive
36	3	004193a0	DeleteData
3	3	0042da20	CDefClassBase::SetInstantiationName
17	3	0042a2b9	SetStaticCast<NUISystem::CComponent>
65	3	00431020	UpdateShadowScene
23	2	00416268	BeginInputLoading
5	2	004197a0	CMainGameComponent::SetQuit
22	2	0041c7c0	operator!=
5	2	0042da50	CDefClassBase::GetPSubDefInfo
36	2	0042d9a0	`vector_deleting_destructor'
