address	verdict	file	flag
00401284	RELOC	Global_Exit_00401284.cpp	Oy
00401296	DIFFER(38v38)	Global_OnExit_00401296.cpp	Oy
004012bc	RELOC	global_atexit_004012bc.cpp	Oy
004012ce	DIFFER(80v61)	Global_RTCInitialize_004012ce.cpp	Oy
00401356	EXACT	Global_InitTerm_00401356.cpp	Oy
0040135c	RELOC	Global_SetDefaultPrecision_0040135c.cpp	Oy
0040138c	EXACT	Global_SEHProlog_0040138c.cpp	Oy
004013c7	EXACT	Global_SEHEpilog_004013c7.cpp	Oy
004013de	EXACT	Global_DllOnExit_004013de.cpp	Oy
00401480	NO_ORACLE	global_sub00401480_00401480.cpp	
00401490	RELOC	CEngineMap_PeekWaterHasType_00401490.cpp	Oy
004014a0	RELOC	Global_CCRC_Calc_004014a0.cpp	Oy
00401630	RELOC	CAIStateGroupCreatureUseCoverBase_CAIStateGroupCreatureUseCoverBase_00401630.cpp	Oy
00401650	EXACT	CAFile_IsIOFinished_00401650.cpp	Oy
00401660	EXACT	CAFile_GetAlignment_00401660.cpp	Oy
00401670	EXACT	CDiskFileWin32_GetLength_00401670.cpp	Oy
00401680	EXACT	CDiskFileWin32_IsOpen_00401680.cpp	Oy
00401690	RELOC	CDiskFileWin32_GetPathnameCDiskFileWin32UBEAVCWideS_00401690.cpp	Oy
004016b0	RELOC	CThingTrackNode_vectordeletingdestructor_004016b0.cpp	Oy
00401780	RELOC	global_GFClearBadExitFlag_00401780.cpp	Oy
004017b0	RELOC	Global_GFConfigDetection_004017b0.cpp	Oy
00401b20	RELOC	Global_GFFreeConfigDetection_00401b20.cpp	Oy
00401b80	RELOC	Global_GFUninitialise_00401b80.cpp	Oy
00401c00	DIFFER(42v744)	Global_GFHandleSystemInitError_00401c00.cpp	Oy
00401f30	RELOC	Global_GFGetBuildNumber2_00401f30.cpp	Oy
00401fe0	RELOC	EULA_DoEULAThings_00401fe0.cpp	Oy
