address	module	status	retail_bytes	object_text_bytes	object_symbol	first_difference	matching_prefix_bytes	relocation_count	relocation_offsets	retail_sha256	object_sha256
00401f30	_global	RELOCATION_MATCH	162	162	?GFGetBuildNumber2@@YAXXZ	5	5	16	0x5;0xe;0x17;0x22;0x2c;0x35;0x47;0x4f;0x5f;0x69;0x6e;0x77;0x83;0x88;0x91;0x9a	6fc05bf331bd72b11d2bb002fb22916b3743128d77ea00e7fec1c298a39da472	da101fd37f09646073dca0fe71af648c1b62e82578413113afaf68222131c972
00a7a650	CNavQuadTree	DIFFER	264	275	?LinkToNeighbouringMaps@CNavQuadTree@@QAEXABVCNavigatorManager@@@Z	2	2	13	0x29;0x3b;0x5d;0x63;0x83;0x8b;0x96;0xa5;0xb1;0xb7;0xd7;0xdf;0xfd	1a5b9729f0e6390f39acef0a005af0bdf5de1a6c22eb70f170e86a4edf16055b	39f1353ef9cd3b4ac8763c8324e586e3e21ad2536a9b74a1bc421c27abaea7f2
00a77480	CNavQuadTree	RELOCATION_MATCH	117	117	?JoinNavigationLayers@CNavQuadTree@@QAEXXZ	25	25	4	0x19;0x27;0x50;0x61	404e65a9b25f248c6730ae36cc22f087dfd24ff914403f0980fe693fcbd1f7d1	e46e2eba6b62c077dbdf28492ae743878cee1d07dfeb29dfc4ccb5f639769442
00a77500	CNavQuadTree	RELOCATION_MATCH	53	53	?VerifyTransitionPoints@CNavQuadTree@@QBEXXZ	24	24	2	0x18;0x24	5014a6f5bb91be954bc5fcfd1096771abbc68caf375fff0bcbdc4993991201fb	5a844323f840ab2e9b9e64307663a04fb46c6e500c64a02e701e55281105532d
0040bb90	_global	DIFFER	188	144	?CUserProfileManager_SaveAndCleanup@@YIXPAVCUserProfileManager@@@Z	5	5	2	0x10;0x54	38b1f42fdb4e30b63c01f7b8024dce19eadd2406e880487bf8975dc9058c4847	dcb8d6bd5b55da77ca2ecd244e060a208e2643cdae7386adbcec8b996ad87fbb
00404a90	_global	RELOCATION_MATCH	147	147	?$E2@@YAXXZ	9	9	19	0x9;0xf;0x19;0x1f;0x29;0x30;0x36;0x3b;0x41;0x4a;0x50;0x5a;0x64;0x6e;0x74;0x7a;0x80;0x86;0x8d	6f9b9257579a0b1b8ea46cc630d52be8d3849d9e92cabbf11ad78cc3740f7cdf	cf5671de6b43060da4450734dddf05818b55c58379f91a8508686a795f6ff9ad
00404310	_global	RELOCATION_MATCH	46	46	?CCharString_ComputeCRC32@@YIKPAUCCharStringOverlay@@@Z	18	18	3	0x12;0x1c;0x29	99c38e6e21174541a51a74a6882057bcd9bda1c9d59706f3bbe0e3015b35a62f	400f0b73a0c9fe2ae1fd766ad7f9fdd977f25305cf8282dd4434d7ee9af736e7
0040138c	_global	MATCH	59	59	___SEH_prolog		59	0		c92c482529877f8790ddd5a755267b0d091985a089527fb60f217119d1d9207e	c92c482529877f8790ddd5a755267b0d091985a089527fb60f217119d1d9207e
00405ba0	_global	DIFFER	30	30	?Std_Move_Backward@@YIPAXPAX00@Z	9	9	1	0x11	c0dafd9901d83a21116ee902037e1721516cca52406835e5cbbb26667117110a	fb9818eec65bf3943ea1fa30011b9b6de9cecd417c3242f103fa86a9b744a383
00403c60	_global	DIFFER	75	68	?MemCmp_Unsigned16@@YAHPBG0K@Z	0	0	0		0590fe7c4d9b3d4dc4b347fc45e46210e8b79713d5121e9c97b9834dd8f5fd44	6ae6e6766b2b84a2c40df0e288c8f94b05e660b4932750c93d3cbc4a8692e400
