address	name	module	checker_verdict	origin	snapshot	declaration_header	sha256	bytes	integrity	integrity_detail	host_cpp20_syntax	compiler_errors	first_blocker	missing_dependencies	vc71_incompatibilities	vc71_features	semantic_hazards	compile_ready
0045370a	CThingBuildingDef_CopyAssign_2	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\45\0x0045370A_global_CThingBuildingDef_CopyAssign_2.cpp		71e0ff7cc99219f06285f6a674c7d97678d5adcf019542fb868dff6347fe1ee5	3997	PASS		FAIL	20	static assertion failed	CThingBuildingDef	50	auto:2;static_assert:23;std-fixed-width:25		0
0045493e	Copy_MemoryStepped	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\45\0x0045493E_global_Copy_MemoryStepped.cpp		426bdede7dfe64e8fe726f16084c87af4727225fefb6170410df8382c730a2e0	532	PASS		PASS	0			3	std-fixed-width:3		0
00458833	CPhysicalPrimitiveInit_Transfer	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\45\0x00458833_global_CPhysicalPrimitiveInit_Transfer.cpp		35eff13007ca132f060a1097c13129a981bc9b3686836238932d87f8d07aab5f	2299	PASS		FAIL	9	'CMemoryDataInputStream' does not name a type	CDataOutputStream;CMemoryDataInputStream;CPersistContext;CPhysicalPrimitiveInit	10	auto:2;nullptr:2;static_assert:3;std-fixed-width:3		0
00459af3	CParentDefClassBase_ConstructorWithVectors	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\45\0x00459AF3_global_CParentDefClassBase_ConstructorWithVectors.cpp		75eea34dc7d3a10daa18c3f86eaf67494ef7606e872577364371ccab38d79bfe	2119	PASS		PASS	0			13	auto:1;static_assert:6;std-fixed-width:5;using-alias:1		0
0045baaa	CActiveFile_AssignFrom	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\45\0x0045BAAA_global_CActiveFile_AssignFrom.cpp		277299cf73738db83ba8a666e6e0a44c8ed091256985b1dfd59b29f60272e859	4608	PASS		FAIL	7	'CRGBColour' does not name a type	CActiveFile;CRGBColour	35	auto:3;static_assert:3;std-fixed-width:29		0
0045bbc5	Vector_AllocateAndCopyRGB	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\45\0x0045BBC5_global_Vector_AllocateAndCopyRGB.cpp		8018a7ae133a2913d0a6a12620195c2185dec4313725541225652f4387461d68	510	PASS		FAIL	4	'CRGBColour' has not been declared	CRGBColour	2	auto:1;nullptr:1		0
0045bcc1	CActiveFile_CopyRange	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\45\0x0045BCC1_global_CActiveFile_CopyRange.cpp		a63c5e125c71a5c901d4e8a59a06f4ad1ba6a6ec311694d65d308ef026ac188b	525	PASS		PASS	0			2	std-fixed-width:2		0
0045bcf2	CActiveFile_AllocateAndCopy	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\45\0x0045BCF2_global_CActiveFile_AllocateAndCopy.cpp		2d81bdfebac063c18136837b91e63438664e9bedd879d64021afe0dd34671b11	561	PASS		PASS	0			1	nullptr:1		0
0045c19f	CTCCarryable_AssignTreeStructure	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\45\0x0045C19F_global_CTCCarryable_AssignTreeStructure.cpp		0f5299e7712fa162dad8cd58337a2a0d56f0d78ba107d13c243211c69346b9fc	2845	PASS		PASS	0			18	auto:4;nullptr:5;static_assert:7;std-fixed-width:2		0
0045c3cf	CTCCarryable_AssignClonedTree	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\45\0x0045C3CF_global_CTCCarryable_AssignClonedTree.cpp		d3409db9cc6c8ebc84e7ffcf9f605c142b66e6454a7113bd5d884551d4e90c42	2736	PASS		PASS	0			18	auto:4;nullptr:5;static_assert:7;std-fixed-width:2		0
0045c442	TreeNode_CloneDeep	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\45\0x0045C442_global_TreeNode_CloneDeep.cpp		02d917ba0a809526734cddbfd3a1b9035b54ae0033c8ad71a943783d7908061d	2287	PASS		PASS	0			20	auto:3;nullptr:7;static_assert:5;std-fixed-width:5		0
0045c4d2	TreeNode_AllocData	_global	PASS	wave3	D:\Documents\FableTLC\rebuild\candidates\snapshots\00\45\0x0045C4D2_global_TreeNode_AllocData.cpp		35fa51ffe714b7746e2a0a53ecd6aa85d4cbd4d65d8e1370fb22fe0f4c4d8e6c	702	PASS		PASS	0			11	auto:1;nullptr:1;static_assert:3;std-fixed-width:6		0
