address	name	module	calling_convention	return_type	parameter_count	parameter_types	evidence
00401650	CAFile::IsIOFinished	CAFile	__thiscall	bool	1	CAFile *	VC7.1 undname: public: virtual bool __thiscall CAFile::IsIOFinished(void)const
00401660	CAFile::GetAlignment	CAFile	__thiscall	long	1	CAFile *	VC7.1 undname: public: virtual long __thiscall CAFile::GetAlignment(void)const
00401670	CDiskFileWin32::GetLength	CDiskFileWin32	__thiscall	long	1	CDiskFileWin32 *	VC7.1 undname: public: virtual long __thiscall CDiskFileWin32::GetLength(void)const
00401680	CDiskFileWin32::IsOpen	CDiskFileWin32	__thiscall	bool	1	CDiskFileWin32 *	VC7.1 undname: public: virtual bool __thiscall CDiskFileWin32::IsOpen(void)const
00405d30	CMemoryFile::IsOpen	CMemoryFile	__thiscall	bool	1	CMemoryFile *	VC7.1 undname: public: virtual bool __thiscall CMemoryFile::IsOpen(void)const
00405fa0	CDataInputStream::GetPosition	CDataInputStream	__thiscall	ulong	1	CDataInputStream *	VC7.1 undname: public: virtual unsigned long __thiscall CDataInputStream::GetPosition(void)const
004067f0	CUserProfileManager::OnPreDeviceReset	CUserProfileManager	__thiscall	void	1	CUserProfileManager *	VC7.1 undname: protected: virtual void __thiscall CUserProfileManager::OnPreDeviceReset(void)
00406800	CUserProfileManager::OnPostDeviceReset	CUserProfileManager	__thiscall	bool	1	CUserProfileManager *	VC7.1 undname: protected: virtual bool __thiscall CUserProfileManager::OnPostDeviceReset(void)
00412050	CMemoryFile::GetPosition	CMemoryFile	__thiscall	long	1	CMemoryFile *	VC7.1 undname: public: virtual long __thiscall CMemoryFile::GetPosition(void)const
00412060	CMemoryFile::GetLength	CMemoryFile	__thiscall	long	1	CMemoryFile *	VC7.1 undname: public: virtual long __thiscall CMemoryFile::GetLength(void)const
00415920	CGameComponent::Init	CGameComponent	__thiscall	void	1	CGameComponent *	VC7.1 undname: public: virtual void __thiscall CGameComponent::Init(void)
00415930	CGameComponent::SetQuit	CGameComponent	__thiscall	void	1	CGameComponent *	VC7.1 undname: protected: virtual void __thiscall CGameComponent::SetQuit(void)
00415e83	CMainGameComponent::OnPreDeviceReset	CMainGameComponent	__thiscall	void	1	CMainGameComponent *	VC7.1 undname: public: virtual void __thiscall CMainGameComponent::OnPreDeviceReset(void)
004175da	CMainGameComponent::OnPostDeviceReset	CMainGameComponent	__thiscall	bool	1	CMainGameComponent *	VC7.1 undname: public: virtual bool __thiscall CMainGameComponent::OnPostDeviceReset(void)
004197a0	CMainGameComponent::SetQuit	CMainGameComponent	__thiscall	void	1	CMainGameComponent *	VC7.1 undname: public: virtual void __thiscall CMainGameComponent::SetQuit(void)
004197b0	CMainGameComponent::IsEditorActive	CMainGameComponent	__thiscall	bool	1	CMainGameComponent *	VC7.1 undname: public: virtual bool __thiscall CMainGameComponent::IsEditorActive(void)const
00429a2f	CAnimFilterNoGroup::Clone	CAnimFilterNoGroup	__thiscall	CAnimFilterBase *	1	CAnimFilterNoGroup *	VC7.1 undname: public: virtual class CAnimFilterBase * __thiscall CAnimFilterNoGroup::Clone(void)const
0042d940	CResource::UnloadResource	CResource	__thiscall	bool	1	CResource *	VC7.1 undname: public: virtual bool __thiscall CResource::UnloadResource(void)
0042d950	CResource::IsResourceLoaded	CResource	__thiscall	bool	1	CResource *	VC7.1 undname: public: virtual bool __thiscall CResource::IsResourceLoaded(void)const
0042d960	CResource::OnResourceLoaded	CResource	__thiscall	void	1	CResource *	VC7.1 undname: public: virtual void __thiscall CResource::OnResourceLoaded(void)
0042d970	CResource::CanAbortResourceLoad	CResource	__thiscall	bool	2	CResource *,long	VC7.1 undname: public: virtual bool __thiscall CResource::CanAbortResourceLoad(long)const
0042d980	CResource::OnResourceLoadAborted	CResource	__thiscall	void	1	CResource *	VC7.1 undname: public: virtual void __thiscall CResource::OnResourceLoadAborted(void)
0042da10	CDefClassBase::GetInstantiationName	CDefClassBase	__thiscall	CDefString	1	CDefClassBase *	VC7.1 undname: public: virtual class CDefString __thiscall CDefClassBase::GetInstantiationName(void)const
0042da20	CDefClassBase::SetInstantiationName	CDefClassBase	__thiscall	void	2	CDefClassBase *,CDefString	VC7.1 undname: public: virtual void __thiscall CDefClassBase::SetInstantiationName(class CDefString)
0042da30	CDefClassBase::AddSubDef	CDefClassBase	__thiscall	void	4	CDefClassBase *,CCharString const &,long,long	VC7.1 undname: public: virtual void __thiscall CDefClassBase::AddSubDef(class CCharString const &,long,long)
0042da40	CDefClassBase::RemoveSubDef	CDefClassBase	__thiscall	void	2	CDefClassBase *,CCharString const &	VC7.1 undname: public: virtual void __thiscall CDefClassBase::RemoveSubDef(class CCharString const &)
0042da50	CDefClassBase::GetPSubDefInfo	CDefClassBase	__thiscall	CDefClassBase::CSubDefInfo *	2	CDefClassBase *,CCharString const &	VC7.1 undname: public: virtual class CDefClassBase::CSubDefInfo * __thiscall CDefClassBase::GetPSubDefInfo(class CCharString const &)
0042da60	CDefClassBase::GetPSubDefInfo	CDefClassBase	__thiscall	CDefClassBase::CSubDefInfo const *	2	CDefClassBase *,CCharString const &	VC7.1 undname: public: virtual class CDefClassBase::CSubDefInfo const * __thiscall CDefClassBase::GetPSubDefInfo(class CCharString const &)const
0042da70	CDefClassBase::IsParentDef	CDefClassBase	__thiscall	bool	1	CDefClassBase *	VC7.1 undname: public: virtual bool __thiscall CDefClassBase::IsParentDef(void)const
0042da80	CDefClassBase::PostTransfer	CDefClassBase	__thiscall	void	1	CDefClassBase *	VC7.1 undname: public: virtual void __thiscall CDefClassBase::PostTransfer(void)
0042da90	CDefClassBase::Validate	CDefClassBase	__thiscall	void	3	CDefClassBase *,CValidateDefinitionInitBase const &,CCharString const &	VC7.1 undname: public: virtual void __thiscall CDefClassBase::Validate(class CValidateDefinitionInitBase const &,class CCharString const &)const
