class	header	size	named_members	status	note
C2DBoxF		0	0	HAND_OWNED	
C2DBoxI		0	0	HAND_OWNED	
C3DAnimFileBoneMaskChunk	C3DAnimFileBoneMaskChunk.h	36	1	OK	0 retail files
C3DAnimFileHelpersChunk	C3DAnimFileHelpersChunk.h	52	0	OK	0 retail files
C3DAnimFileMovementVectorChunk	C3DAnimFileMovementVectorChunk.h	64	3	OK	0 retail files
C3DAnimFileXAllocationSizeChunk	C3DAnimFileXAllocationSizeChunk.h	20	1	OK	0 retail files
C3DAnimFileXSequenceChunk	C3DAnimFileXSequenceChunk.h	32	1	OK	0 retail files
C3DAnimation2	C3DAnimation2.h	136	20	OK	2 retail files
C3DAnimationInfo	C3DAnimationInfo.h	40	7	OK	0 retail files
C3DAnimationState	C3DAnimationState.h	16	2	OK	0 retail files
C3DAnimationStateAlpha	C3DAnimationStateAlpha.h	20	1	OK	0 retail files
C3DAnimationTransitionState	C3DAnimationTransitionState.h	20	3	OK	0 retail files
C3DMesh2	_quarantine/C3DMesh2.h	244	18	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
C3DMeshFileClothChunk	C3DMeshFileClothChunk.h	80	4	OK	0 retail files
C3DMeshFileDummyObjectChunk	C3DMeshFileDummyObjectChunk.h	140	5	OK	0 retail files
C3DMeshFileEngineMaterialChunk	C3DMeshFileEngineMaterialChunk.h	92	13	OK	1 retail files
C3DMeshFileGroupChunk	C3DMeshFileGroupChunk.h	72	2	OK	0 retail files
C3DMeshFileHelperPointChunk	C3DMeshFileHelperPointChunk.h	76	6	OK	0 retail files
C3DMeshFileHelpersChunk	C3DMeshFileHelpersChunk.h	52	0	OK	0 retail files
C3DMeshFileMaterialChunk	C3DMeshFileMaterialChunk.h	88	9	OK	0 retail files
C3DMeshFileMaterialExtChunk	C3DMeshFileMaterialExtChunk.h	20	1	OK	0 retail files
C3DMeshFileMaterialListChunk	C3DMeshFileMaterialListChunk.h	52	0	OK	0 retail files
C3DMeshFilePartitionChunk	C3DMeshFilePartitionChunk.h	24	2	OK	0 retail files
C3DMeshFilePrimitiveChunk	C3DMeshFilePrimitiveChunk.h	68	1	OK	0 retail files
C3DMeshFileSmoothingGroupsChunk	C3DMeshFileSmoothingGroupsChunk.h	32	1	OK	0 retail files
C3DMeshFileSubMeshChunk	C3DMeshFileSubMeshChunk.h	72	5	OK	0 retail files
C3DMeshFileTransformationChunk	C3DMeshFileTransformationChunk.h	100	1	OK	0 retail files
C3DMeshFileTrianglesChunk	C3DMeshFileTrianglesChunk.h	68	1	OK	0 retail files
C3DMeshFileUniqueVerticesChunk	C3DMeshFileUniqueVerticesChunk.h	32	1	OK	0 retail files
C3DMeshFileVerticesChunk	C3DMeshFileVerticesChunk.h	32	1	OK	1 retail files
C3DMeshFileXAnimatedPrimitiveChunk	C3DMeshFileXAnimatedPrimitiveChunk.h	60	2	OK	0 retail files
C3DMeshFileXBoundingBoxChunk	C3DMeshFileXBoundingBoxChunk.h	40	6	OK	0 retail files
C3DMeshFileXBoundingSphereChunk	C3DMeshFileXBoundingSphereChunk.h	32	4	OK	0 retail files
C3DMeshFileXMappingInfoChunk	C3DMeshFileXMappingInfoChunk.h	20	1	OK	0 retail files
C3DMeshFileXTextureIndexChunk	C3DMeshFileXTextureIndexChunk.h	20	1	OK	1 retail files
C3DMeshFileXTriangleStripChunk	C3DMeshFileXTriangleStripChunk.h	32	1	OK	0 retail files
C3DMeshFileXUVTangentChunk	C3DMeshFileXUVTangentChunk.h	48	2	OK	0 retail files
C3DMeshFileXVertexDataChunk	C3DMeshFileXVertexDataChunk.h	80	13	OK	1 retail files
C3DMeshInfo	C3DMeshInfo.h	96	8	OK	1 retail files
C3DMeshLODInfo	_quarantine/C3DMeshLODInfo.h	52	7	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CACompressor	CACompressor.h	32	4	OK	0 retail files
CAFile		0	0	HAND_OWNED	
CAIBrain	CAIBrain.h	176	18	OK	0 retail files
CAICreatureWillPowerIndicatorDef	CAICreatureWillPowerIndicatorDef.h	44	1	OK	0 retail files
CAIGameCameraBase	CAIGameCameraBase.h	4	0	OK	0 retail files
CAIScratchpadDef	CAIScratchpadDef.h	156	35	OK	0 retail files
CAIStateGroupBase	CAIStateGroupBase.h	20	6	OK	0 retail files
CAIStateGroupBehaviourBase	CAIStateGroupBehaviourBase.h	52	7	OK	0 retail files
CAIStateGroup_ApprenticeHero	CAIStateGroup_ApprenticeHero.h	48	8	OK	1 retail files
CAIStateGroup_AvoidRegionExit	CAIStateGroup_AvoidRegionExit.h	32	3	OK	0 retail files
CAIStateGroup_BalverineCornered	CAIStateGroup_BalverineCornered.h	52	6	OK	0 retail files
CAIStateGroup_BalverineJumpAtFleeingEnemy	CAIStateGroup_BalverineJumpAtFleeingEnemy.h	32	2	OK	0 retail files
CAIStateGroup_BanditGossip	CAIStateGroup_BanditGossip.h	40	2	OK	1 retail files
CAIStateGroup_BanditKingCharge	CAIStateGroup_BanditKingCharge.h	28	1	OK	0 retail files
CAIStateGroup_BanditKingLunge	CAIStateGroup_BanditKingLunge.h	32	2	OK	0 retail files
CAIStateGroup_BanditKingThrowWeapons	CAIStateGroup_BanditKingThrowWeapons.h	28	1	OK	0 retail files
CAIStateGroup_BanditPlayDice	CAIStateGroup_BanditPlayDice.h	40	5	OK	0 retail files
CAIStateGroup_BanditPlot	CAIStateGroup_BanditPlot.h	40	0	OK	0 retail files
CAIStateGroup_BirdGroundWander	CAIStateGroup_BirdGroundWander.h	24	1	OK	0 retail files
CAIStateGroup_BriarRose	CAIStateGroup_BriarRose.h	32	2	OK	1 retail files
CAIStateGroup_BriarRoseWillUse	CAIStateGroup_BriarRoseWillUse.h	32	2	OK	0 retail files
CAIStateGroup_BuyFromSeller	CAIStateGroup_BuyFromSeller.h	24	1	OK	0 retail files
CAIStateGroup_CarryCrateAndFollow	CAIStateGroup_CarryCrateAndFollow.h	56	6	OK	0 retail files
CAIStateGroup_ChickenBeg	CAIStateGroup_ChickenBeg.h	20	0	OK	0 retail files
CAIStateGroup_Clean	_quarantine/CAIStateGroup_Clean.h	40	6	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CAIStateGroup_CleanHouse	CAIStateGroup_CleanHouse.h	40	1	OK	1 retail files
CAIStateGroup_CreatureAdvanceInCover	CAIStateGroup_CreatureAdvanceInCover.h	80	0	OK	0 retail files
CAIStateGroup_CreatureFindCover	CAIStateGroup_CreatureFindCover.h	80	0	OK	0 retail files
CAIStateGroup_CreatureRangedCombat2	CAIStateGroup_CreatureRangedCombat2.h	32	2	OK	0 retail files
CAIStateGroup_CreatureRangedCombatFireAtSpecificTargets	CAIStateGroup_CreatureRangedCombatFireAtSpecificTargets.h	28	1	OK	0 retail files
CAIStateGroup_CreatureRangedCombatUseWillShield	CAIStateGroup_CreatureRangedCombatUseWillShield.h	20	0	OK	0 retail files
CAIStateGroup_CreatureTakeCover	CAIStateGroup_CreatureTakeCover.h	80	0	OK	0 retail files
CAIStateGroup_CreatureUseCoverBase	CAIStateGroup_CreatureUseCoverBase.h	80	11	OK	1 retail files; suspect=CAIStateGroupCreatureUseCoverBase_CreatureUseCoverBaseInit_00970600.cpp
CAIStateGroup_Drunk	CAIStateGroup_Drunk.h	24	1	OK	0 retail files
CAIStateGroup_EarthTroll	CAIStateGroup_EarthTroll.h	52	0	OK	0 retail files
CAIStateGroup_EatAtHome	CAIStateGroup_EatAtHome.h	76	1	OK	1 retail files
CAIStateGroup_EatAtTable	_quarantine/CAIStateGroup_EatAtTable.h	76	8	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CAIStateGroup_EnemyCreatureBase	CAIStateGroup_EnemyCreatureBase.h	28	1	OK	0 retail files
CAIStateGroup_FollowPlayer	CAIStateGroup_FollowPlayer.h	32	2	OK	0 retail files
CAIStateGroup_GameMaster	_quarantine/CAIStateGroup_GameMaster.h	176	3	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CAIStateGroup_Gaze	CAIStateGroup_Gaze.h	48	6	OK	0 retail files
CAIStateGroup_GazeAtHome	CAIStateGroup_GazeAtHome.h	48	1	OK	1 retail files
CAIStateGroup_GazeAtWork	CAIStateGroup_GazeAtWork.h	48	1	OK	1 retail files
CAIStateGroup_GazeOutside	CAIStateGroup_GazeOutside.h	48	0	OK	0 retail files
CAIStateGroup_Guildmaster	CAIStateGroup_Guildmaster.h	64	6	OK	0 retail files
CAIStateGroup_HandyMan	CAIStateGroup_HandyMan.h	24	1	OK	0 retail files
CAIStateGroup_HoverAttack	CAIStateGroup_HoverAttack.h	28	0	OK	0 retail files
CAIStateGroup_HoverAttackArea	CAIStateGroup_HoverAttackArea.h	40	3	OK	0 retail files
CAIStateGroup_HoverAttackUnlessTargetIsFleeing	CAIStateGroup_HoverAttackUnlessTargetIsFleeing.h	28	0	OK	0 retail files
CAIStateGroup_HoverHornetQueen	CAIStateGroup_HoverHornetQueen.h	112	15	OK	1 retail files
CAIStateGroup_HoverHornetQueenTakeDamage	CAIStateGroup_HoverHornetQueenTakeDamage.h	40	4	OK	0 retail files
CAIStateGroup_HoverKeepInArea	CAIStateGroup_HoverKeepInArea.h	40	3	OK	0 retail files
CAIStateGroup_HoverWander	CAIStateGroup_HoverWander.h	28	0	OK	0 retail files
CAIStateGroup_HoverWanderAroundThing	CAIStateGroup_HoverWanderAroundThing.h	36	1	OK	0 retail files
CAIStateGroup_IceTrollIcicleAssault	CAIStateGroup_IceTrollIcicleAssault.h	28	1	OK	0 retail files
CAIStateGroup_IceTrollIcicleAttack	CAIStateGroup_IceTrollIcicleAttack.h	28	1	OK	0 retail files
CAIStateGroup_IceTrollPoundGroundAttack	CAIStateGroup_IceTrollPoundGroundAttack.h	28	1	OK	0 retail files
CAIStateGroup_IdleAtHome	CAIStateGroup_IdleAtHome.h	20	0	OK	0 retail files
CAIStateGroup_JackDragon	CAIStateGroup_JackDragon.h	320	67	OK	0 retail files
CAIStateGroup_JackOfBladesBase	CAIStateGroup_JackOfBladesBase.h	84	7	OK	0 retail files
CAIStateGroup_JackOfBladesStage2	CAIStateGroup_JackOfBladesStage2.h	92	1	OK	0 retail files
CAIStateGroup_KidHurtSelfRunToMother	CAIStateGroup_KidHurtSelfRunToMother.h	24	1	OK	0 retail files
CAIStateGroup_KidWanderNearKids	CAIStateGroup_KidWanderNearKids.h	20	0	OK	0 retail files
CAIStateGroup_KidWatchHopscotch	_quarantine/CAIStateGroup_KidWatchHopscotch.h	68	11	QUARANTINED	2 conflict(s) in 1 file(s) vs 0 agreeing
CAIStateGroup_LightHomeCandle	CAIStateGroup_LightHomeCandle.h	28	2	OK	1 retail files
CAIStateGroup_LightWorkCandle	CAIStateGroup_LightWorkCandle.h	28	1	OK	1 retail files
CAIStateGroup_LookAtInterestingThings	CAIStateGroup_LookAtInterestingThings.h	24	1	OK	0 retail files
CAIStateGroup_MazeBase	_quarantine/CAIStateGroup_MazeBase.h	32	2	QUARANTINED	1 conflict(s) in 1 file(s) vs 0 agreeing
CAIStateGroup_MazeDefensiveMeleeCombat	CAIStateGroup_MazeDefensiveMeleeCombat.h	36	1	OK	0 retail files
CAIStateGroup_MazeRangedCombat	CAIStateGroup_MazeRangedCombat.h	36	1	OK	0 retail files
CAIStateGroup_MazeShieldedChase	CAIStateGroup_MazeShieldedChase.h	32	0	OK	0 retail files
