class	offset	donor_type	donor_name	donor_size	retail_type	retail_name	retail_size	verdict	evidence
C2DLineF	0x0	float	Point1_X	4	C2DVector	Point1	4	CONFLICT	C2DLineF_GetHighestX_00a56bb0.cpp
C2DLineF	0x0	float	Point1_X	4	C2DVector	Point1	4	CONFLICT	C2DLineF_GetHighestY_00a56c10.cpp
C2DLineF	0x0	float	Point1_X	4	C2DVector	Point1	4	CONFLICT	C2DLineF_GetLowestX_00a56b80.cpp
C2DLineF	0x0	float	Point1_X	4	C2DVector	Point1	4	CONFLICT	C2DLineF_GetLowestY_00a56be0.cpp
C2DLineF	0x4	float	Point1_Y	4	C2DVector	Point2	4	CONFLICT	C2DLineF_GetHighestX_00a56bb0.cpp
C2DLineF	0x4	float	Point1_Y	4	C2DVector	Point2	4	CONFLICT	C2DLineF_GetHighestY_00a56c10.cpp
C2DLineF	0x4	float	Point1_Y	4	C2DVector	Point2	4	CONFLICT	C2DLineF_GetLowestX_00a56b80.cpp
C2DLineF	0x4	float	Point1_Y	4	C2DVector	Point2	4	CONFLICT	C2DLineF_GetLowestY_00a56be0.cpp
C3DAnimFileTimingEventChunk	0x10	CCharStringData*	Name_PStringData	4	CCharString	Name	4	AGREE_KIND_SOFT	C3DAnimFileTimingEventChunk_WriteToFile_00aae220.cpp
C3DAnimFileTimingEventChunk	0x14	float	Time	4	float	Time	4	AGREE	C3DAnimFileTimingEventChunk_WriteToFile_00aae220.cpp
C3DAnimFileXAllocationSizeChunk	0x10	unsigned long	AllocSize	4	unsigned long	AllocSize	4	AGREE	C3DAnimFileXAllocationSizeChunk_WriteToFile_00aa4500.cpp
C3DAnimation2	0x30	unsigned char	_pad_0x30	4	Sub*	sub	4	RETAIL_ONLY	global_Sizeof_00a4c1c0.cpp
C3DAnimation2	0x30	unsigned char	_pad_0x30	4	long	sub	4	RETAIL_ONLY	previous header
C3DAnimation2	0x40	long	MemoryHandle	4	Held*	held	4	AGREE_KIND_SOFT	C3DAnimation2_HasRotation_00a4c1a0.cpp
C3DAnimationInfo	0x10	float	Duration	4	float	Duration	4	AGREE	C3DAnimationInfo_Sizeof_00a265b0.cpp
C3DAnimationInfo	0x14	float	NonLoopingDuration	4	float	NonLoopingDuration	4	AGREE	C3DAnimationInfo_Sizeof_00a265b0.cpp
C3DAnimationInfo	0xc	CIVCountedPointeeBase*	Data_Object	4	CAnimationData*	Data	4	AGREE	C3DAnimationInfo_Sizeof_00a265b0.cpp
C3DAnimationTransitionState	0x10	float	Progress	4	float	f10	4	AGREE	C3DAnimationTransitionState_FindDominantAnimation_00710540.cpp
C3DAnimationTransitionState	0x8	CIVCountedPointeeBase*	StartState_Object	4	IAnim*	a8	4	AGREE	C3DAnimationTransitionState_FindDominantAnimation_00710540.cpp
C3DAnimationTransitionState	0xc	CIVCountedPointeeBase*	EndState_Object	4	IAnim*	ac	4	AGREE	C3DAnimationTransitionState_FindDominantAnimation_00710540.cpp
C3DMesh2	0x0	void*	__vftable	4	char	m_leading	229	CONFLICT	C3DMesh2_CanRelocateData_00a8ca00.cpp
C3DMesh2	0xe5	CMatrix3x4	InverseTransform	48	bool	m_bRelocationBlocked	1	CONTAINED	C3DMesh2_CanRelocateData_00a8ca00.cpp
C3DMeshFileEngineMaterialChunk	0x0	void*	__vftable	4	char*	m_data	4	AGREE	C3DMeshFileEngineMaterialChunk_GetChunkDescriptionC3DMeshFileEngineMaterialChun_00ac6270.cpp
C3DMeshFileMaterialExtChunk	0x10	unsigned long	SelfIllumination	4	unsigned long	SelfIllumination	4	AGREE	C3DMeshFileMaterialExtChunk_WriteToFile_00abfde0.cpp
C3DMeshFilePartitionChunk	0x10	C3DMeshPartitionElement*	PartitionTree_Data	4	Sub*	f10	4	AGREE	C3DMeshFilePartitionChun_WriteToFile_00ac2920.cpp
C3DMeshFileVerticesChunk	0x0	void*	__vftable	4	char*	Data	4	AGREE	C3DMeshFileVerticesChunk_GetChunkDescriptionC3DMeshFileVerticesChunkUBEBV_00abec70.cpp
C3DMeshFileXMappingInfoChunk	0x10	float	AverageTextureStretch	4	float	AverageTextureStretch	4	AGREE	C3DMeshFileXMappingInfoChunk_WriteToFile_00aa4c00.cpp
C3DMeshFileXTextureIndexChunk	0x10	unsigned long	Index	4	void*	f10	4	AGREE_KIND_SOFT	C3DMeshFileXTextureIndex_WriteToFile_00aa4af0.cpp
C3DMeshFileXVertexDataChunk	0x0	void*	__vftable	4	char*	Data	4	AGREE	C3DMeshFileXVertexDataChunk_GetChunkDescriptionC3DMeshFileXVertexDataChunkUB_00aa7230.cpp
C3DMeshInfo	0x3c	long	PhysicsMeshIndex	4	int	idx	4	AGREE	C3DMeshInfo_PeekPhysicsMesh_00a24a70.cpp
C3DMeshInfo	0x4	unsigned char	_pad_0x04	4	A*	f4	4	RETAIL_ONLY	C3DMeshInfo_PeekPhysicsMesh_00a24a70.cpp
C3DMeshInfo	0x4	unsigned char	_pad_0x04	4	long	f4	4	RETAIL_ONLY	previous header
C3DMeshLODInfo	0x0	void*	__vftable	4	char	m_leading	36	CONFLICT	C3DMeshLODInfo_IsResourceLoaded_00a23de0.cpp
C3DMeshLODInfo	0x24	CBankFileAsyncData*	FileData_Data	4	CBankFileAsyncData*	m_pAsyncData	4	AGREE	C3DMeshLODInfo_IsResourceLoaded_00a23de0.cpp
