address	name	size	bytes
004022b0	GFInitialise	311	e80b2c5a008b407ca394833b01e8fe2b5a008b4060a390833b018b4808890d84833b01c70580833b0170c43b01e8de2b5a008b5058891588833b01e8d02b5a008b8084000000a38c833b01e8c02b5a008b486ca170543701890d7c833b018b0d90833b0150a3687d3b01e811c25b0084c0740e8b15705437018915687d3b01eb558b0d90833b016a10e8f2c15b0084c0740cc705687d3b0110000000eb388b0d90833b016a18e8d5c15b0084c0740cc705687d3b0118000000eb1b8b0d90833b016a20e8b8c15b0084c0740ac705687d3b01200000008b1584833b018b82b03a00008b0d6c5437013bc873028bc1a3647d3b018b82b43a00003bc873028bc1a3607d3b01e867ac5b00e872fbffffb9d0833b01e8580d01003c017518a190833b018b80c8010000992bc2d1f8a34c543701b001c332c0c3
00415530	?FableGetDefaultLanguageName_00415530@@YI?AVCCharString@@XZ	19	566aff6808eb22018bf1e8b19658008bc65ec3
0099b6a0	?CreateFromCharString@CWideString@@SI?AV1@ABVCCharString@@@Z	13	56528bf1e897fdffff8bc65ec3
0099b720	??0CWideString@@QAE@ABV0@@Z	66	568bf1c706000000008b0d20ca3b01578b7c240c413bfe890d20ca3b01741c8b063907741685c074078bcee880fdffff8b0785c074058906ff400c5f8bc65ec20400
0099e480	?ToWideString@CCharString@@QBE?AVCWideString@@XZ	45	518bd1568d4c2404e813d2ffff8b74240c8d442404508bcee883d2ffff8d4c2404e86ad0ffff8bc65e59c20400
00403480	_WinMain@16	141	b808200300e8a6b57f00a1a8c839016828dc22016a006801001f0089842410200300ff1524fe430185c0754a6828dc22015050ff1528fe43018d8424042003008d4c2403890d887c3b01ba002003008bc8a3847c3b01e8d5515d008b9424182003008b8c240c200300528b942418200300e81af0ffff8b8c240420030033c0e8f5b47f0081c408200300c21000
00413120	GFInitialise_SetupProgressDisplay	128	83ec08568bf1e82572580084c0746a6888000000c6860c02000000c7460800000000e8d3b87e0083c40485c074098bc8e88b6b0800eb0233c0508d4c2408e8bd0bffff8d4c2404e8646e5d008b44240885c0741eff088b44240883380075138b4808ff50048b44240850e82db87e0083c404b0015e83c408c332c05e83c408c3
009974f0	CAFile::SetCurrentPath	30	568bf1e8083a000050e80076260083c40456b910ca3b01e8c44200005ec3
00997510	CAFile::GetProjectPath	146	81ec2c040000a1a8c83901568984242c04000068040100008d44241c506a008bf1ff15c0fd43016a006a008d8c2428020000518d542410528d44242850e8fa7726008d8c2434020000518d54241c5268a4a729018d442438680401000050e8d377260083c4288d4c2418518bce66c78424220200000000e8244100008b8c242c0400008bc65ee85e74260081c42c040000c3
0099aed0	CWideString::CWideString	15	8bc1c70000000000ff0520ca3b01c3
0099b510	CWideString::~CWideString	68	578bf98b0785c074338b500c4a8bca85c989500c7f20568b3785f674188b0685c0740950e8db34260083c40456e87a34260083c4045ec70700000000ff0d20ca3b015fc3
0099ebf0	CCharString::CCharString	61	568bf1c70600000000ff0500d83b01833e0074078bcee8a5fdffff8b44240885c07414803800740f8b4c240c51508bcee83bfeffff89068bc65ec20800
0099eae0	CCharString::~CCharString	12	e8cbfeffffff0d00d83b01c3
0099e4b0	CCharString::CCharString	15	8bc1c70000000000ff0500d83b01c3
009d8240	NProfileTimer::StartProfile	1	c3
009d8250	NProfileTimer::EndProfile	1	c3
009d5240	CBankFileAsync::SetEnableFailureHandling	17	33c084c90f95c04883e002a368a83c01c3
009d81e0	FableClearStartupLatch_013964A8	17	a0a864390184c07407c605a864390100c3
00404440	CFileInstallerSingleton::Get	69	a118a83c0185c0753b68a0000000e8c7a57f0083c40485c074188bc8e82f145c0050b918a83c01e844f9ffffa118a83c01c333c050b918a83c01e831f9ffffa118a83c01c3
009bc890	NTextLayoutConfig::SetPrimaryLeftAlignment	7	880deaa73c01c3
009bc8a0	NTextLayoutConfig::SetSecondaryLeftAlignment	7	880deba73c01c3
0099a2e0	FableRestoreCBaseVTable_0099A2E0	7	c70110172301c3
0099a300	FableRestoreCBaseVTable_0099A300	7	c70110172301c3
00499ce0	CProgressDisplay::CProgressDisplay	163	5333db568bf1c706b4882301895e04895e08895e0c895e10895e14895e18895e1c895e20895e24895e28895e2c895e30895e34895e38895e3c895e408d4e48895e44e8a91150008d4e4ce8814750008d4e50e879475000dd0570ed2201dd5e60b001dd0570ed220188467add5e6888467cdd0570ed2201895e54895e58dd5e70885e78885e79885e7b885e7d885e7e885e7f889e80000000889e810000008bc65e5bc3
00499a70	CProgressDisplay::SetToDisplayText	47	8a44240484c0568bf188467c7409e8dde0ffff5ec20400680ed722018d4e4ce84c555000c74644000000005ec20400
00497b30	CProgressDisplay::GetPTextBank	35	a1a0863b0185c074078b401485c07512a11c873b0185c074078b406085c0750233c0c3
0049b460	CProgressDisplay::IsActive	4	8a4179c3
009e9fd0	SetProgressDisplay	133	a138aa3c01565785c0a13caa3c018bf9743085c07420ff08a13caa3c0183380075148b4808ff5004a13caa3c0150e8b949210083c40433c0a33caa3c01a338aa3c018b77043bc68b3f743785c07421ff08a13caa3c0183380075158b4808ff50048b0d3caa3c0151e87f49210083c40485f6893d38aa3c0189353caa3c017402ff065f5ec3
009ea060	GetProgressDisplay	28	8bc18b0d38aa3c0189088b153caa3c018bca85c98950047402ff01c3
00403b10	CSystemManagerInit::CSystemManagerInit	265	5355568bf1578d4e0ce8b27359008d4e2ce88aa959008d4e30e882a9590033dbc7463c40000000c7463880000000c7464000008042c7464400000040c746480000803f895e50895e4cc74654000004008d4e5c885e58885e59885e5ae87fdbffff8dbeb80000008bcfe8527359008daebc0000008bcde845735900891e895e04c6461001895e14899e9c000000885e118d86a000000033c98bd0890a894a04894a086a08894a0c686cd6220150884a10e8fdad7f0083c40c685cd622018bcf889ea8000000e8267c5900684cd622018bcdc786b400000000000200885e19885e20895e1c885e21895e24895e28e8fe7b59005f899ec0000000899ec4000000c64634018bc65e5d5bc3
0099bf30	??H@YI?AVCWideString@@ABV0@PBG@Z	177	51568b3520ca3b01468d4424043bd0578bf9c744240800000000893520ca3b0174118b1285d2740b8b420c408954240889420c8b4c2410518d4c240ce8cff9ffff8b742408c707000000008b0d20ca3b01418d5424083bd7890d20ca3b01741a8b073bf0741485c074078bcfe82ff5ffff85f6742e8937ff460c85f674258b4e0c498bc185c0894e0c7f188b0685c0740950e84d2a260083c40456e8ec29260083c404ff0d20ca3b018bc75f5e59c20400
0099bff0	??H@YI?AVCWideString@@PBGABV0@@Z	134	5156578bf9528d4c240ce8b1f6ffff8b442410508d4c240ce8c3f8ffff8b742408c70700000000ff0520ca3b018d4c24083bcf741a8b073bf0741485c074078bcfe89af4ffff85f6742e8937ff460c85f674258b4e0c498bc185c0894e0c7f188b0685c0740950e8b829260083c40456e85729260083c404ff0d20ca3b018bc75f5e59c20400
00999230	@FablePathExists_00999230@8	111	83ec0c568bf18d4c2404e8911c00008d4c240ce838edffff508bd68d4c240ce83cfaffff508d4c2408e8722500008d4c2408e8a92200008d4c240ce8a02200008d4c2404e8871c000050ff15bcfd430183f8ff5e8d0c24740be882220000b00183c40cc3e87722000032c083c40cc3
0099ad80	@FableConstructDiskFileWin32_0099AD80@20	50	568bf1e868f5ffff8d4e18c7066cd02201e83a0100008b4424108b4c240c8b5424085051528bcee8f4f8ffff8bc65ec20c00
0099a920	@FableDiskFileWin32Close_0099A920@8	52	568bf18a461484c074248b46106a016a006a0050ff15e8fd43018b4e1051ff15a8fd43018b561052ff1530fe4301c64614005ec3
009f2d60	??0CSurface@@QAE@ABV0@@Z	55	568bf18b4c2408c7064cf822018b41048946048b410883f80289460875068b490c894e0c8b460485c074068b1050ff52048bc65ec20400
009f2f10	?InitialiseFromTextureMipmap@CSurface@@QAEXPAUIDirect3DSurface9@@@Z	66	568bf18b460485c074268b0850ff51088b542408c7460400000000c7460800000000895604c74608030000005ec204008b442408894604c74608030000005ec20400
009f37e0	?CopyFromSurface@CSurface@@QAEXPBVC2DBoxI@@ABV1@0K@Z	446	83ec4056578bf18b46048b088d5424285250ff51308b442428508d4c240ce82d00ffff8d4c2408e86401ffff84c08b7c24500f84120100008b47048b088d5424285250ff51308b442428508d4c2454e8fcfffeff8d4c2450e83301ffff84c00f85e50000006a158d4c2454e8e0fffeff8d4c2450516a006a008bcee870fdffff84c00f84c20000006a158d4c2454c7442454ffffffffe8b5fffeff8b46048d4c242851c744241c4cf82201c744242000000000c7442424000000008b1050ff52308b5424408b4424446a008d4c24548954240c518d542410528d4c242489442418e86af9ffff8b4424548b4c244c6aff5057518d4c2428e804ffffff6a008d54240c528d4c2420e8f4faffff8b4424108b542414508d4c245451528bcee8defdffff8b44241c8b0850ff51388b44241c85c0c74424184cf82201747a8b1050ff52085f5e83c440c210008b44244c33d233c985c0741f8b50048954241c8b500c895424248b108b400889542418894424208d5424188b44245485c0741f8b4804894c240c8b480c894c24148b088b4008894c2408894424108d4c24088b4424586a0050518b4f046a0051528b56046a0052e82cb620005f5e83c440c21000
009fa4e0	?CopyFromTexture@CTexture@@QAEXABV1@K@Z	289	83ec4c8b4424508b005355568be98b0850ff51348bf08b45008b105089742410ff5234894424103bf08d44240c7c048d4424108b0033db33f63bc3894424140f8ed300000057bf4cf82201eb038d49008b4424608b008b088d542414525650ff51488b442414508d4c2420897c2420895c2424895c2428e8b489ffff8d4c241c518d4c2450e8f687ffff8d4c241c897c241ce8a988ffff8b45008b108d4c2410515650ff52488b542410528d4c2430897c2430895c2434895c2438e87089ffff8d44242c508d4c2440e8b287ffff8d4c242c897c242ce86588ffff8b4c246451538d54245452538d4c244ce81092ffff8d4c243c897c243ce84388ffff8d4c244c897c244ce83688ffff8b442418463bf00f8c39ffffff5f5e5d5b83c44cc20800
0099f2e0	@FableCharStringLoadFromFile_0099F2E0@20	164	51538bd9833b00555657895c24107405e8bbf6ffff8b7c242083ffff8b6c241875148b45008bcdff50248b55008bcd8bf8ff521c2bf86a11e8fdf625008bf083c40485f674398b5e088a560c81e300000080895e08bb010000006a200ad3578bcec70600000000c746040000000088560ce83a100000895e0d8b5c2410eb0233f685f68933741585ff7e118b4c241c8b168b45005157528bcdff500c5f5e5d5b59c20c00
00404720	@FableStringParserConstruct_00404720@24	117	5356578bf1e8a65b59008d4e0cc70674d82201e8789d59008d7e108bcfe86e9d59006a10c7461400000000e8bea27f008b5c241483c4048900894004538bcf894614e849a859008b0385c07507b8f4aa2901eb028b008b4c241c8b542418518b4c24185251508bcee8a34d5b005f8bc65e5bc21000
009badd0	@FablePersistContextTextConstruct_009BADD0@32	60	8b5424108bc189108b5424148950048b5424048950088b54240889500c8b54241833c98950108a54240c894818885014884815884817884816c21800
00548520	?IsPlaying@CMovieRecoveredTail@@QBE_NXZ	7	8a815c010000c3
00a3b320	?GetTexture@CVideoSysRecoveredLayout@@QBEPAXXZ	10	8b41208b8064010000c3
00548510	?SetMovie@CMovieRecoveredTail@@QAEXAAVCWideString@@@Z	11	81c174010000e9b5324500
00a3b1a0	?AttemptToPlay@CVideoSysRecoveredLayout@@QAE_NXZ	30	568bf18b46048b0850ff511c85c0750ab8010000008946285ec332c05ec3
00a3b0f0	?WaitForState@CVideoSysRecoveredLayout@@QAEXI@Z	52	538b5c240856578bf933f6eb038d49008b47048b088d542410526a0a50ff51288b442410463bd8740583fe647ce25f5e5bc20400
00a3b1c0	?Pause@CVideoSysRecoveredLayout@@QAE_NXZ	43	568bf18b462885c0750432c05ec38b46048b0850ff51206a018bcee810ffffffc7462802000000b0015ec3
00a3b1f0	?Stop@CVideoSysRecoveredLayout@@QAE_NXZ	43	568bf18b462885c0750432c05ec38b46048b0850ff51246a008bcee8e0feffffc7462803000000b0015ec3
