phase	call_site	target	analysis_name	validated_grade	validated_source
1	00402535	0099ebf0	CCharString	RELOCATION_MATCH	rebuild/src/compiled/00/99/CCharString_Constructor_0099ebf0.cpp
1	0040253f	009d8240	NProfileTimer::StartProfile	RELOCATION_MATCH	rebuild/src/compiled/00/9d/NProfileTimer_StartProfile_009d8240.cpp
1	00402547	0099eae0	~CCharString	RELOCATION_MATCH	rebuild/src/compiled/00/99/CCharString_Destructor_0099eae0.cpp
1	00402553	00403b10	CSystemManagerInit	SCHEDULING_RESIDUE	rebuild/src/compiled/00/40/CSystemManagerInit_Constructor_00403b10.cpp
1	0040255c	0099aed0	CWideString	RELOCATION_MATCH	rebuild/src/compiled/00/99/CWideString_Constructor_0099aed0.cpp
1	00402583	00997510	GetProjectPath	RELOCATION_MATCH	rebuild/src/compiled/00/99/CAFile_GetProjectPath_00997510.cpp
1	0040258a	009974f0	SetCurrentPath	RELOCATION_MATCH	rebuild/src/compiled/00/99/CAFile_SetCurrentPath_009974f0.cpp
1	00402593	0099b510	~CWideString	RELOCATION_MATCH	rebuild/src/compiled/00/99/CWideString_Destructor_0099b510.cpp
1	004025a1	00413c50	InitialiseConsoleVariables
2	004025ac	009d8250	NProfileTimer::EndProfile	RELOCATION_MATCH	rebuild/src/compiled/00/9d/NProfileTimer_EndProfile_009d8250.cpp
2	004025bc	0099ebf0	CCharString	RELOCATION_MATCH	rebuild/src/compiled/00/99/CCharString_Constructor_0099ebf0.cpp
2	004025c7	009d8240	NProfileTimer::StartProfile	RELOCATION_MATCH	rebuild/src/compiled/00/9d/NProfileTimer_StartProfile_009d8240.cpp
2	004025d0	0099eae0	~CCharString	RELOCATION_MATCH	rebuild/src/compiled/00/99/CCharString_Destructor_0099eae0.cpp
2	0040260b	00404440	CFileInstallerSingleton::Get	RELOCATION_MATCH	rebuild/src/compiled/00/40/CFileInstallerSingleton_Get_00404440.cpp
2	0040261f	009d81e0	FableClearStartupLatch_013964A8	RELOCATION_MATCH	rebuild/src/compiled/00/9d/Global_ClearStartupLatch_009d81e0.cpp
2	0040262a	009d5240	CBankFileAsync::SetEnableFailureHandling	RELOCATION_MATCH	rebuild/src/compiled/00/9d/CBankFileAsync_SetEnableFailureHandling_009d5240.cpp
3	00402668	009d8250	NProfileTimer::EndProfile	RELOCATION_MATCH	rebuild/src/compiled/00/9d/NProfileTimer_EndProfile_009d8250.cpp
3	00402678	0099ebf0	CCharString	RELOCATION_MATCH	rebuild/src/compiled/00/99/CCharString_Constructor_0099ebf0.cpp
3	00402683	009d8240	NProfileTimer::StartProfile	RELOCATION_MATCH	rebuild/src/compiled/00/9d/NProfileTimer_StartProfile_009d8240.cpp
3	0040268c	0099eae0	~CCharString	RELOCATION_MATCH	rebuild/src/compiled/00/99/CCharString_Destructor_0099eae0.cpp
3	0040269f	00415530	FableGetDefaultLanguageName_00415530	RELOCATION_MATCH	rebuild/src/compiled/00/41/Global_GetDefaultLanguageName_00415530.cpp
