address	name	module	calling_convention	return_type	parameter_count	parameter_types	prototype_complete	clean_decompile	naming_quality	agent_verdict	agent_source	lift_grade	lift_source	agent_source_path	compiled_status	behavior_test	retail_parity	compiled_source
00401067	entry	_global	unknown	undefined	0		0	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x00401067_global_entry.cpp				
00401284	exit	_global	__cdecl	void	1	int	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_Exit_00401284.cpp
0040128a	_amsg_exit	_global	__cdecl	void	1	int	1	yes	accepted									
00401296	__onexit	_global	__cdecl	void	1	_onexit_t	1	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x00401296_global_onexit.cpp	PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_OnExit_00401296.cpp
004012bc	_atexit	_global	__cdecl	int	1	_func_4879 *	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\global_atexit_004012bc.cpp
004012ce	__RTC_Initialize	_global	__cdecl	void	0		1	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x004012CE_global_RTC_Initialize.cpp	PASS	PASS	DIFFER	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_RTCInitialize_004012ce.cpp
00401312	Init_CallFunctionPointers	_global	unknown	undefined	0		0	unmeasured	accepted									
00401356	initterm	_global	__cdecl	void	2	void *,void *	1	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x00401356_MSVCR71.DLL_initterm.cpp	PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\global_initterm_00401356.cpp
0040135c	__setdefaultprecision	_global	__cdecl	void	0		1	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x0040135C_global_setdefaultprecision.cpp	PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_SetDefaultPrecision_0040135c.cpp
00401377	AddChildPrimitive	CEngineInternalPrimitiveBase	__thiscall	ulong	3	CEngineInternalPrimitiveBase *,CEnginePrimitive *,ulong	1	yes	accepted						PASS	PASS	MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\CEngineInternalPrimitiveBase_AddChildPrimitive_00401377.cpp
0040138c	__SEH_prolog	_global	__cdecl	void	2	ulong,long	1	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x0040138C_global_SEH_prolog.cpp	PASS	PASS	MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_SEHProlog_0040138c.cpp
004013c7	__SEH_epilog	_global	__cdecl	void	0		1	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x004013C7_global_SEH_epilog.cpp	PASS	PASS	MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_SEHEpilog_004013c7.cpp
004013de	__dllonexit	_global	__cdecl	_onexit_t	3	_onexit_t,_onexit_t **,_onexit_t **	1	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x004013DE_MSVCR71.DLL_dllonexit.cpp	PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\global_dllonexit_004013de.cpp
004013e4	_controlfp	_global	__cdecl	uint	2	uint,uint	1	yes	accepted									
00401400	`vector_constructor_iterator'	_global	__stdcall	void	4	void *,uint,int,_func_void_ptr_void_ptr *	1	yes	accepted									
00401490	PeekWaterHasType	CEngineMap	__thiscall	bool	4	CEngineMap *,long,long,EWaterType	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\CEngineMap_PeekWaterHasType_00401490.cpp
004014a0	Calc	_global	__fastcall	ulong	3	ulong,void *,ulong	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_CCRC_Calc_004014a0.cpp
00401630	~CAIStateGroup_CreatureUseCoverBase	CAIStateGroup_CreatureUseCoverBase	__thiscall	void	1	CAIStateGroup_CreatureUseCoverBase *	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\CAIStateGroupCreatureUseCoverBase_CAIStateGroupCreatureUseCoverBase_00401630.cpp
00401650	CAFile::IsIOFinished	CAFile	__thiscall	bool	1	CAFile *	1	yes	accepted						PASS	PASS	MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\CAFile_IsIOFinished_00401650.cpp
00401660	CAFile::GetAlignment	CAFile	__thiscall	long	1	CAFile *	1	yes	accepted						PASS	PASS	MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\CAFile_GetAlignment_00401660.cpp
00401670	CDiskFileWin32::GetLength	CDiskFileWin32	__thiscall	long	1	CDiskFileWin32 *	1	yes	accepted						PASS	PASS	MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\CDiskFileWin32_GetLength_00401670.cpp
00401680	CDiskFileWin32::IsOpen	CDiskFileWin32	__thiscall	bool	1	CDiskFileWin32 *	1	yes	accepted						PASS	PASS	MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\CDiskFileWin32_IsOpen_00401680.cpp
00401690	?GetPathname@CDiskFileWin32@@UBE?AVCWideString@@XZ	CDiskFileWin32	__thiscall	CCharString	1	CBankFile *	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\CDiskFileWin32_GetPathnameCDiskFileWin32UBEAVCWideS_00401690.cpp
004016b0	`vector_deleting_destructor'	CThingTrackNode	__thiscall	void *	2	CThingTrackNode *,uint	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\CThingTrackNode_vectordeletingdestructor_004016b0.cpp
004016f0	CRegionDef	CRegionDef	__thiscall	undefined	1	CRegionDef *	0	yes	accepted									
00401780	GFClearBadExitFlag	_global	__fastcall	void	0		1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\global_GFClearBadExitFlag_00401780.cpp
004017b0	GFConfigDetection	_global	__fastcall	bool	0		1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_GFConfigDetection_004017b0.cpp
00401b20	GFFreeConfigDetection	_global	__fastcall	bool	0		1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_GFFreeConfigDetection_00401b20.cpp
00401b80	GFUninitialise	_global	__cdecl	void	0		1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_GFUninitialise_00401b80.cpp
00401c00	GFHandleSystemInitError	_global	__stdcall	void	1	ulong	1	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x00401C00_global_GFHandleSystemInitError.cpp	PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\global_GFHandleSystemInitError_00401c00.cpp
00401f30	GFGetBuildNumber2	_global	__cdecl	void	0		1	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x00401F30_global_GFGetBuildNumber2.cpp	PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_GFGetBuildNumber2_00401f30.cpp
00401fe0	EULA::DoEULAThings	EULA	__fastcall	int	0		1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\EULA_DoEULAThings_00401fe0.cpp
00402130	FableCheckMyDocumentsWritePermissions_00402130	_global	__fastcall	unsigned long	1	CWideString const &	1	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x00402130_global_MyDocuments_CheckWritePermissions.cpp	PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_MyDocuments_CheckWritePermissions_00402130.cpp
004022b0	GFInitialise	_global	__fastcall	bool	0		1	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x004022B0_global_GFInitialise.cpp	PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\global_GFInitialise_004022b0.cpp
004023f0	GetWindowTitle	_global	__fastcall	CWideString	0		1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_GetWindowTitle_004023f0.cpp
00402510	GFMain	_global	__fastcall	long	3	HINSTANCE__ *,char *,int	1	yes	accepted									
00403480	WinMain	_global	__stdcall	int	4	HINSTANCE__ *,HINSTANCE__ *,char *,int	1	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x00403480_global_WinMain_16.cpp				
00403510	_Dest_val<std::allocator<CEditLevelMerger::CConflict>,CEditLevelMerger::CConflict>	_Dest_val<std::allocator<CEditLevelMerger::CConflict>,CEditLevelMerger	__fastcall	void	2	allocator<CEditLevelMerger::CConflict> *,CConflict *	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\DestvalstdallocatorCEditLevelMergerCConflictCEditLevelMerger_CConflict_00403510.cpp
00403600	sub_00403600	_gapscan	unknown	undefined	0		0			discovered	gapscan							
00403630	sub_00403630	_gapscan	unknown	undefined	0		0			discovered	gapscan							
00403650	sub_00403650	_gapscan	unknown	undefined	0		0			discovered	gapscan							
004036a0	sub_004036a0	_gapscan	unknown	undefined	0		0			discovered	gapscan							
00403700	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals	__fastcall	void	2	allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_> *,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive> *	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCC_COptimisedPrimitive_00403700.cpp
00403750	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals	__fastcall	void	2	allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_> *,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive> *	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCC_COptimisedPrimitive_00403750.cpp
00403790	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals	__fastcall	void	2	allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_> *,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive> *	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCC_COptimisedPrimitive_00403790.cpp
004038c0	`vector_constructor_iterator'	_global	__stdcall	void	4	void *,uint,int,_func_void_ptr_void_ptr *	1	yes	accepted						PASS	PASS	MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\global_vectorconstructoriterator_004038c0.cpp
00403a00	GetLength	CCharString	__thiscall	long	1	CCharString *	1	yes	accepted						PASS	PASS	MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\CCharString_GetLength_00403a00.cpp
00403a10	operator_char_const*	CCharString	__thiscall	char *	1	CCharString *	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\CCharString_operatorcharconst_00403a10.cpp
00403b10	CSystemManagerInit	CSystemManagerInit	__thiscall	undefined	1	CSystemManagerInit *	0	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\CSystemManagerInit_Constructor_00403b10.cpp
00403c20	Init	CStringParser	__thiscall	void	5	CStringParser *,CCharString *,_func_void_CCharString_ptr *,CCharString *,long	1	yes	accepted									
00403c60	MemCmp_Unsigned16	_global	__cdecl	int	3	ushort const *,ushort const *,ulong	1	yes	accepted	PASS	wave3			D:\Documents\FableTLC\lift\reports\wave3\code\00\40\0x00403C60_global_MemCmp_Unsigned16.cpp	PASS	PASS	MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\Global_MemCmpUnsigned16_00403c60.cpp
00403cb0	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals	__fastcall	void	2	allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_> *,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive> *	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCC_COptimisedPrimitive_00403cb0.cpp
00403d20	CCountedPointer<CProgressDisplay>::CCountedPointer	CCountedPointer<CProgressDisplay>	__thiscall	CCountedPointer<CProgressDisplay> *	2	CCountedPointer<CProgressDisplay> *,CProgressDisplay *	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\CCountedPointerCProgressDisplay_CCountedPointer_00403d20.cpp
00403d70	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>	_Dest_val<std::allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_>,CCountedPointer<QuadricOptimiserInternals	__fastcall	void	2	allocator<CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive>_> *,CCountedPointer<QuadricOptimiserInternals::COptimisedPrimitive> *	1	yes	accepted						PASS	PASS	RELOCATION_MATCH	D:\Documents\FableTLC\rebuild\src\compiled\00\40\DestvalstdallocatorCCountedPointerQuadricOptimiserInternalsCOptimisedPrimitiveCC_COptimisedPrimitive_00403d70.cpp
00403db0	Reset	CCountedPointer<CIPhysicsFacesSegmentBase_const_>	__thiscall	void	2	CCountedPointer<CIPhysicsFacesSegmentBase_const_> *,CIPhysicsFacesSegmentBase *	1	yes	accepted									
