module	scaffold_function_count	catalog_function_count	prototype_complete	agent_pass	agent_fail	compiled_candidates	behavior_tested_candidates	candidate_retail_matches	candidate_relocation_matches	lift_matching	lift_functional
AbilityDataList	0	1	0	0	0	0	0	0	0	0	0
AllocArrayOfObjects<CLocalDetailPrimitiveMeshZSpriteBatch	0	1	1	0	0	0	0	0	0	0	0
ArgPasser	0	1	0	0	0	0	0	0	0	0	0
C2DBoxF	0	3	3	0	0	1	1	0	0	0	0
C2DBoxI	0	9	8	0	0	0	0	0	0	0	0
C2DCoordI	0	6	6	0	0	0	0	0	0	0	0
C2DLineF	0	15	14	0	0	0	0	0	0	0	0
C2DVector	0	3	3	0	0	0	0	0	0	0	0
C3DAnimFile	0	10	0	0	0	0	0	0	0	0	0
C3DAnimFileBoneMaskChunk	0	6	5	0	0	0	0	0	0	0	0
C3DAnimFileHelpersChunk	0	25	2	0	0	0	0	0	0	0	0
C3DAnimFileLoader	0	5	4	0	0	0	0	0	0	0	0
C3DAnimFileMovementVectorChunk	0	5	5	0	0	0	0	0	0	0	0
C3DAnimFileObjectChunk	0	10	8	0	0	0	0	0	0	0	0
C3DAnimFileRootChunk	0	9	9	0	0	0	0	0	0	0	0
C3DAnimFileSequenceChunk	0	7	5	0	0	0	0	0	0	0	0
C3DAnimFileTimingEventChunk	0	5	5	0	0	0	0	0	0	0	0
C3DAnimFileXAllocationSizeChunk	0	4	4	0	0	0	0	0	0	0	0
C3DAnimFileXLoader	0	1	0	0	0	0	0	0	0	0	0
C3DAnimFileXSequenceChunk	0	11	6	0	0	0	0	0	0	0	0
C3DAnimation2	0	22	21	0	0	1	1	0	0	0	0
C3DAnimationBlendState	0	73	52	0	0	0	0	0	0	0	0
C3DAnimationBuilder	0	3	3	0	0	0	0	0	0	0	0
C3DAnimationInfo	0	14	13	0	0	0	0	0	0	0	0
C3DAnimationInterpolator	0	3	2	0	0	0	0	0	0	0	0
C3DAnimationManager	0	16	15	0	0	0	0	0	0	0	0
C3DAnimationSequence	0	4	3	0	0	0	0	0	0	0	0
C3DAnimationSequenceData	0	10	9	0	0	0	0	0	0	0	0
C3DAnimationState	0	4	4	0	0	1	1	1	0	0	0
