class	vtable_va	slot	func_va
CDiskFileWin32	0122d06c	12	00401650
CDiskFileWin32	0122d06c	13	00401660
CDiskFileWin32	0122d06c	9	00401670
CDiskFileWin32	0122d06c	10	00401680
CDiskFileWin32	0122d06c	11	00401690
CDiskFileWin32	0122d06c	0	004016b0
CPersistContext_TransferableComponent	0122d6c4	0	00403f90
CPersistContext_TransferableComponent	0122d6c4	1	00403fc0
CStringParser	0122d874	0	004047d0
NUISystem::CIMEFont	0122dcbc	0	00404940
NUISystem::CIMEFont	0122dcbc	2	00404950
NUISystem::CIMEFont	0122dcbc	1	00404d20
NUISystem::CIMEFont	0122dcbc	3	00404f60
NUISystem::CIMEFont	0122dcbc	4	00405020
CPersistContext_TransferableComponent	0122dcd4	1	004059f0
CPersistContext_TransferableComponent	0122dcd4	0	00405a10
CMemoryFile	0122e0fc	10	00405d30
CMemoryDataInputStream	0123675c	2	00405fa0
CUserProfileManager	0122e230	0	004067f0
CUserProfileManager	0122e230	1	00406800
CPersistContext_TransferableComponent	0122defc	1	0040e4d0
CPersistContext_TransferableComponent	0122defc	0	0040e5f0
CPersistContext_TransferableComponent	0122df2c	1	0040e6d0
CPersistContext_TransferableComponent	0122df2c	0	0040e800
CPersistContext_TransferableComponent	0122df38	1	0040e8f0
CPersistContext_TransferableComponent	0122df38	0	0040e910
CPersistContext_TransferableComponent	0122dfe0	1	0040f7b0
CPersistContext_TransferableComponent	0122dfe0	0	0040f870
CPersistContext_TransferableComponent	0122e004	1	0040f950
CPersistContext_TransferableComponent	0122e004	0	0040f970
CPersistContext_TransferableVector	0122e010	0	0040f9b0
CPersistContext_TransferableVector	0122e010	2	0040f9d0
CPersistContext_TransferableVector	0122e044	0	0040fb60
CPersistContext_TransferableVector	0122e044	3	0040fb70
CPersistContext_TransferableVector	0122e044	2	0040fba0
NUISystem::CManager	01230134	46	00410056
CPersistContext_TransferableVector	0122e010	3	00411250
CMemoryFile	0122e0fc	7	00412050
CMemoryFile	0122e0fc	9	00412060
CMemoryFile	0122e0fc	11	00412070
CMemoryFile	0122e0fc	15	00412090
CMemoryFile	0122e0fc	0	004120c0
CUserProfileManager	0122e23c	0	00412b00
CPersistContext_TransferableVector	0122e010	1	00412c10
CPersistContext_TransferableVector	0122e044	1	00412c50
CGame	0122e59c	0	00413230
CConsoleInputBase	0122e5b0	0	00413480
CConsoleVariable	0122e5c8	3	00413700
CConsoleVariable	0122e5c8	0	00413780
CConsoleCommandBase	0122e638	3	00414f70
CConsoleCommandBase	0122e638	0	00414fc0
CConsoleClasslessCommand	0122e65c	5	00415040
CConsoleClasslessCommand	0122e65c	0	00415050
CGameComponent	0122ecb0	1	00415920
CGameComponent	0122ecb0	4	00415930
CGameComponent	0122ecb0	0	00415940
NParticleEngine::CAEnvironmentInteraction	0122ed10	2	00415cc0
NParticleEngine::CAEnvironmentInteraction	0122ed10	4	00415cd0
NParticleEngine::CAEnvironmentInteraction	0122ed10	5	00415cf0
NParticleEngine::CAEnvironmentInteraction	0122ed10	0	00415d10
CNetworkServer	0122ed30	0	00415e67
CMainGameComponent	0122f174	0	00415e83
CMainGameComponent	0122f180	8	00416953
CMainGameComponent	0122f180	6	00416e78
CMainGameComponent	0122f180	7	00417001
CMainGameComponent	0122f174	1	004175da
CMainGameComponent	0122f180	3	0041799b
CMainGameComponent	0122f180	5	00418289
CMainGameComponent	0122f180	1	004184bd
CMainGameComponent	0122f180	2	004189c2
CBinaryFileDataWriter	0122ed7c	0	00418ef7
CAFile	0122eccc	0	004192b0
CParticleEnvironmentInteraction	0122ed8c	0	00419300
CNetworkClient	0122edac	0	00419365
CFrameRateSmoother	0122f168	0	0041977d
CMainGameComponent	0122f180	4	004197a0
CMainGameComponent	0122f180	9	004197b0
CMainGameComponent	0122f180	0	004197b3
NUISystem::CSprite	0122f5d4	23	0041a850
NUISystem::CSprite	0122f5d4	43	0041a8d0
NUISystem::CSprite	0122f5d4	2	0041afa0
NUISystem::CSprite	0122f5d4	145	0041b550
CEnginePrimitiveHandle	0122f598	0	0041c500
NUISystem::CSprite	0122f5ac	7	0041c580
NUISystem::CSprite	0122f5d4	7	0041c590
NUISystem::CSprite	0122f5d4	47	0041c5a0
NUISystem::CSprite	0122f5d4	44	0041c5c0
NUISystem::CSprite	0122f5d4	137	0041c5e0
NUISystem::CSprite	0122f5d4	86	0041c610
NUISystem::CSprite	0122f5d4	87	0041c620
NUISystem::CSprite	0122f5d4	54	0041c630
NUISystem::CSprite	0122f5d4	140	0041c640
NUISystem::CSprite	0122f5d4	141	0041c650
NUISystem::CSprite	0122f5d4	111	0041c660
NUISystem::CSprite	0122f5d4	142	0041c680
NUISystem::CSprite	0122f5d4	143	0041c690
NUISystem::CSprite	0122f5d4	144	0041c6a0
NUISystem::CSprite	0122f5d4	146	0041c6b0
NUISystem::CSprite	0122f5d4	147	0041c6c0
NUISystem::CSprite	0122f5d4	148	0041c6d0
NUISystem::CSprite	0122f5ac	0	0041c6e0
NUISystem::CSprite	0122f5a4	0	0041c6f0
NUISystem::CSprite	0122f5d4	0	0041c760
NUISystem::CActionParam	0122f83c	0	0041c88f
NUISystem::CActionParamULONG	0122f844	0	0041c8c5
CSurface	0122f84c	0	0041c9c0
NUISystem::CYesNo	0122f85c	1	0041cb10
NUISystem::CYesNo	0122f884	142	0041cb56
NUISystem::CYesNo	0122f884	143	0041cb63
NUISystem::COk	0122fad0	1	0041cb9d
NUISystem::COk	0122faf4	142	0041cbd7
NUISystem::CControllerDisconnect	0122fd3c	1	0041cc11
CAnimFilterBase	0122ffcc	2	0041cce4
CAnimFilterNoGroup	0122ffdc	0	0041cd13
NUISystem::CManager	01230134	41	0041ceb3
NUISystem::CManager	01230134	40	0041d0a8
NUISystem::CManager	01230134	28	0041d1c8
NUISystem::CManager	01230134	29	0041d207
NUISystem::CManager	01230134	25	0041d8a8
NUISystem::CManager	01230134	42	0041d8e7
NUISystem::CManager	01230134	43	0041d98a
NUISystem::CManager	01230134	27	0041db64
NUISystem::CManager	01230134	24	0041db74
NUISystem::CManager	01230134	44	0041dc9d
NUISystem::CManager	01230134	37	0041ded2
NUISystem::CManager	01230134	34	0041e1cd
NUISystem::CManager	01230134	36	0041e3b2
NUISystem::CManager	01230134	14	0041e6d3
NUISystem::CControllerDisconnect	0122fd3c	0	0042982f
NUISystem::CControllerDisconnect	0122fd34	0	00429837
NUISystem::CYesNo	0122f85c	0	0042983f
NUISystem::CYesNo	0122f854	0	00429847
NUISystem::COk	0122fad0	0	0042984f
NUISystem::COk	0122fac8	0	00429857
NUISystem::CYesNo	0122f884	0	004298f3
NUISystem::COk	0122faf4	0	0042990f
NUISystem::CControllerDisconnect	0122fd64	0	0042992b
CAnimFilterNoGroup	0122ffdc	1	00429a2f
CAnimFilterNoGroup	0122ffdc	2	00429a45
NUISystem::CObservable	01230044	7	0042bea9
NUISystem::CManager	01230134	11	0042d4f0
NUISystem::CManager	01230134	12	0042d4f7
NUISystem::CManager	01230134	13	0042d506
NUISystem::CManager	01230134	15	0042d50e
NUISystem::CManager	01230134	16	0042d518
NUISystem::CManager	01230134	17	0042d522
NUISystem::CManager	01230134	18	0042d52c
NUISystem::CManager	01230134	19	0042d536
NUISystem::CManager	01230134	20	0042d540
NUISystem::CManager	01230134	21	0042d54a
NUISystem::CManager	01230134	22	0042d554
NUISystem::CManager	01230134	23	0042d55e
NUISystem::CManager	01230134	26	0042d568
NUISystem::CManager	01230134	30	0042d572
NUISystem::CManager	01230134	31	0042d57c
NUISystem::CManager	01230134	32	0042d580
NUISystem::CManager	01230134	33	0042d58a
NUISystem::CManager	01230134	35	0042d58e
NUISystem::CManager	01230134	38	0042d592
NUISystem::CManager	01230134	39	0042d5aa
NUISystem::CYesNo	0122f884	48	0042d604
NUISystem::COk	0122faf4	48	0042d65b
NUISystem::CControllerDisconnect	0122fd64	48	0042d6b2
CDefPointeeBase	01230ba0	1	0042d930
CDefPointeeBase	01230ba0	2	0042d940
CDefPointeeBase	01230ba0	4	0042d950
CDefPointeeBase	01230ba0	5	0042d960
